reconstructed_claim_id,policy_number,offset_total,interest_total,withholding_total,offset_codes,interest_codes,withholding_codes,residual_amount,offset_explains_gap,interest_explains_gap,withholding_explains_gap,decomposition_status
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,0.0,189.69,0.0,,0630,,-9256.93,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,0.0,85.54,0.0,,0630,,-1697.22,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,0.0,1490.33,0.0,,0630,,-999.48,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010402010-1-DEATH_CLAIM-C0-20221021,9010402010,0.0,1780.58,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010417200-1-DEATH_CLAIM-C0-20200521,9010417200,0.0,11.97,0.0,,0630,,7239.79,N,N,N,CLEARING_ONLY_DISTORTION
RC-9010425718-1-DEATH_CLAIM-C0-20181217,9010425718,0.0,30.55,0.0,,0630,,-2887.99,N,N,N,PARTIAL_DECOMPOSITION
RC-9010427723-1-DEATH_CLAIM-C0-20180117,9010427723,0.0,10.18,0.0,,0630,,-5484.33,N,N,N,PARTIAL_DECOMPOSITION
RC-9010428771-1-DEATH_CLAIM-C0-20200311,9010428771,0.0,23.62,0.0,,0630,,12468.0,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010429064-1-DEATH_CLAIM-C0-20240110,9010429064,0.0,133.18,0.0,,0630,,-11257.89,N,N,N,PARTIAL_DECOMPOSITION
RC-9010429259-1-DEATH_CLAIM-C0-20200707,9010429259,0.0,82.31,0.0,,0630,,-7425.04,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010429558-1-DEATH_CLAIM-C0-20210821,9010429558,0.0,160.53,0.0,,0630,,-5365.91,N,N,N,PARTIAL_DECOMPOSITION
RC-9010430023-1-DEATH_CLAIM-C0-20201201,9010430023,0.0,60.54,0.0,,0630,,-4763.61,N,N,N,PARTIAL_DECOMPOSITION
RC-9010430296-1-DEATH_CLAIM-C0-20230726,9010430296,0.0,94.67,0.0,,0630,,-5537.87,N,N,N,PARTIAL_DECOMPOSITION
RC-9010431738-1-DEATH_CLAIM-C0-20190712,9010431738,0.0,38.05,0.0,,0630,,-2749.4,N,N,N,PARTIAL_DECOMPOSITION
RC-9010433786-1-DEATH_CLAIM-C0-20180514,9010433786,0.0,23.93,0.0,,0630,,-4801.35,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010434747-1-DEATH_CLAIM-C0-20190326,9010434747,0.0,106.0,0.0,,0630,,-3389.59,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010436044-1-DEATH_CLAIM-C0-20181023,9010436044,0.0,135.75,0.0,,0630,,-3810.36,N,N,N,PARTIAL_DECOMPOSITION
RC-9010436599-1-DEATH_CLAIM-C0-20190212,9010436599,0.0,143.22,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010436691-1-DEATH_CLAIM-C0-20201203,9010436691,0.0,28.73,0.0,,0630,,-2358.03,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010436955-1-DEATH_CLAIM-C0-20230930,9010436955,0.0,106.98,0.0,,0630,,-3787.49,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010437335-1-DEATH_CLAIM-C0-20240324,9010437335,0.0,47.57,0.0,,0630,,-4852.02,N,N,N,PARTIAL_DECOMPOSITION
RC-9010438325-1-DEATH_CLAIM-C0-20231225,9010438325,0.0,41.27,0.0,,0630,,0.0,N,N,N,FULLY_DECOMPOSED
RC-9010438821-1-DEATH_CLAIM-C0-20190402,9010438821,0.0,63.07,0.0,,0630,,-4093.4,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010440345-1-DEATH_CLAIM-C0-20220822,9010440345,0.0,39.82,0.0,,0630,,-2900.43,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010440370-1-DEATH_CLAIM-C0-20220129,9010440370,0.0,50.57,0.0,,0630,,-4894.17,N,N,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010442552-1-DEATH_CLAIM-C0-20240517,9010442552,0.0,41.37,0.0,,0630,,-186.04,N,N,N,RESIDUAL_REMAINS
RC-9010443109-1-DEATH_CLAIM-C0-20210514,9010443109,0.0,28.46,0.0,,0630,,-817.9,N,N,N,RESIDUAL_REMAINS
