reconstructed_claim_id,policy_number,residual_amount,unexplained_residual,gap_direction,expected_net_payment,payout_total,clearing_total,decomposition_status,residual_explained_by,confidence_level
RC-9010834719-1-DEATH_CLAIM-C0-20180807,9010834719,-77457.2,-77457.2,PAYOUT_EXCESS,150000.0,227457.2,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9011196134-1-DEATH_CLAIM-C0-20200314,9011196134,73036.45,73036.45,PAYOUT_SHORTFALL,150000.0,76963.55,74045.81,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010736035-1-DEATH_CLAIM-C0-20190613,9010736035,67277.82,67277.82,PAYOUT_SHORTFALL,148656.0,81378.18,67531.6,CLEARING_ONLY_DISTORTION,none,INFERRED
RC-9011000854-1-DEATH_CLAIM-C0-20221224,9011000854,59184.4,59184.4,PAYOUT_SHORTFALL,80706.0,21521.6,26902.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9011000854-1-DEATH_CLAIM-C1-20230502,9011000854,43043.2,43043.2,PAYOUT_SHORTFALL,53899.89,10856.69,5380.4,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9011209469-1-DEATH_CLAIM-C0-20190417,9011209469,42220.66,42220.66,PAYOUT_SHORTFALL,100119.99,57899.33,43328.22,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010847570-1-DEATH_CLAIM-C0-20220113,9010847570,32543.65,32543.65,PAYOUT_SHORTFALL,90200.7,57657.05,2499.2,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010842291-1-DEATH_CLAIM-C0-20210915,9010842291,31662.71,31662.71,PAYOUT_SHORTFALL,50000.0,18337.29,31714.51,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010814552-1-DEATH_CLAIM-C0-20180429,9010814552,-30607.58,-30607.58,PAYOUT_EXCESS,15205.81,45813.39,65.32,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010847570-1-DEATH_CLAIM-C1-20220421,9010847570,-28834.15,-28834.15,PAYOUT_EXCESS,0.0,28834.15,0.0,RESIDUAL_REMAINS,none,LOW_CONFIDENCE
RC-9011246246-1-DEATH_CLAIM-C0-20221227,9011246246,28033.18,28033.18,PAYOUT_SHORTFALL,45073.88,17040.7,13273.22,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010759559-1-DEATH_CLAIM-C1-20190826,9010759559,-27500.0,-27500.0,PAYOUT_EXCESS,0.0,27500.0,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010914301-1-DEATH_CLAIM-C1-20220929,9010914301,-25019.98,-25019.98,PAYOUT_EXCESS,0.0,25019.98,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010941103-1-DEATH_CLAIM-C0-20211018,9010941103,22866.91,22866.91,PAYOUT_SHORTFALL,22866.91,0.0,22866.91,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9011175626-1-DEATH_CLAIM-C1-20180531,9011175626,20325.54,20325.54,PAYOUT_SHORTFALL,20325.54,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010771111-1-DEATH_CLAIM-C0-20200430,9010771111,20159.77,20159.77,PAYOUT_SHORTFALL,50000.0,29840.23,20159.77,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9011053428-1-DEATH_CLAIM-C0-20180726,9011053428,-20105.03,-20105.03,PAYOUT_EXCESS,25000.0,45105.03,23766.15,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9011199527-1-DEATH_CLAIM-C0-20191010,9011199527,20006.57,20006.57,PAYOUT_SHORTFALL,40007.78,20001.21,30269.42,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010761882-1-DEATH_CLAIM-C1-20201119,9010761882,20000.0,20000.0,PAYOUT_SHORTFALL,20000.0,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010900144-1-DEATH_CLAIM-C0-20230331,9010900144,19390.2,19390.2,PAYOUT_SHORTFALL,32317.0,12926.8,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010842291-1-DEATH_CLAIM-C1-20211130,9010842291,-18322.35,-18322.35,PAYOUT_EXCESS,0.0,18322.35,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010936713-1-DEATH_CLAIM-C1-20210414,9010936713,-16677.33,-16677.33,PAYOUT_EXCESS,44.19,16721.52,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9011217970-1-DEATH_CLAIM-C0-20190301,9011217970,16011.65,16011.65,PAYOUT_SHORTFALL,24000.0,7988.35,16034.95,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010860472-1-DEATH_CLAIM-C0-20210129,9010860472,15742.55,15742.55,PAYOUT_SHORTFALL,50000.0,34257.45,15742.55,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9011197222-1-DEATH_CLAIM-C1-20190919,9011197222,15099.23,15099.23,PAYOUT_SHORTFALL,15099.23,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9011140913-1-DEATH_CLAIM-C0-20191003,9011140913,15057.54,15057.54,PAYOUT_SHORTFALL,15057.54,0.0,10101.79,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010763006-1-DEATH_CLAIM-C0-20231228,9010763006,15016.39,15016.39,PAYOUT_SHORTFALL,90290.87,75274.48,60154.81,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9011156098-1-DEATH_CLAIM-C1-20231115,9011156098,-15000.0,-15000.0,PAYOUT_EXCESS,0.0,15000.0,0.0,RESIDUAL_REMAINS,none,LOW_CONFIDENCE
RC-9015000602-1-DEATH_CLAIM-C0-20200720,9015000602,15000.0,15000.0,PAYOUT_SHORTFALL,22513.69,7513.69,7554.76,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9011156098-1-DEATH_CLAIM-C0-20230213,9011156098,15000.0,15000.0,PAYOUT_SHORTFALL,45000.0,30000.0,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9011261538-1-DEATH_CLAIM-C0-20180602,9011261538,14887.54,14887.54,PAYOUT_SHORTFALL,30012.92,15125.38,59.46,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010411499-2-DEATH_CLAIM-C0-20200830,9010411499,14596.92,14596.92,PAYOUT_SHORTFALL,14596.92,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010442230-1-DEATH_CLAIM-C0-20250726,9010442230,-14562.01,-14562.01,PAYOUT_EXCESS,16212.0,30774.01,23.87,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010442230-2-DEATH_CLAIM-C0-20250726,9010442230,14538.14,14538.14,PAYOUT_SHORTFALL,14538.14,0.0,0.0,PARTIAL_DECOMPOSITION,none,LOW_CONFIDENCE
RC-9010894951-1-DEATH_CLAIM-C0-20230331,9010894951,14413.88,14413.88,PAYOUT_SHORTFALL,43299.62,28885.74,28.99,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9011189786-1-DEATH_CLAIM-C0-20200223,9011189786,-14082.42,-14082.42,PAYOUT_EXCESS,7014.57,21096.99,17.76,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010941103-1-DEATH_CLAIM-C1-20221019,9010941103,-13834.74,-13834.74,PAYOUT_EXCESS,734.74,14569.48,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9011208787-1-DEATH_CLAIM-C0-20210624,9011208787,13340.0,13340.0,PAYOUT_SHORTFALL,50000.0,36660.0,13509.77,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010891075-1-DEATH_CLAIM-C0-20220220,9010891075,13061.64,13061.64,PAYOUT_SHORTFALL,50000.0,36938.36,13294.46,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
RC-9010875065-1-DEATH_CLAIM-C0-20230928,9010875065,12972.33,12972.33,PAYOUT_SHORTFALL,29673.92,16701.59,12972.33,CLEARING_ONLY_DISTORTION,none,INFERRED
RC-9010428771-1-DEATH_CLAIM-C0-20200311,9010428771,12468.0,12468.0,PAYOUT_SHORTFALL,22491.62,10023.62,0.0,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,none,INFERRED
