reconstructed_claim_id,policy_number,layer_name,layer_label,layer_codes,layer_total,event_count,codes_present,exclude_from_financial_rollup,decomposition_status
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,clearing,Clearing/Lifecycle Layer,0038,1713.59,2,0038,Y,CLEARING_ONLY_DISTORTION
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,funding,Funding Layer,0530|0519,1500.0,1,0530,N,CLEARING_ONLY_DISTORTION
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,interest,Interest Layer,0630,0.0,0,,N,CLEARING_ONLY_DISTORTION
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,offset,Offset Layer,0411|0412,0.0,0,,N,CLEARING_ONLY_DISTORTION
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,payout,Payout Layer,0094|0567|1900,3213.59,1,0094,N,CLEARING_ONLY_DISTORTION
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,CLEARING_ONLY_DISTORTION
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,withholding,Withholding Layer,0810|0820,0.0,0,,N,CLEARING_ONLY_DISTORTION
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,clearing,Clearing/Lifecycle Layer,0038,7.05,1,0038,Y,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,funding,Funding Layer,0530|0519,1000.0,1,0530,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,interest,Interest Layer,0630,0.0,0,,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,offset,Offset Layer,0411|0412,0.0,0,,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,payout,Payout Layer,0094|0567|1900,1134.57,4,0094,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,withholding,Withholding Layer,0810|0820,0.0,0,,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,clearing,Clearing/Lifecycle Layer,0038,0.0,0,,Y,PARTIAL_DECOMPOSITION
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,funding,Funding Layer,0530|0519,127.52,1,0530,N,PARTIAL_DECOMPOSITION
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,interest,Interest Layer,0630,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,offset,Offset Layer,0411|0412,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,payout,Payout Layer,0094|0567|1900,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,withholding,Withholding Layer,0810|0820,0.0,0,,N,PARTIAL_DECOMPOSITION
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,clearing,Clearing/Lifecycle Layer,0038,9256.93,2,0038,Y,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,funding,Funding Layer,0530|0519,10000.0,1,0530,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,interest,Interest Layer,0630,189.69,1,0630,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,offset,Offset Layer,0411|0412,0.0,0,,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,payout,Payout Layer,0094|0567|1900,19446.62,5,0094,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,withholding,Withholding Layer,0810|0820,0.0,0,,N,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,clearing,Clearing/Lifecycle Layer,0038,6777.05,2,0038,Y,CLEARING_ONLY_DISTORTION
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,funding,Funding Layer,0530|0519,5000.0,1,0530,N,CLEARING_ONLY_DISTORTION
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,interest,Interest Layer,0630,0.0,0,,N,CLEARING_ONLY_DISTORTION
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,offset,Offset Layer,0411|0412,0.0,0,,N,CLEARING_ONLY_DISTORTION
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,payout,Payout Layer,0094|0567|1900,11777.05,1,0094,N,CLEARING_ONLY_DISTORTION
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,surrender_charge,Surrender Charge Layer,1020,0.0,0,,N,CLEARING_ONLY_DISTORTION
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,withholding,Withholding Layer,0810|0820,0.0,0,,N,CLEARING_ONLY_DISTORTION
RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,clearing,Clearing/Lifecycle Layer,0038,4.35,1,0038,Y,PARTIAL_DECOMPOSITION
