relative_path,sha256,size
CHANGELOG.md,528421703e40029244fa1e0782410ccb76a22c9021febfddf0461b5ac4c0a93f,4171
DATA_DICTIONARY.md,77da73f72b394ab8887ccf85d35cea97f2d92eed0270a2719b086a79165f87cf,2087
DECISION_LOG.md,8275f83b94a728c766e241b52f47742132b6fb32b534b7db4c78904551cfb568,9299
PROJECT_STATUS.md,e431008eea7502d84e155efce1c42d2fd460fb269a1f98984206d6bc2053ebb2,1211
RATE_TYPE_CATALOG.md,a28d3f44bb59039558522130b621eb0fbbe10c3645e71234bc60c5cc1b308a48,3569
README.md,013850b751d821d3e4d7c9ec993568b32b9c8664064672cee0fe938f8febd194,6589
SOURCE_AUTHORITY.md,c587b5b8065b45dbff9509cc89c4bdb09a276623e5cc45d6a1225c14ffd9febe,6276
Stage2A_Infrastructure_and_Dry_Run_Report.md,c22ea511f8dc280f38c7613870f415b7cf05f3b583a04a45d29cd64ab892e04e,12674
Stage2B_Controlled_Copy_Migration_Report.md,6944fad545e09ec46ad503019eab61aa188d659ff7c5c0019e1276c1ba81e519,9852
Stage3_Architecture_and_Execution_Readiness_Report.md,58e650367fcacd5843e46983e40f57424f4fc1142b1fc6328b37f3baec4cf6ec,13399
Stage4A_Source_Authority_and_Plan_Universe_Report.md,be1efea2313ea01b2fdd7428c6f08eda3c6296b195035d59049b9843ae43a262,12693
Stage4B_Runtime_Foundation_and_Engine_Pin_Report.md,9d6ce0926516bc138d4b88ff78c4d1ba70261ffeaa7a9b4fc8fb6750c3b244bd,5933
Stage4D_Citizens_Engine_Pin_and_Compatibility_Report.md,cfb21cc35d9880afbfb721ecf4585102b4e4f8d8ae25955b66e3147eaf3353bc,2569
.pytest_cache/README.md,73fd6fccdd802c419a6b2d983d6c3173b7da97558ac4b589edec2dfe443db9ad,302
config/citizens.yaml,4990a171324c83307f5bf6879ad2b9d3703f95b16242f5de24ef7e208c1842cc,227
config/controlled_status_values.yaml,0a6812fe034c449737e168cebc49655e29a82a03140a758483102c4423f339af,1011
config/engine_artifact.yaml,57c3a75ea2bf1e4263198297add57acb6c475565c13167ab571e2cc92efc224a,891
config/engine_version.yaml,a5d716647fba81d4a406e6d1f97b8c661d9bfceaa09763458cb906ba6589a72e,1272
config/logging.yaml,9cc5210b47c11af6e929c544afae6c6638128d6e121c9be49e2d69a097af1fa5,150
config/output_locations.yaml,8ed71de37386797cf713a8bb41f2b815728e33740cce5f93a0629e652e34447f,539
config/runtime.yaml,5f46b694d77a9362a0c75796aa1e939dc941d96fb99da0cc6dab6de64371ed93,550
config/source_locations.yaml,faa1dfa224c430d4c0f5fb5e41976a66cee2614d95b304dbcaabcd4bc1825722,1018
manifests/data_asset_classification.csv,6d340031e41f09cb3e0b4df08a00099aade179c0a2a1a4e5fa5a5709329f2106,1478
manifests/delivery_manifest.csv,a4f7abca5f6f37ccecff2f385926aa6d4ba10af0cc048fc3aa7b6d6dcb5c3ed5,194
manifests/migration_inventory.csv,ee18e4c2ac71550ad29ff91b893f1f5a7ec152b00f387b05d02f6bce64988057,362743
manifests/plan_manifest.csv,e8d0ccd6911c72ff6391d2973896ee6fe28d6a722a4c3dd0b5f9aaf7192c95ef,116909
manifests/post_stage2a_source_snapshot.json,c101d14dbeed56a30e23e8ec4601f2aa55bbf0205c31b28cce81ba709664feed,65559
manifests/preflight_source_snapshot.json,0912020b802927b4fc0cf0d2dc61196af602f0ad50ab45241c77379feba91d06,69517
manifests/rate_manifest.csv,d2a21e38a7c366d0d7598ba7d3056b25407bcb98ad8d1b9e6029542b35c0c2d9,368
manifests/source_authority_register.csv,0be1549e1f4329ab327c869d986b2a14ca3be3cb30ec6fac2ee17239b251f04e,6973
manifests/source_manifest.csv,9d4bec788e25d8feb17e20b2b6f51c3e3d0d769ff4f2c66b5a67455c40b030b8,199488
manifests/stage2b_post_source_snapshot.json,6a1125391ebd8470c4f70b2c164e02685f6bb2f16c4ba137a7fa675c5f431adb,65562
manifests/stage2b_preflight.json,acf2c6af70bc47126e638d0cc849772ecf78af69c542a76f057d7f5dfd65c1b3,439
manifests/stage4b_prechange_file_hashes.csv,495aa4c3a010d0d7acc02de254970bc3568bca1240d04f32e24558e3e8f8616d,3627
manifests/stage4d_prechange_file_hashes.csv,6e6f8a943d32157a98b8f73af9e5f7beaf5a09672f275bbf99c700606b18733f,1247
