SOURCE_AUTHORITY_ID,SOURCE_NAME,SOURCE_FILENAME,SOURCE_RELATIVE_PATH,SOURCE_TYPE,BUSINESS_PURPOSE,DATA_DOMAIN,PLAN_COVERAGE,RATE_TYPE_COVERAGE,EFFECTIVE_DATE_FROM,EFFECTIVE_DATE_TO,SOURCE_OWNER,SOURCE_PROVIDER,ORIGINAL_OR_DERIVED,CURRENT_OR_HISTORICAL,CLIENT_PROVIDED_INDICATOR,ACTUARIAL_INDICATOR,INTERNAL_WORK_PRODUCT_INDICATOR,APPROVAL_EVIDENCE,AUTHORITY_STATUS,AUTHORITY_RANK,CONFLICT_RESOLUTION_RULE,KNOWN_LIMITATIONS,RELATED_DECISION_ID,NOTES
SA-001,Citizens Plans DBF,cifi0004.dbf,source/original/dbf/cifi0004.dbf,DBF,Plan master extract source,plan_universe;plan_code;plan_name;fees;loan_interest,301 plans,loan_interest;policy_fees,,,PENDING,Citizens/CFIC client or internal derivation,ORIGINAL,CURRENT,Y,N,N,None — Stage 4A proposed only,PENDING_REVIEW,1,Client-provided FoxPro plans table; primary candidate for plan identity,No issue dates fully confirmed in extract; descriptions often blank,,
SA-002,Rate Load Tracker,CFIC_Rate_Load_Tracker.csv,discovery/rates/CFIC_Rate_Load_Tracker.csv,CSV_TRACKER,Plan×rate-category requirements tracking,rate_requirements;plan_universe,308 plans,11 rate categories,,,PENDING,Citizens/CFIC client or internal derivation,DERIVED,CURRENT,N,N,Y,None — Stage 4A proposed only,DERIVED_WORKING,2,Internal derived from requirements catalog + crosswalk; not client-signed,May include manually added plans; not provenance for plan existence alone,,
SA-003,Rate Requirements Catalog,Citizens_Plan_Rate_Requirements_Catalog.xlsx,mappings/working/rate_types/Citizens_Plan_Rate_Requirements_Catalog.xlsx,XLSX,Expected rate types by plan,rate_requirements;product_family,308 plan codes,"gross,cv,net,reserve,div,loan,coi,expense,interest,other",,,PENDING,Citizens/CFIC client or internal derivation,DERIVED,CURRENT,UNKNOWN,N,Y,None — Stage 4A proposed only,DERIVED_WORKING,2,Working BA catalog; confidence High for many riders,Inventory Status Not Reviewed; Rate Gap Decision TBD,,
SA-004,Plan Crosswalk,Citizens_Plan_Crosswalk.xlsx,mappings/working/plans/Citizens_Plan_Crosswalk.xlsx,XLSX,CFIC plan → QLAdmin plan working map,qladmin_mapping,111 rows / ~156 expanded codes,N/A,,,PENDING,Citizens/CFIC client or internal derivation,DERIVED,CURRENT,UNKNOWN,N,Y,None — Stage 4A proposed only,DERIVED_WORKING,3,Working mapping; groups sex/smoker codes to one QLPlan,Incomplete vs 308; not approved,,
SA-005,Reserve DBF,cifi0007.DBF,source/original/dbf/cifi0007.DBF,DBF,Reserve / CV / net / PU grids,cash_value;net_premium;terminal_reserve;paid_up,Plans present in file (~138 staged),"CV, terminal reserve, net, PU",,,PENDING,Citizens/CFIC client or internal derivation,ORIGINAL,CURRENT,Y,Y,N,None — Stage 4A proposed only,PENDING_REVIEW,1,Primary technical candidate for CV/reserve/PU; actuarial confirmation required,Gross premium absent; OBQ-1 basis open,,
SA-006,Reserve staging grids,reserve_grid.csv,staging/normalized_rates/reserve/staging/,STAGING,Derived extract from reserve DBF,cash_value;reserves;net;paid_up,138 plans,CV/reserve/net/PU,,,PENDING,Citizens/CFIC client or internal derivation,DERIVED,CURRENT,N,Y,Y,None — Stage 4A proposed only,DERIVED_WORKING,4,Derived from SA-005; not independent authority,Wave/subset of DBF content,,
SA-007,Cash value ZIP archives,*_CV.zip,source/original/cash_values/,ZIP_PDF,Green-sheet PDF archives by family,cash_value;paid_up;eti_candidate,15 families,CV grids in PDFs,,,PENDING,Citizens/CFIC client or internal derivation,ORIGINAL,CURRENT,Y,Y,N,None — Stage 4A proposed only,SUPPORTING,2,Client-provided illustrations; OCR path failed; DBF preferred when present,Not extracted; overlap with MultipleCashValueFiles quarantined,,
SA-008,Access Proposal Maker extracts,*.csv,source/extracts/access/,ACCESS_EXTRACT,Illustration/premium checkpoints by product family,gross_premium;validation;illustrations,Product families not CFIC plan codes,Gross premium + sparse CV,,,PENDING,Citizens/CFIC client or internal derivation,DERIVED,CURRENT,N,N,N,None — Stage 4A proposed only,VALIDATION_ONLY,2,Useful validation vs reserve DBF for PermaLife7,Not plan-universe authority; sparse CV columns,,
SA-009,Access MDB original,CFIProposalMakerRev2.mdb,source/original/access/,MDB,Source of Access extracts,gross_premium;product_catalog,Product tables,Premiums/illustrations,,,PENDING,Citizens/CFIC client or internal derivation,ORIGINAL,CURRENT,Y,N,N,None — Stage 4A proposed only,SUPPORTING,2,Client proposal tool database,Not full rate grid authority,,
SA-010,Draft Quik output,Quik*.csv,output/csv/draft_pre_migration/,DRAFT_OUTPUT,Historical draft QLAdmin load package,validation_evidence,138 plans in emit_summary,CV/TV/NP factors,,,PENDING,Citizens/CFIC client or internal derivation,DERIVED,CURRENT,N,N,Y,None — Stage 4A proposed only,NOT_AUTHORITATIVE,9,Draft only; OBQ blockers; not production,Must not be treated as completed conversion,,
