PLAN_ID,SOURCE_PLAN_CODE,SOURCE_PLAN_NAME,QLADMIN_PLAN_CODE,PRODUCT_FAMILY,BASE_OR_RIDER,PARTICIPATING_STATUS,INTEREST_SENSITIVE_STATUS,ISSUE_DATE_FROM,ISSUE_DATE_TO,SOURCE_REVIEW_STATUS,BUSINESS_CLASSIFICATION_STATUS,PLAN_MAPPING_STATUS,PRODUCT_SETUP_STATUS,RATE_IDENTIFICATION_STATUS,CONVERSION_STATUS,VALIDATION_STATUS,CLIENT_REVIEW_STATUS,OWNER,OPEN_ISSUE_COUNT,SOURCE_AUTHORITY,NOTES,PLAN_UNIVERSE_STATUS,PLAN_AUTHORITY_STATUS,PLAN_IDENTITY_CONFIDENCE,TRACKER_INDICATOR,PLAN_DBF_INDICATOR,CROSSWALK_INDICATOR,RATE_REQUIREMENTS_INDICATOR,RESERVE_STAGING_INDICATOR,DRAFT_OUTPUT_INDICATOR,POSSIBLE_ALIAS,CANONICAL_PLAN_CODE,CLIENT_REVIEW_REQUIRED,ACTUARIAL_REVIEW_REQUIRED,INTERNAL_REVIEW_REQUIRED,RELATED_DECISION_ID
CIT-PLAN-0001,$GS2,,,,BASE,UNKNOWN,UNKNOWN,,,READY_FOR_REVIEW,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,1,PENDING_REVIEW,Working governance row from Stage 4A; not client-approved,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,MEDIUM,N,Y,N,N,N,N,,$GS2,Y,Y,Y,CIT-DEC-003
CIT-PLAN-0002,.822,,,,BASE,UNKNOWN,UNKNOWN,,,READY_FOR_REVIEW,NOT_STARTED,NOT_STARTED,NOT_STARTED,READY_FOR_REVIEW,IN_PROGRESS,NOT_STARTED,NOT_STARTED,,0,PENDING_REVIEW,Working governance row from Stage 4A; not client-approved,IN_SCOPE_PENDING_SOURCE,PENDING_REVIEW,LOW,N,N,N,N,Y,Y,,.822,N,Y,Y,
CIT-PLAN-0003,0000,,,,BASE,UNKNOWN,UNKNOWN,,,READY_FOR_REVIEW,NOT_STARTED,NOT_STARTED,NOT_STARTED,READY_FOR_REVIEW,IN_PROGRESS,NOT_STARTED,NOT_STARTED,,0,PENDING_REVIEW,Working governance row from Stage 4A; not client-approved,IN_SCOPE_PENDING_SOURCE,PENDING_REVIEW,LOW,N,N,N,N,Y,Y,,0000,N,Y,Y,
CIT-PLAN-0004,010G,WAIVER OF PREMIUM,10010G,Rider,RIDER,UNKNOWN,UNKNOWN,,,READY_FOR_REVIEW,IN_PROGRESS,IN_PROGRESS,NOT_STARTED,IN_PROGRESS,NOT_STARTED,NOT_STARTED,NOT_STARTED,,0,PENDING_REVIEW,Working governance row from Stage 4A; not client-approved,IN_SCOPE_RIDER,PENDING_REVIEW,HIGH,Y,Y,Y,Y,N,N,,010G,N,N,Y,
CIT-PLAN-0005,011G,WAIVER OF PREMIUM,10011G,Rider,RIDER,UNKNOWN,UNKNOWN,,,READY_FOR_REVIEW,IN_PROGRESS,IN_PROGRESS,NOT_STARTED,IN_PROGRESS,NOT_STARTED,NOT_STARTED,NOT_STARTED,,0,PENDING_REVIEW,Working governance row from Stage 4A; not client-approved,IN_SCOPE_RIDER,PENDING_REVIEW,HIGH,Y,Y,Y,Y,N,N,,011G,N,N,Y,
CIT-PLAN-0006,012G,WAIVER OF PREMIUM,10012G,Rider,RIDER,UNKNOWN,UNKNOWN,,,READY_FOR_REVIEW,IN_PROGRESS,IN_PROGRESS,NOT_STARTED,IN_PROGRESS,NOT_STARTED,NOT_STARTED,NOT_STARTED,,0,PENDING_REVIEW,Working governance row from Stage 4A; not client-approved,IN_SCOPE_RIDER,PENDING_REVIEW,HIGH,Y,Y,Y,Y,N,N,,012G,N,N,Y,
CIT-PLAN-0007,013G,WAIVER OF PREMIUM,10013G,Rider,RIDER,UNKNOWN,UNKNOWN,,,READY_FOR_REVIEW,IN_PROGRESS,IN_PROGRESS,NOT_STARTED,IN_PROGRESS,NOT_STARTED,NOT_STARTED,NOT_STARTED,,0,PENDING_REVIEW,Working governance row from Stage 4A; not client-approved,IN_SCOPE_RIDER,PENDING_REVIEW,HIGH,Y,Y,Y,Y,N,N,,013G,N,N,Y,
CIT-PLAN-0008,014G,WAIVER OF PREMIUM,10014G,Rider,RIDER,UNKNOWN,UNKNOWN,,,READY_FOR_REVIEW,IN_PROGRESS,IN_PROGRESS,NOT_STARTED,IN_PROGRESS,NOT_STARTED,NOT_STARTED,NOT_STARTED,,0,PENDING_REVIEW,Working governance row from Stage 4A; not client-approved,IN_SCOPE_RIDER,PENDING_REVIEW,HIGH,Y,Y,Y,Y,N,N,,014G,N,N,Y,
CIT-PLAN-0009,020G,WAVIER OF PREMIUM,,Rider,RIDER,UNKNOWN,UNKNOWN,,,READY_FOR_REVIEW,IN_PROGRESS,NOT_STARTED,NOT_STARTED,IN_PROGRESS,NOT_STARTED,NOT_STARTED,NOT_STARTED,,1,PENDING_REVIEW,Working governance row from Stage 4A; not client-approved,IN_SCOPE_RIDER,PENDING_REVIEW,HIGH,Y,Y,N,Y,N,N,,020G,N,N,Y,CIT-DEC-004
CIT-PLAN-0010,021G,WPOB D/D,,Rider,RIDER,UNKNOWN,UNKNOWN,,,READY_FOR_REVIEW,IN_PROGRESS,NOT_STARTED,NOT_STARTED,IN_PROGRESS,NOT_STARTED,NOT_STARTED,NOT_STARTED,,1,PENDING_REVIEW,Working governance row from Stage 4A; not client-approved,IN_SCOPE_RIDER,PENDING_REVIEW,HIGH,Y,Y,N,Y,N,N,,021G,N,N,Y,CIT-DEC-004
CIT-PLAN-0011,051G,ACCIDENTAL DEATH BENEFIT,9051G,Rider,RIDER,UNKNOWN,UNKNOWN,,,READY_FOR_REVIEW,IN_PROGRESS,IN_PROGRESS,NOT_STARTED,IN_PROGRESS,NOT_STARTED,NOT_STARTED,NOT_STARTED,,0,PENDING_REVIEW,Working governance row from Stage 4A; not client-approved,IN_SCOPE_RIDER,PENDING_REVIEW,HIGH,Y,Y,Y,Y,N,N,,051G,N,N,Y,
CIT-PLAN-0012,052G,ACCIDENTAL DEATH BENEFIT,9052G,Rider,RIDER,UNKNOWN,UNKNOWN,,,READY_FOR_REVIEW,IN_PROGRESS,IN_PROGRESS,NOT_STARTED,IN_PROGRESS,NOT_STARTED,NOT_STARTED,NOT_STARTED,,0,PENDING_REVIEW,Working governance row from Stage 4A; not client-approved,IN_SCOPE_RIDER,PENDING_REVIEW,HIGH,Y,Y,Y,Y,N,N,,052G,N,N,Y,
