policy,reversal,eff,added,amt,credit,control,isrr_date,isrr_amt,match_status
9010815236,,20181002,20181002,174.51,13,434631806051,20181002,174.51,Exact Match
9010815236,,20191002,20191002,174.51,13,438291809179,20191002,174.51,Exact Match
9010815236,,20201002,20201002,174.51,13,441961853037,20201002,174.51,Exact Match
9010815236,,20211002,20211004,174.51,13,445631830435,20211002,174.51,Exact Match
9010815236,,20221002,20221201,174.51,13,449872040503,20221002,174.51,Exact Match
9010815236,,20231212,20231212,176.67,12,453640723536,20231212,176.67,Exact Match
9010815236,,20241002,20241002,176.67,13,456601814310,20241002,176.67,Exact Match
9010815236,,20251002,20251002,176.67,13,460251826513,20251002,176.67,Exact Match
9010815236,Y,20221002,20221003,174.51,13,449282022261,,,Reversed — excluded from emit by Issue 34
9011050114,,20171226,20180227,136.0,13,432461110410,20171226,136.0,Exact Match
9011069610,,20260304,20260220,406.0,13,461671013598,20260304,406.0,Exact Match
