line,group,policy,valx_units,qla_live_units,listed_diff,billing_reason,vanish_flag,is_vb,bucket,lp_or_seed_units,conversion_munit,n_0561,sum_0561,unit_impact_0561,counterfactual_units,computed_valx_minus_qla,qla_live_minus_counterfactual,qla_matches_counterfactual,listed_diff_matches_0561_impact,valx_matches_lp_units
2,Interest-Sensitive Whole Life,9011050114,25.0,24.864,0.136,VB,T,True,145B_GOLD,25.0,25.0,1,136.0,0.136,24.864,0.136,0.0,True,True,True
3,Interest-Sensitive Whole Life,9010756540,25.0,24.812,0.188,VB,T,True,145B_VB,25.0,25.0,1,187.75,0.18775,24.81225,0.188,-0.00025,True,True,True
4,Interest-Sensitive Whole Life,9010828370,25.0,24.786,0.214,VB,T,True,145B_VB,25.0,25.0,1,214.25,0.21425,24.78575,0.214,0.00025,True,True,True
5,Interest-Sensitive Whole Life,9010761639,25.0,24.729,0.271,,,False,146,25.0,,1,271.0,0.271,24.729,0.271,0.0,True,True,True
6,Interest-Sensitive Whole Life,9010796908,25.0,24.709,0.291,VB,T,True,145B_VB,25.0,25.0,1,290.75,0.29075,24.70925,0.291,-0.00025,True,True,True
7,Interest-Sensitive Whole Life,9010779552,25.0,24.65,0.35,VB,T,True,145B_VB,25.0,25.0,2,350.5,0.3505,24.6495,0.35,0.0005,True,True,True
8,Interest-Sensitive Whole Life,9011069610,50.0,49.594,0.406,VB,T,True,145B_GOLD,50.0,50.0,1,406.0,0.406,49.594,0.406,0.0,True,True,True
9,Interest-Sensitive Whole Life,9010905200,25.0,24.585,0.415,VB,T,True,145B_VB,25.0,25.0,4,553.0,0.553,24.447,0.415,0.138,False,False,True
10,Interest-Sensitive Whole Life,9011151436,25.0,24.549,0.451,VB,T,True,145B_VB,25.0,25.0,4,451.0,0.451,24.549,0.451,0.0,True,True,True
11,Interest-Sensitive Whole Life,9010787560,5.0,4.51,0.49,VB,T,True,145B_VB,5.0,5.0,3,489.6,0.4896,4.5104,0.49,-0.0004,True,True,True
12,Interest-Sensitive Whole Life,9010765198,16.0,15.508,0.492,PC,,False,146_OTHER,16.0,,1,492.36,0.49236,15.50764,0.492,0.00036,True,True,True
13,Interest-Sensitive Whole Life,9010732270,25.0,24.497,0.503,VB,T,True,145B_VB,25.0,25.0,4,503.0,0.503,24.497,0.503,0.0,True,True,True
14,Interest-Sensitive Whole Life,9010813196,25.0,24.49,0.51,VB,T,True,145B_VB,25.0,25.0,2,509.5,0.5095,24.4905,0.51,-0.0005,True,True,True
15,Interest-Sensitive Whole Life,9010747636,25.0,24.461,0.539,VB,T,True,145B_VB,25.0,25.0,4,539.0,0.539,24.461,0.539,0.0,True,True,True
16,Interest-Sensitive Whole Life,9010817808,25.0,24.441,0.559,VB,T,True,145B_VB,25.0,25.0,2,558.5,0.5585,24.4415,0.559,-0.0005,True,True,True
17,Interest-Sensitive Whole Life,9010732276,25.0,24.399,0.601,VB,T,True,145B_VB,25.0,25.0,4,601.0,0.601,24.399,0.601,0.0,True,True,True
18,Interest-Sensitive Whole Life,9010753409,25.0,24.395,0.605,VB,T,True,145B_VB,25.0,25.0,6,726.0,0.726,24.274,0.605,0.121,False,False,True
19,Interest-Sensitive Whole Life,9010849882,10.0,9.389,0.611,PC,,False,146_OTHER,10.0,,1,611.5,0.6115,9.3885,0.611,0.0005,True,True,True
20,Interest-Sensitive Whole Life,9010767770,25.0,24.358,0.642,VB,T,True,145B_VB,25.0,25.0,5,642.5,0.6425,24.3575,0.642,0.0005,True,True,True
21,Interest-Sensitive Whole Life,9010758550,7.0,6.345,0.655,PC,,False,146_OTHER,7.0,,3,655.44,0.65544,6.34456,0.655,0.00044,True,True,True
22,Interest-Sensitive Whole Life,9011038645,25.0,24.323,0.677,VB,T,True,145B_VB,25.0,25.0,6,676.5,0.6765,24.3235,0.677,-0.0005,True,True,True
23,Interest-Sensitive Whole Life,9011152870,25.0,24.323,0.677,VB,T,True,145B_VB,25.0,25.0,6,676.5,0.6765,24.3235,0.677,-0.0005,True,True,True
24,Interest-Sensitive Whole Life,9010749906,25.0,24.309,0.691,VB,T,True,145B_VB,25.0,25.0,6,691.32,0.69132,24.30868,0.691,0.00032,True,True,True
25,Interest-Sensitive Whole Life,9010821435,10.0,9.298,0.702,PC,,False,146_OTHER,10.0,,2,702.4,0.7024,9.2976,0.702,0.0004,True,True,True
26,Interest-Sensitive Whole Life,9010815236,24.30594,23.597,0.70894,VB,T,True,145B_GOLD,25.0,25.0,8,1402.56,1.40256,23.59744,0.70894,-0.00044,True,False,False
27,Interest-Sensitive Whole Life,9010760840,35.0,34.284,0.716,,,False,146,35.0,,2,716.4,0.7164,34.2836,0.716,0.0004,True,True,True
28,Interest-Sensitive Whole Life,9010773468,5.0,4.283,0.717,PC,,False,146_OTHER,5.0,,4,717.4,0.7174,4.2826,0.717,0.0004,True,True,True
29,Interest-Sensitive Whole Life,9010851112,25.0,24.274,0.726,VB,T,True,145B_VB,25.0,25.0,6,726.0,0.726,24.274,0.726,0.0,True,True,True
30,Interest-Sensitive Whole Life,9010806653,25.0,24.252,0.748,VB,T,True,145B_VB,25.0,25.0,4,748.0,0.748,24.252,0.748,0.0,True,True,True
31,Interest-Sensitive Whole Life,9010736736,25.0,24.192,0.808,VB,T,True,145B_VB,25.0,25.0,6,808.5,0.8085,24.1915,0.808,0.0005,True,True,True
32,Interest-Sensitive Whole Life,9010763378,25.0,24.153,0.847,,,False,146_OTHER,25.0,,7,847.0,0.847,24.153,0.847,0.0,True,True,True
33,Interest-Sensitive Whole Life,9010788679,5.0,4.108,0.892,PC,,False,146_OTHER,5.0,,6,892.2,0.8922,4.1078,0.892,0.0002,True,True,True
34,Interest-Sensitive Whole Life,9010741302,25.0,24.098,0.902,VB,T,True,145B_VB,25.0,25.0,6,901.5,0.9015,24.0985,0.902,-0.0005,True,True,True
35,Interest-Sensitive Whole Life,9010768067,25.0,24.098,0.902,VB,T,True,145B_VB,25.0,25.0,8,902.0,0.902,24.098,0.902,0.0,True,True,True
36,Interest-Sensitive Whole Life,9010796916,25.0,24.098,0.902,VB,T,True,145B_VB,25.0,25.0,9,1014.75,1.01475,23.98525,0.902,0.11275,False,False,True
37,Interest-Sensitive Whole Life,9010814931,25.0,24.098,0.902,VB,T,True,145B_VB,25.0,25.0,8,902.0,0.902,24.098,0.902,0.0,True,True,True
38,Interest-Sensitive Whole Life,9010845099,25.0,24.098,0.902,VB,T,True,145B_VB,25.0,25.0,8,902.0,0.902,24.098,0.902,0.0,True,True,True
39,Interest-Sensitive Whole Life,9010924513,25.0,24.098,0.902,VB,T,True,145B_VB,25.0,25.0,8,902.0,0.902,24.098,0.902,0.0,True,True,True
40,Interest-Sensitive Whole Life,9011075278,25.0,24.098,0.902,VB,T,True,145B_VB,25.0,25.0,8,902.0,0.902,24.098,0.902,0.0,True,True,True
41,Interest-Sensitive Whole Life,9011134002,25.0,24.095,0.905,VB,T,True,145B_VB,25.0,25.0,5,905.0,0.905,24.095,0.905,0.0,True,True,True
42,Interest-Sensitive Whole Life,9010757607,25.0,24.074,0.926,VB,T,True,145B_VB,25.0,25.0,8,926.0,0.926,24.074,0.926,0.0,True,True,True
43,Interest-Sensitive Whole Life,9010847480,25.0,24.074,0.926,VB,T,True,145B_VB,25.0,25.0,8,926.0,0.926,24.074,0.926,0.0,True,True,True
44,Interest-Sensitive Whole Life,9011060621,25.0,24.074,0.926,VB,T,True,145B_VB,25.0,25.0,8,926.0,0.926,24.074,0.926,0.0,True,True,True
45,Interest-Sensitive Whole Life,9010785324,25.0,24.068,0.932,VB,T,True,145B_VB,25.0,25.0,9,931.5,0.9315,24.0685,0.932,-0.0005,True,True,True
46,Interest-Sensitive Whole Life,9010804327,25.0,24.035,0.965,VB,T,True,145B_VB,25.0,25.0,3,964.5,0.9645,24.0355,0.965,-0.0005,True,True,True
47,Interest-Sensitive Whole Life,9010797832,25.0,24.032,0.968,VB,T,True,145B_VB,25.0,25.0,9,1089.0,1.089,23.911,0.968,0.121,False,False,True
48,Interest-Sensitive Whole Life,9010800286,25.0,24.032,0.968,VB,T,True,145B_VB,25.0,25.0,8,968.0,0.968,24.032,0.968,0.0,True,True,True
49,Interest-Sensitive Whole Life,9010911853,25.0,24.032,0.968,VB,T,True,145B_VB,25.0,25.0,8,968.0,0.968,24.032,0.968,0.0,True,True,True
50,Interest-Sensitive Whole Life,9010797831,25.0,24.014,0.986,VB,T,True,145B_VB,25.0,25.0,9,1109.25,1.10925,23.89075,0.986,0.12325,False,False,True
51,Interest-Sensitive Whole Life,9010807722,28.49,27.49,1.0,VB,T,True,145B_VB,28.49,28.49,8,1000.0,1.0,27.49,1.0,0.0,True,True,True
52,Interest-Sensitive Whole Life,9010842857,50.0,48.998,1.002,VB,T,True,145B_VB,50.0,50.0,6,1203.0,1.203,48.797,1.002,0.201,False,False,True
53,Interest-Sensitive Whole Life,9010749849,25.0,23.985,1.015,VB,T,True,145B_VB,25.0,25.0,9,1014.75,1.01475,23.98525,1.015,-0.00025,True,True,True
54,Interest-Sensitive Whole Life,9010938321,25.0,23.985,1.015,VB,T,True,145B_VB,25.0,25.0,9,1014.75,1.01475,23.98525,1.015,-0.00025,True,True,True
55,Interest-Sensitive Whole Life,9011085559,25.0,23.985,1.015,VB,T,True,145B_VB,25.0,25.0,9,1014.75,1.01475,23.98525,1.015,-0.00025,True,True,True
56,Interest-Sensitive Whole Life,9011087128,25.0,23.979,1.021,VB,T,True,145B_VB,25.0,25.0,3,1020.75,1.02075,23.97925,1.021,-0.00025,True,True,True
57,Interest-Sensitive Whole Life,9010790077,25.0,23.978,1.022,VB,T,True,145B_VB,25.0,25.0,9,1021.5,1.0215,23.9785,1.022,-0.0005,True,True,True
58,Interest-Sensitive Whole Life,9010825759,25.0,23.978,1.022,VB,T,True,145B_VB,25.0,25.0,9,1021.5,1.0215,23.9785,1.022,-0.0005,True,True,True
59,Interest-Sensitive Whole Life,9010776813,5.0,3.974,1.026,PC,,False,146_OTHER,5.0,,6,1026.3,1.0263,3.9737,1.026,0.0003,True,True,True
60,Interest-Sensitive Whole Life,9010764684,25.0,23.972,1.028,VB,T,True,145B_VB,25.0,25.0,8,1028.0,1.028,23.972,1.028,0.0,True,True,True
61,Interest-Sensitive Whole Life,9010803676,25.0,23.972,1.028,VB,T,True,145B_VB,25.0,25.0,8,1028.0,1.028,23.972,1.028,0.0,True,True,True
62,Interest-Sensitive Whole Life,9010817367,25.0,23.972,1.028,VB,T,True,145B_VB,25.0,25.0,8,1028.0,1.028,23.972,1.028,0.0,True,True,True
63,Interest-Sensitive Whole Life,9010748334,25.0,23.969,1.031,VB,T,True,145B_VB,25.0,25.0,9,1030.5,1.0305,23.9695,1.031,-0.0005,True,True,True
64,Interest-Sensitive Whole Life,9010817956,5.0,3.959,1.041,PC,,False,146_OTHER,5.0,,7,1040.9,1.0409,3.9591,1.041,-0.0001,True,True,True
65,Interest-Sensitive Whole Life,9011129276,25.0,23.957,1.043,VB,T,True,145B_VB,25.0,25.0,4,1043.0,1.043,23.957,1.043,0.0,True,True,True
66,Interest-Sensitive Whole Life,9010774973,25.0,23.948,1.052,VB,T,True,145B_VB,25.0,25.0,6,1051.5,1.0515,23.9485,1.052,-0.0005,True,True,True
67,Interest-Sensitive Whole Life,9010951456,25.0,23.948,1.052,VB,T,True,145B_VB,25.0,25.0,8,1052.0,1.052,23.948,1.052,0.0,True,True,True
68,Interest-Sensitive Whole Life,9010791323,25.0,23.945,1.055,VB,T,True,145B_VB,25.0,25.0,9,1055.25,1.05525,23.94475,1.055,0.00025,True,True,True
69,Interest-Sensitive Whole Life,9010784075,25.0,23.929,1.071,VB,T,True,145B_VB,25.0,25.0,9,1071.0,1.071,23.929,1.071,0.0,True,True,True
70,Interest-Sensitive Whole Life,9010825719,25.0,23.929,1.071,VB,T,True,145B_VB,25.0,25.0,9,1071.0,1.071,23.929,1.071,0.0,True,True,True
71,Interest-Sensitive Whole Life,9010719553,25.0,23.922,1.078,VB,T,True,145B_VB,25.0,25.0,9,1212.75,1.21275,23.78725,1.078,0.13475,False,False,True
72,Interest-Sensitive Whole Life,9010726922,25.0,23.922,1.078,VB,T,True,145B_VB,25.0,25.0,8,1078.0,1.078,23.922,1.078,0.0,True,True,True
73,Interest-Sensitive Whole Life,9010775722,25.0,23.922,1.078,VB,T,True,145B_VB,25.0,25.0,8,1078.0,1.078,23.922,1.078,0.0,True,True,True
74,Interest-Sensitive Whole Life,9010804853,25.0,23.922,1.078,VB,T,True,145B_VB,25.0,25.0,8,1078.0,1.078,23.922,1.078,0.0,True,True,True
75,Interest-Sensitive Whole Life,9010902973,25.0,23.922,1.078,VB,T,True,145B_VB,25.0,25.0,9,1212.75,1.21275,23.78725,1.078,0.13475,False,False,True
76,Interest-Sensitive Whole Life,9010731608,25.0,23.916,1.084,VB,T,True,145B_VB,25.0,25.0,4,1084.0,1.084,23.916,1.084,0.0,True,True,True
77,Interest-Sensitive Whole Life,9010748556,25.0,23.911,1.089,VB,T,True,145B_VB,25.0,25.0,9,1089.0,1.089,23.911,1.089,0.0,True,True,True
78,Interest-Sensitive Whole Life,9010791405,25.0,23.911,1.089,VB,T,True,145B_VB,25.0,25.0,9,1089.0,1.089,23.911,1.089,0.0,True,True,True
79,Interest-Sensitive Whole Life,9010838710,25.0,23.911,1.089,VB,T,True,145B_VB,25.0,25.0,9,1089.0,1.089,23.911,1.089,0.0,True,True,True
80,Interest-Sensitive Whole Life,9011002616,25.0,23.911,1.089,VB,T,True,145B_VB,25.0,25.0,9,1089.0,1.089,23.911,1.089,0.0,True,True,True
81,Interest-Sensitive Whole Life,9011071018,25.0,23.911,1.089,VB,T,True,145B_VB,25.0,25.0,9,1089.0,1.089,23.911,1.089,0.0,True,True,True
82,Interest-Sensitive Whole Life,9010771070,10.0,8.91,1.09,PC,,False,146_OTHER,10.0,,4,1089.6,1.0896,8.9104,1.09,-0.0004,True,True,True
83,Interest-Sensitive Whole Life,9010816969,6.0,4.909,1.091,PC,,False,146_OTHER,6.0,,6,1091.4,1.0914,4.9086,1.091,0.0004,True,True,True
84,Interest-Sensitive Whole Life,9010808831,25.0,23.894,1.106,,,False,146_OTHER,25.0,,8,1106.0,1.106,23.894,1.106,0.0,True,True,True
85,Interest-Sensitive Whole Life,9010809977,25.0,23.894,1.106,VB,T,True,145B_VB,25.0,25.0,8,1106.0,1.106,23.894,1.106,0.0,True,True,True
86,Interest-Sensitive Whole Life,9010775723,25.0,23.891,1.109,VB,T,True,145B_VB,25.0,25.0,9,1109.25,1.10925,23.89075,1.109,0.00025,True,True,True
87,Interest-Sensitive Whole Life,9010809361,17.516,16.386,1.13,VB,T,True,145B_VB,17.516,17.516,8,1130.48,1.13048,16.38552,1.13,0.00048,True,True,True
88,Interest-Sensitive Whole Life,9010745750,25.0,23.868,1.132,VB,T,True,145B_VB,25.0,25.0,9,1131.75,1.13175,23.86825,1.132,-0.00025,True,True,True
89,Interest-Sensitive Whole Life,9010992126,25.0,23.864,1.136,VB,T,True,145B_VB,25.0,25.0,9,1278.0,1.278,23.722,1.136,0.142,False,False,True
90,Interest-Sensitive Whole Life,9011053882,102.52432,101.388,1.13632,VB,T,True,145B_VB,102.52432,102.52432,1,1136.36,1.13636,101.38796,1.13632,4e-05,True,True,True
91,Interest-Sensitive Whole Life,9010978232,5.0,3.863,1.137,VB,T,True,145B_VB,5.0,5.0,8,1136.8,1.1368,3.8632,1.137,-0.0002,True,True,True
92,Interest-Sensitive Whole Life,9010810228,5.0,3.858,1.142,PC,,False,146_OTHER,5.0,,7,1142.4,1.1424,3.8576,1.142,0.0004,True,True,True
93,Interest-Sensitive Whole Life,9010713707,25.0,23.843,1.157,VB,T,True,145B_VB,25.0,25.0,9,1156.5,1.1565,23.8435,1.157,-0.0005,True,True,True
94,Interest-Sensitive Whole Life,9010745456,25.0,23.843,1.157,VB,T,True,145B_VB,25.0,25.0,9,1156.5,1.1565,23.8435,1.157,-0.0005,True,True,True
95,Interest-Sensitive Whole Life,9010839122,25.0,23.843,1.157,VB,T,True,145B_VB,25.0,25.0,9,1156.5,1.1565,23.8435,1.157,-0.0005,True,True,True
96,Interest-Sensitive Whole Life,9010848398,25.0,23.832,1.168,VB,T,True,145B_VB,25.0,25.0,8,1168.0,1.168,23.832,1.168,0.0,True,True,True
97,Interest-Sensitive Whole Life,9010817304,25.0,23.816,1.184,VB,T,True,145B_VB,25.0,25.0,4,1184.0,1.184,23.816,1.184,0.0,True,True,True
98,Interest-Sensitive Whole Life,9010816990,5.0,3.81,1.19,VB,T,True,145B_VB,5.0,5.0,8,1189.6,1.1896,3.8104,1.19,-0.0004,True,True,True
99,Interest-Sensitive Whole Life,9010789546,25.0,23.805,1.195,VB,T,True,145B_VB,25.0,25.0,4,1195.0,1.195,23.805,1.195,0.0,True,True,True
100,Interest-Sensitive Whole Life,9010794751,25.0,23.798,1.202,VB,T,True,145B_VB,25.0,25.0,9,1352.25,1.35225,23.64775,1.202,0.15025,False,False,True
101,Interest-Sensitive Whole Life,9010759008,25.0,23.762,1.238,VB,T,True,145B_VB,25.0,25.0,8,1238.0,1.238,23.762,1.238,0.0,True,True,True
102,Interest-Sensitive Whole Life,9010764319,25.0,23.762,1.238,VB,T,True,145B_VB,25.0,25.0,8,1238.0,1.238,23.762,1.238,0.0,True,True,True
103,Interest-Sensitive Whole Life,9010817366,25.0,23.762,1.238,VB,T,True,145B_VB,25.0,25.0,8,1238.0,1.238,23.762,1.238,0.0,True,True,True
104,Interest-Sensitive Whole Life,9010844403,25.0,23.762,1.238,VB,T,True,145B_VB,25.0,25.0,8,1238.0,1.238,23.762,1.238,0.0,True,True,True
105,Interest-Sensitive Whole Life,9010779551,25.0,23.756,1.244,VB,T,True,145B_VB,25.0,25.0,9,1244.25,1.24425,23.75575,1.244,0.00025,True,True,True
106,Interest-Sensitive Whole Life,9010770062,10.0,8.732,1.268,PC,,False,146_OTHER,10.0,,4,1268.4,1.2684,8.7316,1.268,0.0004,True,True,True
107,Interest-Sensitive Whole Life,9010842017,60.0,58.73,1.27,VB,T,True,145B_VB,60.0,60.0,3,1270.2,1.2702,58.7298,1.27,0.0002,True,True,True
108,Interest-Sensitive Whole Life,9010892016,5.0,3.721,1.279,VB,T,True,145B_VB,5.0,5.0,9,1278.9,1.2789,3.7211,1.279,-0.0001,True,True,True
109,Interest-Sensitive Whole Life,9011087127,25.0,23.7,1.3,VB,T,True,145B_VB,25.0,25.0,3,1300.5,1.3005,23.6995,1.3,0.0005,True,True,True
110,Interest-Sensitive Whole Life,9010842016,60.0,58.688,1.312,VB,T,True,145B_VB,60.0,60.0,3,1311.6,1.3116,58.6884,1.312,-0.0004,True,True,True
111,Interest-Sensitive Whole Life,9010798030,25.0,23.684,1.316,VB,T,True,145B_VB,25.0,25.0,9,1480.5,1.4805,23.5195,1.316,0.1645,False,False,True
112,Interest-Sensitive Whole Life,9010815523,25.0,23.684,1.316,VB,T,True,145B_VB,25.0,25.0,8,1316.0,1.316,23.684,1.316,0.0,True,True,True
113,Interest-Sensitive Whole Life,9010993841,6.0,4.676,1.324,VB,T,True,145B_VB,6.0,6.0,8,1324.16,1.32416,4.67584,1.324,0.00016,True,True,True
114,Interest-Sensitive Whole Life,9010830094,35.0,33.669,1.331,VB,T,True,145B_VB,35.0,35.0,9,1330.65,1.33065,33.66935,1.331,-0.00035,True,True,True
115,Interest-Sensitive Whole Life,9010807518,25.0,23.652,1.348,VB,T,True,145B_VB,25.0,25.0,8,1348.0,1.348,23.652,1.348,0.0,True,True,True
116,Interest-Sensitive Whole Life,9010764810,25.0,23.642,1.358,VB,T,True,145B_VB,25.0,25.0,8,1358.0,1.358,23.642,1.358,0.0,True,True,True
117,Interest-Sensitive Whole Life,9010844402,25.0,23.642,1.358,VB,T,True,145B_VB,25.0,25.0,8,1358.0,1.358,23.642,1.358,0.0,True,True,True
118,Interest-Sensitive Whole Life,9010902972,25.0,23.642,1.358,VB,T,True,145B_VB,25.0,25.0,9,1527.75,1.52775,23.47225,1.358,0.16975,False,False,True
119,Interest-Sensitive Whole Life,9010828369,25.0,23.604,1.396,VB,T,True,145B_VB,25.0,25.0,5,1396.25,1.39625,23.60375,1.396,0.00025,True,True,True
120,Interest-Sensitive Whole Life,9011134001,25.0,23.569,1.431,VB,T,True,145B_VB,25.0,25.0,6,1431.0,1.431,23.569,1.431,0.0,True,True,True
121,Interest-Sensitive Whole Life,9010796912,25.0,23.566,1.434,VB,T,True,145B_VB,25.0,25.0,8,1434.0,1.434,23.566,1.434,0.0,True,True,True
122,Interest-Sensitive Whole Life,9010759385,5.0,3.565,1.435,VB,T,True,145B_VB,5.0,5.0,8,1434.8,1.4348,3.5652,1.435,-0.0002,True,True,True
123,Interest-Sensitive Whole Life,9010780393,25.0,23.564,1.436,VB,T,True,145B_VB,25.0,25.0,9,1435.5,1.4355,23.5645,1.436,-0.0005,True,True,True
124,Interest-Sensitive Whole Life,9010729500,25.0,23.552,1.448,VB,T,True,145B_VB,25.0,25.0,8,1448.0,1.448,23.552,1.448,0.0,True,True,True
125,Interest-Sensitive Whole Life,9010758540,25.0,23.552,1.448,VB,T,True,145B_VB,25.0,25.0,8,1448.0,1.448,23.552,1.448,0.0,True,True,True
126,Interest-Sensitive Whole Life,9010815524,25.0,23.552,1.448,VB,T,True,145B_VB,25.0,25.0,8,1448.0,1.448,23.552,1.448,0.0,True,True,True
127,Interest-Sensitive Whole Life,9010748335,25.0,23.52,1.48,VB,T,True,145B_VB,25.0,25.0,9,1480.5,1.4805,23.5195,1.48,0.0005,True,True,True
128,Interest-Sensitive Whole Life,9010782064,25.0,23.52,1.48,VB,T,True,145B_VB,25.0,25.0,9,1480.5,1.4805,23.5195,1.48,0.0005,True,True,True
129,Interest-Sensitive Whole Life,9010782640,25.0,23.52,1.48,VB,T,True,145B_VB,25.0,25.0,9,1480.5,1.4805,23.5195,1.48,0.0005,True,True,True
130,Interest-Sensitive Whole Life,9010795898,25.0,23.52,1.48,VB,T,True,145B_VB,25.0,25.0,9,1480.5,1.4805,23.5195,1.48,0.0005,True,True,True
131,Interest-Sensitive Whole Life,9010786800,50.0,48.509,1.491,VB,T,True,145B_VB,50.0,50.0,7,1491.0,1.491,48.509,1.491,0.0,True,True,True
132,Interest-Sensitive Whole Life,9010761673,25.0,23.504,1.496,VB,T,True,145B_VB,25.0,25.0,8,1496.0,1.496,23.504,1.496,0.0,True,True,True
133,Interest-Sensitive Whole Life,9010794730,25.0,23.504,1.496,VB,T,True,145B_VB,25.0,25.0,9,1683.0,1.683,23.317,1.496,0.187,False,False,True
134,Interest-Sensitive Whole Life,9010969231,5.0,3.495,1.505,PC,,False,146_OTHER,5.0,,8,1504.8,1.5048,3.4952,1.505,-0.0002,True,True,True
135,Interest-Sensitive Whole Life,9011008707,5.0,3.495,1.505,VB,T,True,145B_VB,5.0,5.0,8,1504.8,1.5048,3.4952,1.505,-0.0002,True,True,True
136,Interest-Sensitive Whole Life,9011080481,50.0,48.481,1.519,VB,T,True,145B_VB,50.0,50.0,7,1519.0,1.519,48.481,1.519,0.0,True,True,True
137,Interest-Sensitive Whole Life,9010826551,5.0,3.48,1.52,PC,,False,146_OTHER,5.0,,7,1520.4,1.5204,3.4796,1.52,0.0004,True,True,True
