emitted_plan,source_coverage_id,source_row_identifier,form,descr,planname,authority_layer_used,fallback_layer_used,pre_overlay_plan,crosswalk_ql_plan_code,product_catalog_crosswalk_used,master_crosswalk_fallback_used,raw_passthrough_occurred,overlay_applied,uat_overlay_enabled,authorized_by_policy_form_crosswalk,rulebook_lineage,recommended_remediation,business_review_status
920ADB,0822 620,0822 620,0822 620,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DB - 621 END85,POLICY_FORM_CROSSWALK,,920ADB,920ADB,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
965ADB,0822 665,0822 665,0822 665,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DB - 665 STME95,POLICY_FORM_CROSSWALK,,965ADB,965ADB,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
960ADB,0822 960,0822 960,0822 960,ACCIDENTAL DEATH BENEFIT,"ACCIDENTAL DB - 960 LP85-M, 960 OL",POLICY_FORM_CROSSWALK,,960ADB,960ADB,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9POADB,0822 960PO,0822 960PO,0822 960PO,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT - 960 PO,POLICY_FORM_CROSSWALK,,9POADB,9POADB,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9665WP,0823 665,0823 665,0823 665,WAIVER OF PREMIUM,WAIVER OF PREM - 665 STME95,POLICY_FORM_CROSSWALK,,9665WP,9665WP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9896WP,0823 896,0823 896,0823 896,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 665 STME95,POLICY_FORM_CROSSWALK,,9896WP,9896WP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9085WP,0823 96085,0823 96085,0823 96085,WAIVER OF PREMIUM - LPU AT 85/88,WAIVER OF PREMIUM - 960 LP85-M,POLICY_FORM_CROSSWALK,,9085WP,9085WP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
960CWP,0823 960CH,0823 960CH,0823 960CH,WAIVER OF PREMIUM - CHILD,WAIVER OF PREMIUM - CHILD,POLICY_FORM_CROSSWALK,,0823 960CH,960CWP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
9065WP,0823 960LP,0823 960LP,0823 960LP,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 960 LP65,POLICY_FORM_CROSSWALK,,9065WP,9065WP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
90OLWP,0823 960OL,0823 960OL,0823 960OL,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 960 OL,POLICY_FORM_CROSSWALK,,90OLWP,90OLWP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
90POWP,0823 960PO,0823 960PO,0823 960PO,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 960 PO,POLICY_FORM_CROSSWALK,,90POWP,90POWP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
960SWP,0823 960SP,0823 960SP,0823 960SP,WAIVER OF PREMIUM - SPOUSE,"SPOUSE WAIV OF PREM - 960 LP85-M, 960 PO",POLICY_FORM_CROSSWALK,,960SWP,960SWP,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
94PDIS,0824 P DIS,0824 P DIS,0824 P DIS,& PAYOR DISABILITY RIDER,& PAYOR DISABILITY RIDER,POLICY_FORM_CROSSWALK,,0824 P DIS,94PDIS,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
90PDTH,0824 P DTH,0824 P DTH,0824 P DTH,PAYOR DEATH,PAYOR DEATH - 960 OL,POLICY_FORM_CROSSWALK,,90PDTH,90PDTH,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
17CSI3,10827 CSI3,10827 CSI3,10827 CSI3,CSI LIFE $3000,GRADED DEATH BENEFIT WL - 100% AFTER YR2,POLICY_FORM_CROSSWALK,,17CSI3,17CSI3,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
17CSI5,10827 CSI5,10827 CSI5,10827 CSI5,CSI LIFE $5000,GRADED DEATH BENEFIT WL - 100% AFTER YR2,POLICY_FORM_CROSSWALK,,17CSI5,17CSI5,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
17CSI7,10827 CSI7,10827 CSI7,10827 CSI7,CSI LIFE $7500,GRADED DEATH BENEFIT WL - 100% AFTER YR2,POLICY_FORM_CROSSWALK,,17CSI7,17CSI7,N,N,N,Y,Y,Y,Sync_Rulebook_quikplan.csv -> Policy Form Crosswalk overlay,NONE — authorized by Policy Form Crosswalk,AUTHORIZED
