lifepro_coverage_id,current_output_plan,crosswalk_ql_plan_code,governance_action,notes
0823 960CH,0823 960CH,960CWP,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
0824 P DIS,0824 P DIS,94PDIS,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
10827 MN5K,10827 MN5K,1CSIMN,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
1578 SPSPU,1578 SPSPU,578STR,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
1579 GPO,1579 GPO,9GPO79,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
1596 667,1596 667,967ADB,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
619 CH PU,619 CH PU,719CTR,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
621 PUA,621 PUA,121PUA,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
630 JEB,630 JEB,130JEB,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
646 ART,646 ART,5646AT,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
667 ART CR,667 ART CR,57ATCR,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
669 SR GD,669 SR GD,1669SR,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
686S 30MRG,686S 30MRG,7686S3,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
687J 30MRG,687J 30MRG,7687J3,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
690 DT 65,690 DT 65,7690DT,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
8034 30MRG,8034 30MRG,934SWP,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
8034 J30MT,8034 J30MT,934JWP,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
8043CTR WP,8043CTR WP,943CWP,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
8046 JPO,8046 JPO,9JPO46,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
961 ME65,961 ME65,2961ME,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
961 PUA,961 PUA,261PUA,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
970 JEB,970 JEB,1970JB,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
970 PUA,970 PUA,1970PA,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
DISCHO247B,DISCHO247B,9DS24B,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
DISCHO29,DISCHO29,9DIS29,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
L01 10Y MA,L01 10Y MA,5L01MA,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
L10 PRE97,L10 PRE97,1L10OD,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
L10 PREUNI,L10 PREUNI,1L10PR,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
L10 SPSWP,L10 SPSWP,910SWP,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
L10 WP SRN,L10 WP SRN,910RWP,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
WP 646,WP 646,9WP646,PASSTHROUGH_LIFEPRO_ID,Output PLAN equals LifePRO COVERAGE_ID — requires QL Plan Code assignment
