Old_Value,New_Value,mapping_class
658 CEN I,1658C1,PLAN_OR_ENTITY
1578 FTR,778FTR,PLAN_OR_ENTITY
1576 658,976658,PLAN_OR_ENTITY
1580 JPO,980JPO,PLAN_OR_ENTITY
1577 ADB,977ADB,PLAN_OR_ENTITY
1578FTR WP,9FTRWP,PLAN_OR_ENTITY
1578 CTR,578CTR,PLAN_OR_ENTITY
1578CTR WP,9CTRWP,PLAN_OR_ENTITY
8042 STR,542STR,PLAN_OR_ENTITY
8042STR WP,9STRWP,PLAN_OR_ENTITY
DISCHO80,9DIS80,PLAN_OR_ENTITY
DISCHO90,9DIS90,PLAN_OR_ENTITY
658 CEN SD,1658CS,PLAN_OR_ENTITY
1578 FTR,778FTR,PLAN_OR_ENTITY
659 CEN II,1659C2,PLAN_OR_ENTITY
DISCHO90,9DIS90,PLAN_OR_ENTITY
1578 FTR,778FTR,PLAN_OR_ENTITY
1576 659,976659,PLAN_OR_ENTITY
1577 ADB,977ADB,PLAN_OR_ENTITY
1580 JPO,980JPO,PLAN_OR_ENTITY
1578FTR WP,9FTRWP,PLAN_OR_ENTITY
8043 CTR,543CTR,PLAN_OR_ENTITY
659 CEN SD,1659CS,PLAN_OR_ENTITY
659 CEN SR,1659CR,PLAN_OR_ENTITY
659 SR GD,1659SR,PLAN_OR_ENTITY
666 WL,1666WL,PLAN_OR_ENTITY
897 666,1666AI,PLAN_OR_ENTITY
668 SPWL,1668SP,PLAN_OR_ENTITY
679 CEN SD,1679CS,PLAN_OR_ENTITY
L10 LP95,1L1095,PLAN_OR_ENTITY
L10 JPO,9JPO10,PLAN_OR_ENTITY
L10 WP,9WPL10,PLAN_OR_ENTITY
L10 ADB,9ADB10,PLAN_OR_ENTITY
L10 GPO,9GPO10,PLAN_OR_ENTITY
L10 CDT,5CDT10,PLAN_OR_ENTITY
L10 WP CDT,9CDTWP,PLAN_OR_ENTITY
DISCHO2475,9DIS25,PLAN_OR_ENTITY
L10 LP95SR,1L10SR,PLAN_OR_ENTITY
L10 OLD,1L10OD,PLAN_OR_ENTITY
DISCHO247C,9DIS25,PLAN_OR_ENTITY
L10 CDT,5CDT10,PLAN_OR_ENTITY
L10 ADB,9ADB10,PLAN_OR_ENTITY
L10 WP OLD,9OLDWP,PLAN_OR_ENTITY
L10 GPO,9GPO10,PLAN_OR_ENTITY
L10 JPO,9JPO10,PLAN_OR_ENTITY
L10 SDT,7SDT10,PLAN_OR_ENTITY
L10 SR OLD,1L10SO,PLAN_OR_ENTITY
L10 ADB,9ADB10,PLAN_OR_ENTITY
L10 JPO,9JPO10,PLAN_OR_ENTITY
L14,1L14SC,PLAN_OR_ENTITY
,,PLAN_OR_ENTITY
L17,1L17SP,PLAN_OR_ENTITY
L17 2+ JPO,17MJPO,PLAN_OR_ENTITY
L17 1 JPO,117JPO,PLAN_OR_ENTITY
8286 GI 1,986JPO,PLAN_OR_ENTITY
L17 1,10L171,PLAN_OR_ENTITY
L17 2+,10L172,PLAN_OR_ENTITY
8286 GI 2+,982JPO,PLAN_OR_ENTITY
10827 CSI3,17CSI3,PLAN_OR_ENTITY
10827 CSI5,17CSI5,PLAN_OR_ENTITY
10827 CSI7,17CSI7,PLAN_OR_ENTITY
991 PWL,1991PL,PLAN_OR_ENTITY
L15,1L15GD,PLAN_OR_ENTITY
L15 ADB,9ADB15,PLAN_OR_ENTITY
L16,1L16GD,PLAN_OR_ENTITY
619 DT,7619DT,PLAN_OR_ENTITY
DISCHO25,9DIS25,PLAN_OR_ENTITY
619 DT SP,719SDT,PLAN_OR_ENTITY
619 DT CH,719CDT,PLAN_OR_ENTITY
619 SPS PU,7619PU,PLAN_OR_ENTITY
647 FLP,7647FP,PLAN_OR_ENTITY
647 FLP SP,7647SP,PLAN_OR_ENTITY
647 FLP CH,7647CH,PLAN_OR_ENTITY
667 ART,5667AT,PLAN_OR_ENTITY
1595,9595WP,PLAN_OR_ENTITY
L01 10Y LT,5L0110,PLAN_OR_ENTITY
8115 L01,9L01WP,PLAN_OR_ENTITY
DISCHO70,9DIS70,PLAN_OR_ENTITY
1596 L01,901ADB,PLAN_OR_ENTITY
L05 10Y LT,5L0510,PLAN_OR_ENTITY
8115,9L05WP,PLAN_OR_ENTITY
1596,996ADB,PLAN_OR_ENTITY
