observed_value,governance_action,notes
& PAYOR DISABILITY RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
0.00,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
0.0000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
00,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
01,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
03,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
05,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
06,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
07,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
08,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
0822,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
0823,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
0824,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
09,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
1,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
10,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
100,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
100.0000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
1000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
1000.00,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
10000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
100000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
1000000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
10000000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
103,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
10827,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
11,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
12,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
12500,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
13,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
14,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
15,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
150000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
1576,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
1577,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
1578,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
1578 CTR WAIVER OF PREMIUM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
1578 FTR WAIVER OF PREMIUM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
1579,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
1580,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
1596,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
16,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
17,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
18,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
19,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
2,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
20,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
20 PAY ENDOWMENT AT AGE 85,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
200,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
20000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
200000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
21,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
22,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
23,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
24,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
25,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
25000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
26.5000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
3,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
30,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
3000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
37,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
4,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
40,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
45,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
46,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
5,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
50,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
5000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
50000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
51.0000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
55,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
59,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
60,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
6000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
619,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
620,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
64,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
647,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
65,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
658,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
659,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
665,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
666,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
667,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
668,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
679,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
686,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
687,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
69,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
690,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
7,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
70,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
75,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
78,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
8,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
8034,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
8042,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
8042 STR WAIVER OF PREMIUM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
8043,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
8043 CTR WAIVER OF PREMIUM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
8046,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
8115,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
8139,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
8140,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry
