QLA,MEMOKEY,PREFIX,MEMOTEXT_PREVIEW
010713704C,010713704C,[PNOTE,[PNOTE] | Date: 2025-06-10 | Time: 16:21:57 | User: - | Seq: 1 | 4-22-25 SWTA MAILED ANNUAL STMT
010713704C,010713704C,"[ENS]
",[ENS] | Date: 2004-02-04 | Time: - | Event: 0008 | User: TMMA | Seq: 83 | Co: 03 Pol: 9010713704   Benefit Seq: | A Rebill Has Been Processed Due To Mode/Premium/Form Change Or Prem Reversal
010765930C,010765930C,[PNOTE,[PNOTE] | Date: 2024-09-25 | Time: 16:00:21 | User: - | Seq: 1 | 9-25-24 SWTA MAILED ANNUAL STMT
010765930C,010765930C,"[ENS]
",[ENS] | Date: 2018-09-24 | Time: - | Event: 0020 | User: C03A | Seq: 1 | Co: 03 Pol: 9010765930   Benefit Seq: 02 | Waiver of Premium Expire
010785099C,010785099C,"[ENS]
",[ENS] | Date: 2021-12-30 | Time: - | Event: 0019 | User: C03A | Seq: 16 | Co: 03 Pol: 9010785099   Benefit Seq: 01 | Processing Aborted - Policy Requires Attention | Mature/Expire Date Has Been Reached In MDV
010785099C,010785099C,"[ENS]
",[ENS] | Date: 2021-03-06 | Time: - | Event: 0027 | User: C03A | Seq: 21 | Co: 03  Pol:9010785099    Conversion Date:  03/06/2021 | An Automated ETI / RPU Has Occurred And All Riders Have Been Terminated | Check Policy Suspense For Any Value Generated From The Conversion.
010785099C,010785099C,"[ENS]
",[ENS] | Date: 2021-02-06 | Time: - | Event: 0017 | User: C03A | Seq: 9 | Co: 03 Pol: 9010785099 | APL Processed
010818663C,010818663C,[PNOTE,[PNOTE] | Date: 2024-11-13 | Time: 09:03:04 | User: - | Seq: 1 | 11-13 24 SWTA MAILED ANNUAL STMT
010818663C,010818663C,[PNOTE,[PNOTE] | Date: 2011-08-23 | Time: 15:43:11 | User: - | Seq: 2 | BenSeq: 00 | 09/21/2011 - LETTER TO PB & LETTER TO FUN HOME W/ CHECK $1000.00 ($1000.00 | PROCEEDS UNDER THE FAMILY TERM RIDER)
010818663C,010818663C,[PNOTE,[PNOTE] | Date: 2011-08-23 | Time: 15:43:11 | User: - | Seq: 1 | BenSeq: 00 | 08/23/2011 - TIMOTHY AUSTIN PROCTOR DIED 08/22/2011.  HE WAS BORN | 07/17/1991 AFTER THE EFF DATE OF POLICY AND IS COVERED UNDER THE | FAMILY TERM RIDER.  FAXED CLAIM INFO TO FUN HOME.
010310404C,010310404C,[PNOTE,[PNOTE] | Date: 2025-01-29 | Time: 10:43:13 | User: - | Seq: 1 | 1-29-25 SWTA MAILED DIV STMT
010310404C,010310404C,"[ENS]
",[ENS] | Date: 2012-05-30 | Time: - | Event: 0008 | User: MENA | Seq: 7 | Co: 03 Pol: 9010310404   Benefit Seq: | A Rebill Has Been Processed Due To Mode/Premium/Form Change Or Prem Reversal
010310404C,010310404C,"[ENS]
",[ENS] | Date: 2012-04-24 | Time: - | Event: 0008 | User: MENA | Seq: 15 | Co: 03 Pol: 9010310404   Benefit Seq: | A Rebill Has Been Processed Due To Mode/Premium/Form Change Or Prem Reversal
