MPOLICY,MSTATUS,MPLAN,MEFFDATE,MPAIDTO,MPAYUP_BEFORE,MPAYUP_AFTER,MLASTANN_BEFORE,MLASTANN_AFTER_SYS,MLASTANN_AFTER_VAL,PAYUP_CHANGED,MLAST_CHANGED_SYS,IS_PUA_PLAN
010149295C,44,221END,19610901,19921201,19921201,19921201,64,34,33,N,Y,N
010165095C,45,221END,19620701,19881201,19881201,19881201,63,38,37,N,Y,N
010374099C,44,1960PO,19700921,20090921,20730921,20090921,55,17,16,Y,Y,N
010379477C,45,1960PO,19701104,20000404,20000404,20000404,55,26,25,N,Y,N
010379478C,45,1960PO,19701104,20000404,20000404,20000404,55,26,25,N,Y,N
010381516C,45,170858,19710101,19810401,19810401,19810401,54,45,44,N,Y,N
010382448C,44,170858,19710201,20010801,20010801,20010801,54,25,24,N,Y,N
010390251C,44,196065,19710414,19930414,19930414,19930414,54,33,32,N,Y,N
010391355C,44,17085M,19710601,20091201,20430601,20091201,54,17,16,Y,Y,N
010391876C,44,170858,19710601,20090901,20570601,20090901,54,17,16,Y,Y,N
010391878C,44,170858,19710601,20100701,20520601,20100701,54,16,15,Y,Y,N
010392930C,44,170858,19710601,20040701,20430601,20040701,54,22,21,Y,Y,N
010395098C,44,170858,19710801,20080801,20510801,20080801,54,18,17,Y,Y,N
010401565C,44,17085M,19711101,20111101,20491101,20111101,54,15,14,Y,Y,N
010402899C,44,170858,19711201,20100301,20421201,20100301,54,16,15,Y,Y,N
010403872C,44,170858,19711201,20130601,20431201,20130601,54,13,12,Y,Y,N
010403916C,45,170858,19711201,19821101,19821101,19821101,54,44,43,N,Y,N
010404602C,44,17085M,19711201,20140901,20371201,20140901,54,12,11,Y,Y,N
010405175C,45,170858,19711228,19820728,19820728,19820728,54,44,43,N,Y,N
010407237C,45,170858,19720201,19950201,19950201,19950201,53,31,30,N,Y,N
010407670C,45,170858,19720201,20121001,20270201,20121001,53,14,13,Y,Y,N
010424185C,44,17085M,19720701,20090501,20540701,20090501,53,17,16,Y,Y,N
010427442C,45,170858,19720801,19830101,19830101,19830101,53,43,42,N,Y,N
010428259C,44,170858,19720901,20020801,20020801,20020801,53,24,23,N,Y,N
010428688C,44,170858,19720901,20030201,20030201,20030201,53,23,22,N,Y,N
010428747C,45,1960PO,19720727,19990527,19990527,19990527,53,27,26,N,Y,N
010433471C,45,170858,19721201,19780801,19780801,19780801,53,48,47,N,Y,N
010436406C,45,1991PL,19721201,19781201,19781201,19781201,53,48,47,N,Y,N
010436712C,45,170858,19730201,19860201,19860201,19860201,52,40,39,N,Y,N
010438524C,44,170858,19730315,20010515,20010515,20010515,52,25,24,N,Y,N
010438525C,44,170858,19730315,20110615,20610315,20110615,52,15,14,Y,Y,N
010438861C,45,170858,19730315,19791215,19791215,19791215,52,47,46,N,Y,N
010443389C,45,1960PO,19730717,20001017,20001017,20001017,52,26,25,N,Y,N
010443433C,45,1960PO,19730718,20000418,20000418,20000418,52,26,25,N,Y,N
010443646C,44,170858,19730815,20070615,20540815,20070615,52,19,18,Y,Y,N
010446088C,45,1960OL,19731107,19971107,19971107,19971107,52,29,28,N,Y,N
010447559C,45,1991PL,19740101,19801101,19801101,19801101,51,46,45,N,Y,N
010448375C,44,170858,19740215,20230915,20280215,20230915,51,3,2,Y,Y,N
010449017C,45,170858,19740301,19780301,19780301,19780301,51,48,47,N,Y,N
010451385C,45,170858,19740515,19790515,19790515,19790515,51,47,46,N,Y,N
010456182C,44,170858,19740901,19941001,19941001,19941001,51,32,31,N,Y,N
010456751C,44,170858,19740901,20130401,20500901,20130401,51,13,12,Y,Y,N
010459723C,44,170858,19750101,20070701,20550101,20070701,50,19,18,Y,Y,N
010459850C,44,170858,19750201,20070601,20400201,20070601,50,19,18,Y,Y,N
010466471C,44,17085M,19750915,20220115,20450915,20220115,50,4,3,Y,Y,N
010466472C,44,17085M,19750915,20220115,20510915,20220115,50,4,3,Y,Y,N
010469728C,44,17085M,19760115,20160315,20500115,20160315,49,10,9,Y,Y,N
010470522C,45,1991PL,19751231,19791231,19791231,19791231,50,47,46,N,Y,N
010471532C,45,170858,19760315,19860315,19860315,19860315,49,40,39,N,Y,N
010471534C,45,170858,19760315,20150615,20520315,20150615,49,11,10,Y,Y,N
010478048C,45,170858,19760901,19841101,19841101,19841101,49,42,41,N,Y,N
010478890C,44,170858,19760915,19900615,19900615,19900615,49,36,35,N,Y,N
010480683C,45,170858,19761101,19931201,19931201,19931201,49,33,32,N,Y,N
010502995C,44,170858,19780215,20120515,20390215,20120515,47,14,13,Y,Y,N
010505481C,45,17085M,19780401,20240601,20630401,20240601,47,2,1,Y,Y,N
010510553C,45,17085M,19780701,20130701,20320701,20130701,47,13,12,Y,Y,N
010510671C,44,2665ST,19780621,20220621,20480621,20220621,47,4,3,Y,Y,N
010516466C,45,170858,19781015,19830315,19830315,19830315,47,43,42,N,Y,N
010525250C,44,17085M,19790401,20080901,20470401,20080901,46,18,17,Y,Y,N
010541669C,44,17085M,19791201,20180301,20501201,20180301,46,8,7,Y,Y,N
010556736C,45,170858,19800815,20021015,20021015,20021015,45,24,23,N,Y,N
010576755C,44,170588,19810515,20090115,20510515,20090115,44,17,16,Y,Y,N
010583923C,44,1960OL,19810704,20110704,20590704,20110704,44,15,14,Y,Y,N
010591112C,45,170858,19811001,19850301,19850301,19850301,44,41,40,N,Y,N
010732975C,45,1659C2,19841101,19990201,19990201,19990201,41,27,26,N,Y,N
010734951C,45,1659C2,19841113,19960813,19960813,19960813,41,30,29,N,Y,N
010734954C,45,1659C2,19841113,19960813,19960813,19960813,41,30,29,N,Y,N
010736935C,44,1659C2,19841210,20251210,20641210,20251210,41,1,0,Y,Y,N
010737417C,45,1659C2,19850115,20000415,20000415,20000415,40,26,25,N,Y,N
010746670C,45,1659C2,19850401,20011001,20011001,20011001,40,25,24,N,Y,N
010749628C,45,1659C2,19850501,19911101,19911101,19911101,40,35,34,N,Y,N
010751933C,45,1659C2,19850524,20000524,20000524,20000524,40,26,25,N,Y,N
010751934C,45,1659C2,19850524,20000524,20000524,20000524,40,26,25,N,Y,N
010752831C,45,1659C2,19850603,19910203,19910203,19910203,40,35,34,N,Y,N
010754355C,45,1659C2,19850618,19910618,19910618,19910618,40,35,34,N,Y,N
010755271C,44,1659C2,19850623,20000623,20000623,20000623,40,26,25,N,Y,N
010756279C,45,1659C2,19850709,19980709,19980709,19980709,40,28,27,N,Y,N
010756926C,45,1659C2,19850715,19910315,19910315,19910315,40,35,34,N,Y,N
010756927C,45,1659C2,19850723,19920723,19920723,19920723,40,34,33,N,Y,N
010757561C,45,1659C2,19850720,19900920,19900920,19900920,40,36,35,N,Y,N
010757606C,45,1659C2,19850718,20060718,20620718,20060718,40,20,19,Y,Y,N
010758538C,45,1659C2,19850801,19920501,19920501,19920501,40,34,33,N,Y,N
010758940C,44,1659C2,19850728,19990928,19990928,19990928,40,27,26,N,Y,N
010760069C,45,1659C2,19850806,20100206,20850806,20100206,40,16,15,Y,Y,N
010760304C,45,1659C2,19850901,19990801,19990801,19990801,40,27,26,N,Y,N
010761092C,44,1659C2,19850819,19980819,19980819,19980819,40,28,27,N,Y,N
010761913C,45,1659C2,19850827,19930827,19930827,19930827,40,33,32,N,Y,N
010762559C,45,1659C2,19850828,19970828,19970828,19970828,40,29,28,N,Y,N
