MPOLICY,SOURCE_POLICY,MBILLFRM,MBANKNO_EMITTED,PPACH_ACCOUNT,PPACH_ABA,EXCEPTION_REASON,EXCEPTION_DETAIL
010157076C,9010157076,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010161748C,9010161748,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010348734C,9010348734,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010367704C,9010367704,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010371356C,9010371356,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010374837C,9010374837,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010374838C,9010374838,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010379477C,9010379477,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010379478C,9010379478,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010380550C,9010380550,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010391411C,9010391411,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010391582C,9010391582,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010391840C,9010391840,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010392117C,9010392117,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010395211C,9010395211,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010395411C,9010395411,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010401210C,9010401210,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010402105C,9010402105,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010403117C,9010403117,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010403222C,9010403222,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010407670C,9010407670,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010408371C,9010408371,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010410616C,9010410616,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010411920C,9010411920,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
010412525C,9010412525,2,,,,MISSING_BANK_ACCOUNT,MBILLFRM=2 but PPACH E_ACCOUNT_NUMBER blank/missing
