plan,rows_off,hash_off,rows_on,hash_on,candidate,delta
130JEB,192,b392edf8aff2,192,b392edf8aff2,N,SAME
1658C1,2032,04dcc26a9f95,2032,04dcc26a9f95,N,SAME
1658CS,1016,a1fc736a57db,1016,a1fc736a57db,N,SAME
1659C2,2128,3bf3dd0bb024,2128,3bf3dd0bb024,N,SAME
1659CR,1064,622aa79f2653,1064,622aa79f2653,N,SAME
1659CS,1016,b49b909ee0d1,1016,b49b909ee0d1,N,SAME
1659SR,264,67c39c4414a9,264,67c39c4414a9,N,SAME
1666AI,1064,70961d12f7de,1064,70961d12f7de,N,SAME
1666WL,1064,69ed5e92f01a,1064,69ed5e92f01a,N,SAME
1668SP,2128,e081a42eaf3a,2128,e081a42eaf3a,N,SAME
1669SR,2456,e73b20c96ef0,2456,e73b20c96ef0,N,SAME
1679CS,2456,d7e9a6573932,2456,d7e9a6573932,N,SAME
170588,770,f04ee8462071,770,f04ee8462071,N,SAME
170858,770,285646bc4f13,770,285646bc4f13,N,SAME
17085M,770,ecda849bf773,770,ecda849bf773,N,SAME
17CSI3,264,cf8afb2ab911,264,cf8afb2ab911,N,SAME
17CSI5,264,44e6aa5e6de4,264,44e6aa5e6de4,N,SAME
17CSI7,264,bd5c45c00af5,264,bd5c45c00af5,N,SAME
196065,502,af1f993c9edd,502,af1f993c9edd,N,SAME
196085,0,,284,406318f44954,Y,CHANGED
1960OL,1015,e7173be0f1b6,1015,e7173be0f1b6,N,SAME
1960PO,1008,6cc87ad3c3ec,1008,6cc87ad3c3ec,N,SAME
1970JB,252,cc924469da65,252,cc924469da65,N,SAME
1991PL,696,7707284b9a54,696,7707284b9a54,N,SAME
1CSIMN,264,d482c00d89d3,264,d482c00d89d3,N,SAME
1L1095,3000,d216db72d12b,3000,d216db72d12b,Y,SAME
1L10OD,3000,769a3193ca4b,3000,769a3193ca4b,Y,SAME
1L10PR,3000,58139af99c26,3000,58139af99c26,Y,SAME
1L10SO,3000,a3db0cdd9efb,3000,a3db0cdd9efb,Y,SAME
1L10SR,1000,2090926b4dab,1000,2090926b4dab,Y,SAME
1L14SC,328,40ba43704730,328,40ba43704730,N,SAME
1L15GD,328,7feb73eb4030,328,7feb73eb4030,N,SAME
1L16GD,188,4c5eb0952c92,188,4c5eb0952c92,N,SAME
1L17SP,0,,38,2c0b5b79abc8,Y,CHANGED
221END,476,81fa7119f529,476,81fa7119f529,N,SAME
222END,244,1c1157a9901d,244,1c1157a9901d,N,SAME
261PUA,472,5578ebcb67c7,472,5578ebcb67c7,N,SAME
265PUA,760,04b96cd794a8,760,04b96cd794a8,N,SAME
2665ST,760,1a2fbe2be6d1,760,1a2fbe2be6d1,N,SAME
280END,472,face562d55c6,472,face562d55c6,N,SAME
280PUA,472,7c263056a379,472,7c263056a379,N,SAME
2961ME,472,27ff402ef6a4,472,27ff402ef6a4,N,SAME
528CTR,10,ac69b178bfb3,10,ac69b178bfb3,N,SAME
542STR,256,54c7435ca5d8,256,54c7435ca5d8,N,SAME
543CTR,6,58847c84748d,6,58847c84748d,N,SAME
560STR,125,8f360cab5f10,125,8f360cab5f10,N,SAME
578STR,260,260b2123aa0a,260,260b2123aa0a,N,SAME
5CDT10,18,2c36ea57e192,18,2c36ea57e192,N,SAME
5L0110,0,,424,97242dfca300,Y,CHANGED
5L01MA,14,a75053875084,14,a75053875084,N,SAME
5L0510,0,,424,de058ad4c5b4,Y,CHANGED
5L075Y,0,,318,456eb27bb8da,Y,CHANGED
719CTR,270,f08346978f20,270,f08346978f20,N,SAME
719SDT,470,c98e9a240ec3,470,c98e9a240ec3,N,SAME
7619DT,470,dba54a6ae0d7,470,dba54a6ae0d7,N,SAME
7619PU,480,e61ae708174d,480,e61ae708174d,N,SAME
7647FP,290,ea69aee3a5eb,290,ea69aee3a5eb,N,SAME
7686S3,612,a925c32e771c,612,a925c32e771c,N,SAME
7687J3,459,d1050db190d8,459,d1050db190d8,N,SAME
7690DT,254,4ce8ec29b26c,254,4ce8ec29b26c,N,SAME
778FTR,301,883b8de2e130,301,883b8de2e130,N,SAME
7SDT10,768,b651189e4ee2,768,b651189e4ee2,N,SAME
901ADB,0,,384,d91c9773ee26,Y,CHANGED
9065WP,0,,164,1dfe7a97da3c,Y,CHANGED
910RWP,0,,626,e4160af75cc2,Y,CHANGED
960ADB,0,,200,849677ac59bd,Y,CHANGED
960SWP,0,,196,41c0bc377ffb,Y,CHANGED
965ADB,0,,144,791fb86f7f86,Y,CHANGED
976659,0,,656,2236fad324d4,Y,CHANGED
9896WP,0,,144,77511c44ad00,Y,CHANGED
996ADB,0,,384,6da694fc7925,Y,CHANGED
9ADB10,0,,663,5b65205f2c33,Y,CHANGED
9L01WP,0,,408,9948ded4cf3e,Y,CHANGED
9POADB,0,,192,a9fda53c5a75,Y,CHANGED
A60MIR,236,cdabbf3f0e25,236,cdabbf3f0e25,N,SAME
A96DAR,8,7907d0b95b58,8,7907d0b95b58,N,SAME
