plan,rows_off,hash_off,rows_on,hash_on,candidate,delta
130JEB,192,3ed63a0de5f6,192,3ed63a0de5f6,N,SAME
1658C1,2032,e5dc8c1cff3d,2032,e5dc8c1cff3d,N,SAME
1658CS,1016,4a789cf8f933,1016,4a789cf8f933,N,SAME
1659C2,2128,d4d7587e332d,2128,d4d7587e332d,N,SAME
1659CR,1064,2d2bd5dc5396,1064,2d2bd5dc5396,N,SAME
1659CS,1016,063a3ea8e821,1016,063a3ea8e821,N,SAME
1659SR,264,733a9ade72a1,264,733a9ade72a1,N,SAME
1666AI,1064,a93f109336a9,1064,a93f109336a9,N,SAME
1666WL,1064,f607c858e23c,1064,f607c858e23c,N,SAME
1668SP,2128,065ffde6b877,2128,065ffde6b877,N,SAME
1669SR,2456,069260eb5393,2456,069260eb5393,N,SAME
1679CS,2456,05312706134d,2456,05312706134d,N,SAME
170588,986,cd17a89dd220,986,cd17a89dd220,N,SAME
170858,986,8edbf64b45eb,986,8edbf64b45eb,N,SAME
17085M,986,75ac94d0c2f8,986,75ac94d0c2f8,N,SAME
17CSI3,264,0e2576105498,264,0e2576105498,N,SAME
17CSI5,264,ca82071c6665,264,ca82071c6665,N,SAME
17CSI7,264,0a865ff07d56,264,0a865ff07d56,N,SAME
196065,986,e71684109c58,986,e71684109c58,N,SAME
196085,0,,284,20d8a8f001e7,Y,CHANGED
1960OL,1015,6cf8281a5a11,1015,6cf8281a5a11,N,SAME
1960PO,1008,56637861995d,1008,56637861995d,N,SAME
1970JB,252,89dd794d496c,252,89dd794d496c,N,SAME
1991PL,696,944fda79bd9d,696,944fda79bd9d,N,SAME
1CSIMN,264,ce904ed522e5,264,ce904ed522e5,N,SAME
1L1095,3096,33fd1731460c,3096,33fd1731460c,Y,SAME
1L10OD,3096,b0a47e58fe1a,3096,b0a47e58fe1a,Y,SAME
1L10PR,3096,63976f7d5af8,3096,63976f7d5af8,Y,SAME
1L10SO,3096,ab5360bbf7f6,3096,ab5360bbf7f6,Y,SAME
1L10SR,1000,5e5230969a36,1000,5e5230969a36,Y,SAME
1L14SC,328,6e9bbfb3dcf2,328,6e9bbfb3dcf2,N,SAME
1L15GD,328,fb7fece9ac53,328,fb7fece9ac53,N,SAME
1L16GD,188,22ce9161d8c6,188,22ce9161d8c6,N,SAME
1L17SP,0,,38,91b2d6588710,Y,CHANGED
1SALMI,508,255d57d9c2e3,508,255d57d9c2e3,N,SAME
1SALML,508,5ea4541f0202,508,5ea4541f0202,N,SAME
1SALOL,508,c38d292a0700,508,c38d292a0700,N,SAME
221END,476,6b3124e99dba,476,6b3124e99dba,N,SAME
222END,726,f47865b3569a,726,f47865b3569a,N,SAME
261PUA,472,478407f75351,472,478407f75351,N,SAME
265PUA,760,ff30bd4c1f0e,760,ff30bd4c1f0e,N,SAME
2665ST,760,0408abb6a2d4,760,0408abb6a2d4,N,SAME
280END,472,e71064248d6e,472,e71064248d6e,N,SAME
280PUA,472,57899d5787c1,472,57899d5787c1,N,SAME
2961ME,472,e2a9b3b48d24,472,e2a9b3b48d24,N,SAME
528CTR,1,adda9eea31e5,1,adda9eea31e5,N,SAME
542STR,88,19ac2b200e10,88,19ac2b200e10,N,SAME
543CTR,2,ff1dee1be7bf,2,ff1dee1be7bf,N,SAME
560STR,122,9e8741bac0c1,122,9e8741bac0c1,N,SAME
5646AT,82,043d54356647,82,043d54356647,N,SAME
578STR,240,c42702074641,240,c42702074641,N,SAME
5CDT10,6,cbdf5c56c54d,6,cbdf5c56c54d,N,SAME
5L0110,0,,424,d8683407b8ae,Y,CHANGED
5L01MA,2,8614984e9fd4,2,8614984e9fd4,N,SAME
5L0510,0,,424,01d98642c9c6,Y,CHANGED
5L075Y,0,,318,299612d1ad90,Y,CHANGED
719CTR,46,e2be2951f8ec,46,e2be2951f8ec,N,SAME
719SDT,90,60fe918f0303,90,60fe918f0303,N,SAME
7619DT,122,9a27f565c34f,122,9a27f565c34f,N,SAME
7619PU,428,c32348408e9f,428,c32348408e9f,N,SAME
7647FP,268,7b1a685ae5da,268,7b1a685ae5da,N,SAME
7686S3,466,f752dc20abc4,466,f752dc20abc4,N,SAME
7687J3,330,a4a4064145a5,330,a4a4064145a5,N,SAME
7690DT,108,5681c689ac02,108,5681c689ac02,N,SAME
778FTR,101,d1ed727cf5de,101,d1ed727cf5de,N,SAME
7SDT10,264,e1ea86a64536,264,e1ea86a64536,N,SAME
901ADB,0,,384,d52391111c34,Y,CHANGED
9065WP,0,,164,fcb078499ec5,Y,CHANGED
910RWP,0,,618,5505671debae,Y,CHANGED
960ADB,0,,200,d80bf28a8dac,Y,CHANGED
960SWP,0,,194,3530b4f732dc,Y,CHANGED
965ADB,0,,144,8120781a67cd,Y,CHANGED
976659,0,,656,51c4b3ff8a66,Y,CHANGED
9896WP,0,,144,b4abecdadf50,Y,CHANGED
996ADB,0,,384,bbc97f084c07,Y,CHANGED
9ADB10,0,,661,63eb26e44e1c,Y,CHANGED
9L01WP,0,,408,040e14ce520a,Y,CHANGED
9POADB,0,,192,5ad27fe43334,Y,CHANGED
A60MIR,197,2d858e0194ac,197,2d858e0194ac,N,SAME
A96DAR,5,f19a975ae43a,5,f19a975ae43a,N,SAME
