table,rows,scope
quikmstr.csv,5083,policy
quikridr.csv,6934,policy
quikprmh.csv,209470,policy
quikplan.csv,141,policy
quikclid.csv,34449,policy
quikclnt.csv,13597,policy
quikmemo.csv,337882,policy
quikdvdp.csv,5083,policy
rates/QuikAint.csv,2,untouched_rate
rates/QuikCoi.csv,792,untouched_rate
rates/QuikCvs.csv,38047,untouched_rate
rates/QuikDbs.csv,2513,untouched_rate
rates/QuikDvs.csv,6452,untouched_rate
rates/QuikGcoi.csv,198,untouched_rate
rates/QuikGps.csv,17137,untouched_rate
rates/QuikIssc.csv,0,untouched_rate
rates/QuikNff.csv,20217,untouched_rate
rates/QuikNps.csv,52647,issue42_target
rates/QuikPlBd.csv,142,untouched_rate
rates/QuikPlCv.csv,94,untouched_rate
rates/QuikPlDb.csv,25,untouched_rate
rates/QuikPlDv.csv,29,untouched_rate
rates/QuikPlGd.csv,190,untouched_rate
rates/QuikPlGp.csv,284,untouched_rate
rates/QuikPlNb.csv,117,untouched_rate
rates/QuikPlSt.csv,117,untouched_rate
rates/QuikPlTv.csv,220,issue42_target
rates/QuikPlUw.csv,166,untouched_rate
rates/QuikTvs.csv,53818,issue42_target
rates/QuikUint.csv,0,untouched_rate
