reconstructed_claim_id,claim_family,revised_net_payment,revised_balancing_difference,revised_balancing_status,applied_balancing_profile,lifecycle_only_amount_excluded,excluded_transaction_codes,optional_components_missing,balancing_confidence,balancing_notes
RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,SURRENDER_CLAIM,831.92,831.92,UNBALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,LOW,Optional components absent (not forced)
RC-9010150740-1-DEATH_CLAIM-C0-20230509,DEATH_CLAIM,1500.0,-1713.59,UNBALANCED,DEATH_CLAIM,1713.59,0038,0810|0820|0411|0412|1020|0630,LOW,Excluded lifecycle-only amount 1713.59; Optional components absent (not forced)
RC-9010150910-1-DEATH_CLAIM-C0-20200423,DEATH_CLAIM,1000.0,-134.57,UNBALANCED,DEATH_CLAIM,7.05,0038,0810|0820|0411|0412|1020|0630,LOW,Excluded lifecycle-only amount 7.05; Optional components absent (not forced)
RC-9010150910-3-DEATH_CLAIM-C0-20200423,DEATH_CLAIM,127.52,127.52,UNBALANCED,DEATH_CLAIM,0.0,,0810|0820|0411|0412|1020|0630,LOW,Optional components absent (not forced)
RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,DISBURSEMENT_CLAIM,2107.95,0.0,BALANCED,DISBURSEMENT_CLAIM,0.0,,0810|0820,HIGH,Payment-event-only profile applied
RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,SURRENDER_CLAIM,851.9,851.9,UNBALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,LOW,Optional components absent (not forced)
RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,DISBURSEMENT_CLAIM,3517.03,0.0,BALANCED,DISBURSEMENT_CLAIM,0.0,,0810|0820,HIGH,Payment-event-only profile applied
RC-9010331157-1-DEATH_CLAIM-C0-20190315,DEATH_CLAIM,10189.69,-9256.93,UNBALANCED,DEATH_CLAIM,9256.93,0038,0810|0820|0411|0412|1020,LOW,Excluded lifecycle-only amount 9256.93; Optional components absent (not forced)
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,SURRENDER_CLAIM,0.0,0.0,BALANCED,SURRENDER_CLAIM,0.0,,0810|0820|0090|0567|1900|1020,HIGH,Optional components absent (not forced)
