reconstructed_claim_id,payout_codes_detected,payout_total,linked_gross_components,linked_offset_components,linked_interest_components,chain_balancing_status,payout_chain_confidence
RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,,0.0,0560,,,UNBALANCED,LOW
RC-9010150740-1-DEATH_CLAIM-C0-20230509,0094,3213.59,0530,,,UNBALANCED,LOW
RC-9010150910-1-DEATH_CLAIM-C0-20200423,0094,1134.57,0530,,,UNBALANCED,LOW
RC-9010150910-3-DEATH_CLAIM-C0-20200423,,0.0,0530,,,UNBALANCED,LOW
RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,0090,2107.95,,,,BALANCED,HIGH
RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,,0.0,0560,,,UNBALANCED,LOW
RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,0090,3517.03,,,,BALANCED,HIGH
RC-9010331157-1-DEATH_CLAIM-C0-20190315,0094,19446.62,0530,,0630,UNBALANCED,LOW
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,,0.0,,0412,,BALANCED,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,,0.0,,0412,,BALANCED,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,,0.0,,0412,,BALANCED,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,,0.0,,0412,,BALANCED,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,,0.0,,0412,,BALANCED,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,,0.0,,0412,,BALANCED,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,,0.0,,0412,,BALANCED,HIGH
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,,0.0,,0412,,BALANCED,HIGH
RC-9010335038-1-DEATH_CLAIM-C0-20180422,0094,11777.05,0530,,,UNBALANCED,LOW
RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,0090,2474.02,,,,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,,0.0,,0412,,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,,0.0,,0412,,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,,0.0,,0412,,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,,0.0,,0412,,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,,0.0,,0412,,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,,0.0,,0412,,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,,0.0,,0412,,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,,0.0,,0412,,BALANCED,HIGH
RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,,0.0,,0412,,BALANCED,HIGH
RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,0090,56.85,,,,BALANCED,HIGH
RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,,0.0,0560,,,UNBALANCED,LOW
RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,,0.0,0560,,,UNBALANCED,LOW
RC-9010363098-1-DEATH_CLAIM-C0-20220917,0094,7770.08,0530,,,UNBALANCED,LOW
RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,,0.0,,0412,,BALANCED,HIGH
RC-9010363098-5-DEATH_CLAIM-C0-20220917,,0.0,0530,,,UNBALANCED,LOW
RC-9010367438-1-DEATH_CLAIM-C0-20211110,0094,4469.37,0530,,,UNBALANCED,LOW
RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,,0.0,,0412,,BALANCED,HIGH
RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,,0.0,,0412,,BALANCED,HIGH
RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,,0.0,,0412,,BALANCED,HIGH
RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,,0.0,,0412,,BALANCED,HIGH
RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,,0.0,,0412,,BALANCED,HIGH
RC-9010367438-2-DEATH_CLAIM-C0-20211110,,0.0,0530,,,UNBALANCED,LOW
RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,,0.0,0560,,,UNBALANCED,LOW
RC-9010368703-1-DEATH_CLAIM-C0-20210114,0094,12890.67,0530,,,UNBALANCED,LOW
RC-9010368703-2-DEATH_CLAIM-C0-20210114,,0.0,0530,,,UNBALANCED,LOW
RC-9010371171-1-DEATH_CLAIM-C0-20240624,0094,12834.01,0530,,,UNBALANCED,LOW
RC-9010371171-2-DEATH_CLAIM-C0-20240624,,0.0,0530,,,UNBALANCED,LOW
RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,,0.0,0560,,,UNBALANCED,LOW
RC-9010374779-1-DEATH_CLAIM-C0-20200530,0094,8353.43,0530,,,UNBALANCED,LOW
RC-9010374779-2-DEATH_CLAIM-C0-20200530,,0.0,0530,,,UNBALANCED,LOW
RC-9010376522-1-SURRENDER_CLAIM-C0-20181006,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010376522-1-SURRENDER_CLAIM-C1-20191006,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010376522-1-SURRENDER_CLAIM-C2-20201006,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,,0.0,0560,0412,,UNBALANCED,LOW
RC-9010376529-1-SURRENDER_CLAIM-C0-20180914,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,,0.0,0560,0412,,UNBALANCED,LOW
RC-9010376540-1-DEATH_CLAIM-C0-20181014,0094,11706.76,0530,,0630,UNBALANCED,LOW
RC-9010376540-1-DEATH_CLAIM-C1-20190220,0094,5810.61,,,,UNBALANCED,LOW
RC-9010376540-2-DEATH_CLAIM-C0-20181014,,0.0,0530,,,UNBALANCED,LOW
RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,,0.0,0560,,,UNBALANCED,LOW
RC-9010378710-1-DEATH_CLAIM-C0-20210210,0094,6715.85,0530,,,UNBALANCED,LOW
RC-9010378710-2-DEATH_CLAIM-C0-20210210,,0.0,0530,,,UNBALANCED,LOW
RC-9010378829-1-DEATH_CLAIM-C0-20210829,0094,7174.45,0530,,,UNBALANCED,LOW
RC-9010378829-2-DEATH_CLAIM-C0-20210829,,0.0,0530,,,UNBALANCED,LOW
RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,,0.0,0560,,,UNBALANCED,LOW
RC-9010380049-1-SURRENDER_CLAIM-C0-20181113,,0.0,,0412,,BALANCED,HIGH
RC-9010380049-1-SURRENDER_CLAIM-C1-20191113,,0.0,,0412,,BALANCED,HIGH
RC-9010380049-1-SURRENDER_CLAIM-C2-20201113,,0.0,,0412,,BALANCED,HIGH
RC-9010380049-1-SURRENDER_CLAIM-C3-20211113,,0.0,,0412,,BALANCED,HIGH
RC-9010380049-1-SURRENDER_CLAIM-C4-20221113,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010380049-1-SURRENDER_CLAIM-C5-20231113,,0.0,,0412,,BALANCED,HIGH
RC-9010380049-1-SURRENDER_CLAIM-C6-20241113,,0.0,,0412,,BALANCED,HIGH
RC-9010380049-1-SURRENDER_CLAIM-C7-20251113,,0.0,,0412,,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C0-20181125,,0.0,,0412,,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C1-20190813,,0.0,,0412,,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C10-20251125,,0.0,,0412,,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C2-20191125,,0.0,,0412,,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C3-20200825,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C4-20201125,,0.0,,0412,,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C5-20211125,,0.0,,0412,,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C6-20230825,,0.0,,0411|0412,,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C7-20231125,,0.0,,0412,,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C8-20240814,,0.0,,0412,,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C9-20241120,,0.0,,0412,,BALANCED,HIGH
RC-9010381745-1-SURRENDER_CLAIM-C0-20180101,,0.0,,0412,,BALANCED,HIGH
RC-9010381745-1-SURRENDER_CLAIM-C1-20190101,,0.0,,0412,,BALANCED,HIGH
RC-9010381745-1-SURRENDER_CLAIM-C2-20200101,,0.0,0560,0412,,UNBALANCED,LOW
RC-9010382426-1-SURRENDER_CLAIM-C0-20180112,,0.0,,0412,,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C1-20180404,,0.0,,0412,,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C10-20230112,,0.0,,0412,,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C11-20230322,,0.0,,0412,,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C12-20240112,,0.0,,0412,,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C13-20250112,,0.0,,0412,,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C14-20260112,,0.0,,0412,,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C2-20190112,,0.0,,0412,,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C3-20190405,,0.0,,0412,,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C4-20200112,,0.0,,0412,,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C5-20200412,,0.0,,0412,,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C6-20210112,,0.0,,0412,,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C7-20210322,,0.0,,0412,,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C8-20220112,,0.0,,0412,,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C9-20220412,,0.0,,0412,,BALANCED,HIGH
RC-9010382520-1-DEATH_CLAIM-C0-20200820,0094,7807.24,0530,,,UNBALANCED,LOW
RC-9010382520-3-DEATH_CLAIM-C0-20200820,,0.0,0530,,,UNBALANCED,LOW
