lifepro_coverage_id,qla_plan_code,ql_form_number,qla_plan_description,cv_method_source,mortality_table_source,qla_mort_field,mort_code_default,mort_code_m_00,mort_code_m_ns,mort_code_m_sm,mort_code_f_00,mort_code_f_ns,mort_code_f_sm,mort_code_j_00,mort_code_j_ns,mort_code_j_sm,eti_table_source,qla_etimort_field,eti_code_default,eti_code_m_00,eti_code_m_ns,eti_code_m_sm,eti_code_f_00,eti_code_f_ns,eti_code_f_sm,eti_code_j_00,eti_code_j_ns,eti_code_j_sm,nfo_interest_source,qla_nfoint_field,nfo_interest_code,cv_int_rate_source,qla_cv_int_rate_code,qla_intmethcv_field,qla_intmethcv_code,qla_intmethcv_description,review_flag,conversion_notes
L17 1,10L171,L17 1,Single Premium Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,,,,,,,,,,,,,5.00%,NFOINT,C,5.00%,C,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous. | ETI table blank in source; ETIMORT left blank.
L17 2+,10L172,L17 2+,Single Premium Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,,,,,,,,,,,,,5.00%,NFOINT,C,5.00%,C,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous. | ETI table blank in source; ETIMORT left blank.
L17 1 JPO,117JPO,L17 1 JPO,L17 Juvenile Purchase Option,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,,,,,,,,,,,,,5.00%,NFOINT,C,5.00%,C,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous. | ETI table blank in source; ETIMORT left blank.
658 CEN I,1658C1,658 CEN I,Interest-Sensitive Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,4.50%,NFOINT,A,4.50%,A,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
658 CEN SD,1658CS,658 CEN SD,Interest-Sensitive Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,4.50%,NFOINT,A,4.50%,A,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
659 CEN II,1659C2,659 CEN II,Interest-Sensitive Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,4.50%,NFOINT,A,4.50%,A,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
659 CEN SR,1659CR,659 CEN SR,Interest-Sensitive Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,4.50%,NFOINT,A,4.50%,A,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
659 CEN SD,1659CS,659 CEN SD,Interest-Sensitive Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,4.50%,NFOINT,A,4.50%,A,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
659 SR GD,1659SR,659 SR GD,Interest-Sensitive Whole Life,Standard Nonforfeiture Value Method,1980 Commissioner's Standard Ordinary Mortality Table,MORT,A1,A1,A3,A4,B1,B3,B4,A2,A5,A6,1980 Commissioners Extended Term Insurance Table,ETIMORT,C1,C1,C3,C4,D1,D3,D4,C2,C5,C6,4.50%,NFOINT,A,4.50%,A,INTMETHCV,0,Curtate,Y,INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
666 WL,1666WL,666 WL,Multiple Insureds Whole Life,Standard Nonforfeiture Value Method,1958 Commissioner's Standard Ordinary Mortality Table,MORT,O1,O1,O1,O1,P1,P1,P1,O2,O2,O2,1958 Commissioners Extended Term Insurance Table,ETIMORT,Q1,Q1,Q1,Q1,R1,R1,R1,Q2,Q2,Q2,Computed on Commissioner's Reserve Valuation Method,NFOINT,,Computed on Commissioner's Reserve Valuation Method,,INTMETHCV,0,Curtate,Y,Interest source is computed on Commissioners Reserve Valuation Method; no one-character NFOINT/rate code was supplied in the source. | INTMETHCV set to 0-Curtate as loadable default; confirm if any product requires 1-Continuous.
