qla_plan,lifepro_plan,QuikPlCv_MORT,QuikPlCv_ETIMORT,QuikPlCv_NFOINT,QuikPlCv_INTMETHCV,QuikPlTv_MORT,QuikPlTv_RSVINT,QuikPlTv_RSVMETH,QuikPlTv_INTMETHTV,QuikPlTv_STOREMEANS,QuikPlTv_CALCMIDS
17CSI3,10827 CSI3,A1,C1,A,0,A1,A,3,0,False,False
17CSI5,10827 CSI5,A1,C1,A,0,A1,A,3,0,False,False
17CSI7,10827 CSI7,A1,C1,A,0,A1,A,3,0,False,False
1CSIMN,10827 MN5K,A1,C1,A,0,A1,A,3,0,False,False
7619DT,619 DT,A1,,,0,A1,C,1,0,False,False
221END,621 END85,N1,N1,2,0,N1,2,3,0,False,False
222END,622 END85,N1,N1,2,0,N1,2,1,0,False,False
5646AT,646 ART,O1,,,0,O1,2,3,0,False,False
7647FP,647 FLP,O1,Q1,2,0,O1,2,1,0,False,False
1658C1,658 CEN I,A1,C1,A,0,A1,A,3,0,False,False
1658CS,658 CEN SD,A1,C1,A,0,A1,A,3,0,False,False
1659C2,659 CEN II,A1,C1,A,0,A1,A,3,0,False,False
1659CS,659 CEN SD,A1,C1,A,0,A1,A,3,0,False,False
1659CR,659 CEN SR,A1,C1,A,0,A1,A,3,0,False,False
1659SR,659 SR GD,A1,C1,A,0,A1,A,3,0,False,False
2665ST,665 STME95,O1,Q1,6,0,O1,6,3,0,False,False
1666WL,666 WL,O1,Q1,2,0,O1,2,3,0,False,False
5667AT,667 ART,A1,,,0,A1,G,3,0,False,False
1668SP,668 SPWL,A1,C1,E,0,A1,E,1,0,False,False
1669SR,669 SR GD,A1,C1,A,0,A1,A,3,0,False,False
170858,670 GL85-8,O1,Q1,2,0,O1,2,3,0,False,False
17085M,670 GL85-M,O1,Q1,2,0,O1,2,3,0,False,False
170588,670 GL8588,O1,Q1,6,0,O1,2,3,0,False,False
1679CS,679 CEN SD,A1,C1,A,0,A1,A,3,0,False,False
196065,960 LP65,O1,Q1,2,0,O1,2,3,0,False,False
196085,960 LP85-M,O1,Q1,2,0,O1,2,3,0,False,False
1960OL,960 OL,O1,Q1,2,0,O1,2,3,0,False,False
1960PO,960 PO,O1,Q1,6,0,O1,6,3,0,False,False
2961ME,961 ME65,O1,Q1,6,0,O1,6,3,0,False,False
1970JB,970 JEB,O1,Q1,2,0,O1,2,3,0,False,False
280END,980 END65,O1,Q1,2,0,O1,2,3,0,False,False
1991PL,991 PWL,O1,Q1,,0,O1,4,1,0,False,False
5L0110,L01 10Y LT,A1,,,0,A1,C,3,0,False,False
5L01MA,L01 10Y MA,A1,,,0,A1,C,3,0,False,False
5L0510,L05 10Y LT,A1,,,0,A1,C,3,0,False,False
5L075Y,L07 5Y LT,A1,,,0,A1,C,3,0,False,False
1L1095,L10 LP95,A1,C1,A,0,A1,A,3,0,False,False
1L10SR,L10 LP95SR,A1,C1,A,0,A1,A,3,0,False,False
1L10OD,L10 PRE97,A1,C1,A,0,A1,A,3,0,False,False
1L10PR,L10 PREUNI,A1,C1,A,0,A1,A,3,0,False,False
1L10SO,L10 SR OLD,A1,C1,C,0,A1,C,3,0,False,False
1L14SC,L14,A1,C1,A,0,A1,A,3,0,False,False
1L15GD,L15,A1,C1,A,0,A1,A,3,0,False,False
1L16GD,L16,A1,C1,A,0,A1,A,3,0,False,False
10L171,L17 1,A1,C1,A,0,A1,A,1,0,False,False
117JPO,L17 1 JPO,A1,C1,A,0,A1,A,1,0,False,False
10L172,L17 2+,A1,C1,A,0,A1,A,1,0,False,False
17MJPO,L17 2+ JPO,A1,C1,A,0,A1,A,1,0,False,False
1L17SP,L17 BASE,A1,C1,A,0,A1,A,1,0,False,False
1SALML,SAL ML,O1,Q1,4,0,O1,4,1,0,False,False
1SALOL,SAL OL,O1,Q1,4,0,O1,4,1,0,False,False
