audit_timestamp,rollback_snapshot_id,production_dbf_flag,record_type,reconstructed_claim_id,canonical_payment_stage_id,derivation_candidate_id,prototype_claimnum,replay_source,uat_segment,governance_status,business_review_required,replay_authorization_status,generation_status,mamount,blocker_category,business_explanation,orphan_impact,reconciliation_impact,replay_eligibility,remediation_recommendation,rulebook_lineage
2026-06-09T00:46:00Z,PHASE17A-UAT-SEGMENTATION-20260609T004600Z,N,QUIKCLMP,RC-9010402010-1-DEATH_CLAIM-C0-20221021,CPS-RC-9010402010-1-DEATH_CLAIM-C0-20221021-P1,QDC-CPS-RC-9010402010-1-DEATH_CLAIM-C0-20221021-P1,CLM0000155,BASELINE,governance_cleared,UAT_CLEARED,N,BASELINE_RULEBOOK_READY,ACCEPTED,8920.15,NONE,Payment linked to UAT-cleared claim; available for UAT testing.,NONE,PASS,UAT_READY,NONE,phase15_replay|phase16_triage|phase17a_uat_segmentation
2026-06-09T00:46:00Z,PHASE17A-UAT-SEGMENTATION-20260609T004600Z,N,QUIKCLMP,RC-9010402014-1-DEATH_CLAIM-C0-20230913,CPS-RC-9010402014-1-DEATH_CLAIM-C0-20230913-P1,QDC-CPS-RC-9010402014-1-DEATH_CLAIM-C0-20230913-P1,CLM0000156,BASELINE,governance_cleared,UAT_CLEARED,N,BASELINE_RULEBOOK_READY,ACCEPTED,4290.22,NONE,Payment linked to UAT-cleared claim; available for UAT testing.,NONE,PASS,UAT_READY,NONE,phase15_replay|phase16_triage|phase17a_uat_segmentation
2026-06-09T00:46:00Z,PHASE17A-UAT-SEGMENTATION-20260609T004600Z,N,QUIKCLMP,RC-9010406962-1-DEATH_CLAIM-C0-20210726,CPS-RC-9010406962-1-DEATH_CLAIM-C0-20210726-P1,QDC-CPS-RC-9010406962-1-DEATH_CLAIM-C0-20210726-P1,CLM0000207,BASELINE,governance_cleared,UAT_CLEARED,N,BASELINE_RULEBOOK_READY,ACCEPTED,883.67,NONE,Payment linked to UAT-cleared claim; available for UAT testing.,NONE,PASS,UAT_READY,NONE,phase15_replay|phase16_triage|phase17a_uat_segmentation
2026-06-09T00:46:00Z,PHASE17A-UAT-SEGMENTATION-20260609T004600Z,N,QUIKCLMP,RC-9010418088-1-DEATH_CLAIM-C0-20240629,CPS-RC-9010418088-1-DEATH_CLAIM-C0-20240629-P1,QDC-CPS-RC-9010418088-1-DEATH_CLAIM-C0-20240629-P1,CLM0000222,BASELINE,governance_cleared,UAT_CLEARED,N,BASELINE_RULEBOOK_READY,ACCEPTED,10000.0,NONE,Payment linked to UAT-cleared claim; available for UAT testing.,NONE,PASS,UAT_READY,NONE,phase15_replay|phase16_triage|phase17a_uat_segmentation
2026-06-09T00:46:00Z,PHASE17A-UAT-SEGMENTATION-20260609T004600Z,N,QUIKCLMP,RC-9010425845-1-DEATH_CLAIM-C0-20210625,CPS-RC-9010425845-1-DEATH_CLAIM-C0-20210625-P1,QDC-CPS-RC-9010425845-1-DEATH_CLAIM-C0-20210625-P1,CLM0000238,BASELINE,governance_cleared,UAT_CLEARED,N,BASELINE_RULEBOOK_READY,ACCEPTED,7547.16,NONE,Payment linked to UAT-cleared claim; available for UAT testing.,NONE,PASS,UAT_READY,NONE,phase15_replay|phase16_triage|phase17a_uat_segmentation
2026-06-09T00:46:00Z,PHASE17A-UAT-SEGMENTATION-20260609T004600Z,N,QUIKCLMP,RC-9010434419-1-DEATH_CLAIM-C0-20240224,CPS-RC-9010434419-1-DEATH_CLAIM-C0-20240224-P1,QDC-CPS-RC-9010434419-1-DEATH_CLAIM-C0-20240224-P1,CLM0000282,BASELINE,governance_cleared,UAT_CLEARED,N,BASELINE_RULEBOOK_READY,ACCEPTED,5603.16,NONE,Payment linked to UAT-cleared claim; available for UAT testing.,NONE,PASS,UAT_READY,NONE,phase15_replay|phase16_triage|phase17a_uat_segmentation
2026-06-09T00:46:00Z,PHASE17A-UAT-SEGMENTATION-20260609T004600Z,N,QUIKCLMP,RC-9010436599-1-DEATH_CLAIM-C0-20190212,CPS-RC-9010436599-1-DEATH_CLAIM-C0-20190212-P1,QDC-CPS-RC-9010436599-1-DEATH_CLAIM-C0-20190212-P1,CLM0000303,BASELINE,governance_cleared,UAT_CLEARED,N,BASELINE_RULEBOOK_READY,ACCEPTED,1113.76,NONE,Payment linked to UAT-cleared claim; available for UAT testing.,NONE,PASS,UAT_READY,NONE,phase15_replay|phase16_triage|phase17a_uat_segmentation
2026-06-09T00:46:00Z,PHASE17A-UAT-SEGMENTATION-20260609T004600Z,N,QUIKCLMP,RC-9010438325-1-DEATH_CLAIM-C0-20231225,CPS-RC-9010438325-1-DEATH_CLAIM-C0-20231225-P1,QDC-CPS-RC-9010438325-1-DEATH_CLAIM-C0-20231225-P1,CLM0000313,BASELINE,governance_cleared,UAT_CLEARED,N,BASELINE_RULEBOOK_READY,ACCEPTED,4063.27,NONE,Payment linked to UAT-cleared claim; available for UAT testing.,NONE,PASS,UAT_READY,NONE,phase15_replay|phase16_triage|phase17a_uat_segmentation
2026-06-09T00:46:00Z,PHASE17A-UAT-SEGMENTATION-20260609T004600Z,N,QUIKCLMP,RC-9010458657-1-DEATH_CLAIM-C0-20191012,CPS-RC-9010458657-1-DEATH_CLAIM-C0-20191012-P1,QDC-CPS-RC-9010458657-1-DEATH_CLAIM-C0-20191012-P1,CLM0000485,BASELINE,governance_cleared,UAT_CLEARED,N,BASELINE_RULEBOOK_READY,ACCEPTED,5056.24,NONE,Payment linked to UAT-cleared claim; available for UAT testing.,NONE,PASS,UAT_READY,NONE,phase15_replay|phase16_triage|phase17a_uat_segmentation
2026-06-09T00:46:00Z,PHASE17A-UAT-SEGMENTATION-20260609T004600Z,N,QUIKCLMP,RC-9010459970-1-DEATH_CLAIM-C0-20190621,CPS-RC-9010459970-1-DEATH_CLAIM-C0-20190621-P1,QDC-CPS-RC-9010459970-1-DEATH_CLAIM-C0-20190621-P1,CLM0000490,BASELINE,governance_cleared,UAT_CLEARED,N,BASELINE_RULEBOOK_READY,ACCEPTED,3580.0,NONE,Payment linked to UAT-cleared claim; available for UAT testing.,NONE,PASS,UAT_READY,NONE,phase15_replay|phase16_triage|phase17a_uat_segmentation
2026-06-09T00:46:00Z,PHASE17A-UAT-SEGMENTATION-20260609T004600Z,N,QUIKCLMP,RC-9010464590-1-DEATH_CLAIM-C0-20200118,CPS-RC-9010464590-1-DEATH_CLAIM-C0-20200118-P1,QDC-CPS-RC-9010464590-1-DEATH_CLAIM-C0-20200118-P1,CLM0000514,BASELINE,governance_cleared,UAT_CLEARED,N,BASELINE_RULEBOOK_READY,ACCEPTED,761.15,NONE,Payment linked to UAT-cleared claim; available for UAT testing.,NONE,PASS,UAT_READY,NONE,phase15_replay|phase16_triage|phase17a_uat_segmentation
