policy,qla,plan,type_code,paid_up_type,number_of_units,bf_current_db,value_per_unit,expected_munit,actual_munit,munit_diff,amount_ins,remap_result,db_result
9010757606,9010757606C,1659C2,BF,RU,25.0,19101.96,1000.0,19.10196,19.10196,0.0,19101.96,PASS,PASS
9010760069,9010760069C,1659C2,BF,RU,25.0,20367.07,1000.0,20.36707,20.36707,0.0,20367.07,PASS,PASS
9010766847,9010766847C,1659C2,BF,RU,25.0,5163.41,1000.0,5.16341,5.16341,0.0,5163.41,PASS,PASS
9010774868,9010774868C,1659C2,BF,RU,25.0,22995.64,1000.0,22.995639999999998,22.99564,3.552713678800501e-15,22995.64,PASS,PASS
9010780870,9010780870C,1659C2,BF,RU,25.0,21457.07,1000.0,21.457069999999998,21.45707,3.552713678800501e-15,21457.07,PASS,PASS
9010786243,9010786243C,1659C2,BF,RU,25.0,21899.8,1000.0,21.8998,21.8998,0.0,21899.8,PASS,PASS
9010796917,9010796917C,1659C2,BF,RU,25.0,20860.18,1000.0,20.86018,20.86018,0.0,20860.18,PASS,PASS
9010805394,9010805394C,1659C2,BF,RU,25.0,18394.0,1000.0,18.394,18.394,0.0,18394.0,PASS,PASS
9010812930,9010812930C,1659C2,BF,RU,30.0,12506.02,1000.0,12.506020000000001,12.50602,-1.7763568394002505e-15,12506.02,PASS,PASS
9010823867,9010823867C,1658C1,BF,RU,25.0,4572.08,1000.0,4.57208,4.57208,0.0,4572.08,PASS,PASS
9010823868,9010823868C,1658C1,BF,RU,25.0,6384.28,1000.0,6.3842799999999995,6.38428,8.881784197001252e-16,6384.28,PASS,PASS
9010823869,9010823869C,1658C1,BF,RU,25.0,9320.78,1000.0,9.320780000000001,9.32078,-1.7763568394002505e-15,9320.78,PASS,PASS
9010823870,9010823870C,1658C1,BF,RU,25.0,6869.97,1000.0,6.86997,6.86997,0.0,6869.97,PASS,PASS
9010826422,9010826422C,1658C1,BF,RU,50.0,9655.9,1000.0,9.655899999999999,9.6559,1.7763568394002505e-15,9655.9,PASS,PASS
9010835334,9010835334C,1659CR,BF,RU,10.0,4509.17,1000.0,4.50917,4.50917,0.0,4509.17,PASS,PASS
9010847463,9010847463C,1659C2,BF,RU,25.0,20295.98,1000.0,20.29598,20.29598,0.0,20295.98,PASS,PASS
9010885442,9010885442C,1659C2,BF,RU,25.0,20961.55,1000.0,20.96155,20.96155,0.0,20961.55,PASS,PASS
9010933370,9010933370C,1659C2,BF,RU,25.0,19216.77,1000.0,19.21677,19.21677,0.0,19216.77,PASS,PASS
9011001627,9011001627C,1659C2,BF,RU,30.0,3044.64,1000.0,3.04464,3.04464,0.0,3044.64,PASS,PASS
9011025612,9011025612C,1659CR,BF,RU,5.0,2742.6,1000.0,2.7426,2.7426,0.0,2742.6,PASS,PASS
9011044907,9011044907C,1659C2,BF,RU,35.0,21084.59,1000.0,21.08459,21.08459,0.0,21084.59,PASS,PASS
9011069977,9011069977C,1659C2,BF,RU,25.0,12625.25,1000.0,12.62525,12.62525,0.0,12625.25,PASS,PASS
9011154856,9011154856C,1659C2,BF,RU,25.0,6104.75,1000.0,6.10475,6.10475,0.0,6104.75,PASS,PASS
