POLICY_NUMBER,QLA_POLICY_NUMBER,BENEFIT_SEQ,SOURCE_PLAN,NUMBER_OF_UNITS,ANN_PREM_PER_UNIT,MODE_PREMIUM,EMIT_PLAN,EMIT_VPU
9010398471,9010398471,3,670 GL85-M,9.13000,.00000,.00,9SUBLF,0
9010440631,9010440631,3,670 GL85-8,6.61600,.00000,.00,9SUBLF,0
9010448806,9010448806,3,670 GL85-8,5.77800,.00000,.00,9SUBLF,0
9010451453,9010451453,3,670 GL85-M,11.27200,.00000,.00,9SUBLF,0
9010459814,9010459814,3,670 GL85-8,6.21100,.00000,.00,9SUBLF,0
9010466978,9010466978,3,670 GL85-8,8.00900,.00000,.00,9SUBLF,0
9010469666,9010469666,2,960 OL,10.00000,2.50000,2.18,9SUBLF,0
9010495122,9010495122,3,670 GL85-M,8.22500,.00000,.00,9SUBLF,0
9010497264,9010497264,4,960 OL,5.00000,5.03000,2.19,9SUBLF,0
9010511795,9010511795,3,670 GL85-8,5.03659,.00000,.00,9SUBLF,0
9010556634,9010556634,2,670 GL85-8,3.86864,.00000,.00,9SUBLF,0
9010782078,9010782078,2,659 CEN II,.00000,.00000,8.05,9SUBLF,0
9010784732,9010784732,2,658 CEN I,.00000,.00000,.00,9SUBLF,0
9010796912,9010796912,2,659 CEN II,.00000,.00000,.00,9SUBLF,0
9010803776,9010803776,2,659 CEN II,25.00000,.00000,.00,9SUBLF,0
9010819774,9010819774,2,659 CEN II,.00000,.00000,.00,9SUBLF,0
9010886099,9010886099,2,667 ART,100.00000,26.34000,711.18,9SUBLF,0
9010987095,9010987095,3,1576 659,25.00000,.19520,1.22,9SUBLF,0
9011185537,9011185537,2,L01 10Y LT,25.00000,4.96000,10.91,9SUBLF,0
9011193243,9011193243,2,L10 SR OLD,5.00000,22.22000,9.26,9SUBLF,0
9011201237,9011201237,2,L01 10Y LT,25.00000,11.93500,26.26,9SUBLF,0
9011203457,9011203457,2,L10 LP95,15.00000,3.28000,4.10,9SUBLF,0
