policy_number,candidate_rows,matched,unmatched,only_earlier,no_history,has_pfndr_history,pfndr_valuation_dates
9010713707,9,9,0,0,0,True,20260519
9010715467,9,9,0,0,0,True,20260514
9010716973,9,9,0,0,0,True,20260510
9010716974,3,3,0,0,0,True,20200702
9010717034,9,9,0,0,0,True,20260511
9010717447,4,4,0,0,0,True,20260523
9010718276,8,8,0,0,0,True,20260522
9010718277,8,8,0,0,0,True,20260504
9010718495,3,3,0,0,0,True,20220214
9010719553,8,8,0,0,0,True,20260511
9010719815,8,8,0,0,0,True,20260503
9010720759,8,8,0,0,0,True,20260518
9010722734,8,8,0,0,0,True,20260510
9010723386,8,8,0,0,0,True,20260518
9010723387,8,8,0,0,0,True,20260518
9010723388,5,5,0,0,0,True,20260518
9010723523,8,8,0,0,0,True,20260526
9010723524,8,8,0,0,0,True,20260518
9010724403,4,4,0,0,0,True,20220711
9010724510,8,8,0,0,0,True,20260501
9010726922,8,8,0,0,0,True,20260520
9010728696,6,6,0,0,0,True,20240129
9010729500,8,8,0,0,0,True,20260513
9010729999,8,8,0,0,0,True,20260509
9010731608,4,4,0,0,0,True,20260508
9010732270,4,4,0,0,0,True,20260510
9010732276,4,4,0,0,0,True,20260510
9010732278,6,6,0,0,0,True,20231023
9010732280,8,8,0,0,0,True,20260510
9010736736,6,6,0,0,0,True,20260509
9010737378,8,8,0,0,0,True,20260505
9010738207,8,8,0,0,0,True,20260528
9010738672,9,9,0,0,0,True,20260501
9010740836,2,2,0,0,0,True,20191108
9010741302,6,6,0,0,0,True,20260526
9010741334,6,6,0,0,0,True,20260526
9010742814,1,1,0,0,0,True,20180630
9010743074,1,1,0,0,0,True,20181229
9010743638,8,8,0,0,0,True,20250408
9010744412,5,5,0,0,0,True,20221103
9010745456,9,9,0,0,0,True,20260515
9010745750,9,9,0,0,0,True,20260522
9010745751,9,9,0,0,0,True,20260522
9010746005,5,5,0,0,0,True,20230103
9010746424,3,3,0,0,0,True,20200413
9010746846,7,7,0,0,0,True,20260528
9010747186,5,5,0,0,0,True,20230227
9010747241,1,1,0,0,0,True,20180806
9010747636,4,4,0,0,0,True,20260510
9010748070,1,1,0,0,0,True,20190211
9010748334,9,9,0,0,0,True,20260515
9010748335,9,9,0,0,0,True,20260515
9010748404,1,1,0,0,0,True,20181106
9010748517,1,1,0,0,0,True,20180508
9010748556,9,9,0,0,0,True,20260521
9010749038,9,9,0,0,0,True,20260525
9010749042,2,2,0,0,0,True,20200225
9010749463,9,9,0,0,0,True,20260524
9010749842,8,8,0,0,0,True,20260515
9010749843,8,8,0,0,0,True,20260515
9010749849,9,9,0,0,0,True,20260504
9010749906,6,6,0,0,0,True,20260506
9010749968,5,5,0,0,0,True,20221025
9010750755,6,6,0,0,0,True,20230619
9010752580,8,8,0,0,0,True,20260501
9010752702,8,8,0,0,0,True,20260505
9010753409,5,5,0,0,0,True,20260512
9010753687,7,7,0,0,0,True,20240914
9010754359,8,8,0,0,0,True,20260427
9010754485,9,9,0,0,0,True,20260503
9010754898,7,7,0,0,0,True,20240802
9010755152,8,8,0,0,0,True,20260526
9010756020,3,3,0,0,0,True,20201217
9010756024,7,7,0,0,0,True,20250605
9010756033,6,6,0,0,0,True,20231027
9010756540,1,1,0,0,0,True,20260508
9010756916,8,8,0,0,0,True,20260504
