PLAN,VARDB_before,VARDB_after,changed,VARGP,PRODUCT,PLANTYPE,DESCR
920ADB,4,0,Y,4,03,,ACCIDENTAL DEATH BENEFIT
965ADB,4,0,Y,4,03,,ACCIDENTAL DEATH BENEFIT
960ADB,4,0,Y,4,03,,ACCIDENTAL DEATH BENEFIT
9POADB,4,0,Y,4,03,,ACCIDENTAL DEATH BENEFIT
9665WP,4,0,Y,4,10,,WAIVER OF PREMIUM
9896WP,4,0,Y,4,10,,WAIVER OF PREMIUM
9085WP,4,0,Y,4,03,,WAIVER OF PREMIUM - LPU AT 85/88
960CWP,4,0,Y,4,03,,WAIVER OF PREMIUM - CHILD
9065WP,4,0,Y,4,03,,WAIVER OF PREMIUM
90OLWP,4,0,Y,4,03,,WAIVER OF PREMIUM
90POWP,4,0,Y,4,03,,WAIVER OF PREMIUM
960SWP,4,0,Y,4,03,,WAIVER OF PREMIUM - SPOUSE
94PDIS,4,0,Y,4,03,,& PAYOR DISABILITY RIDER
90PDTH,4,0,Y,4,03,,PAYOR DEATH
17CSI3,2,2,N,4,19,,CSI LIFE $3000
17CSI5,2,2,N,4,19,,CSI LIFE $5000
17CSI7,2,2,N,4,19,,CSI LIFE $7500
1CSIMN,2,2,N,4,19,,CSI LIFE MN $5000
976658,4,0,Y,4,10,,DISABILITY WAIVER OF PREMIUM RIDER
976659,4,0,Y,4,10,,DISABILITY WAIVER OF PREMIUM RIDER
977ADB,4,0,Y,4,03,,ACCIDENTAL DEATH BENEFIT RIDER
578CTR,4,0,Y,4,06,,DEPENDENT CHILD TERM RIDER
778FTR,4,0,Y,4,06,,FAMILY TERM RIDER
578STR,3,3,N,4,06,,PAID UP SPOUSE TERM RIDER
9CTRWP,4,0,Y,4,10,,1578 CTR WAIVER OF PREMIUM
9FTRWP,4,0,Y,4,10,,1578 FTR WAIVER OF PREMIUM
9GPO79,4,0,Y,4,10,,GUARANTEED PURCHASE OPTION RIDER
980JPO,4,0,Y,4,10,,JUVENILE FUTURE PURCHASE OPTION RIDER
9595WP,4,0,Y,4,07,,DISABILITY WAIVER OF PREMIUM
996ADB,4,0,Y,4,08,,ACCIDENTAL DEATH BENEFIT RIDER
967ADB,4,0,Y,4,07,,ACCIDENTAL DEATH BENEFIT RIDER
901ADB,4,0,Y,4,08,,ACCIDENTAL DEATH BENEFIT RIDER
719CTR,4,0,Y,4,09,,DECR TERM PAID UP FOR CHILD
7619DT,3,3,N,4,09,,DECREASING TERM
719CDT,3,3,N,4,09,,CHILD DECREASING TERM
719SDT,4,0,Y,4,09,,SPOUSE DECREASING TERM
7619PU,3,3,N,4,09,,DECREASING TERM PAID UP FOR SPOUSE
221END,4,0,Y,4,03,,ENDOWMENT AT AGE 85
121PUA,4,0,Y,4,03,,PAID UP ADDS - ENDOWMENT AT AGE 85
222END,4,0,Y,4,03,,20 PAY ENDOWMENT AT AGE 85
130JEB,3,3,N,4,03,,JUVENILE ESTATE BUILDER LIFE PD UP AT 65
5646AT,4,0,Y,4,03,,ANNUAL RENEWABLE TERM
7647FP,3,3,N,4,03,,FAMILY LIFE DECREASING TERM
7647CH,4,0,Y,4,03,,CHILD - FAMILY LIFE DECREASING TERM
7647SP,3,3,N,4,03,,SPOUSE - FAMILY LIFE DECREASING TERM
1658C1,4,0,Y,4,06,,INTEREST-SENSITIVE WHOLE LIFE
1658CS,4,0,Y,4,06,,INTEREST-SENSITIVE WHOLE LIFE
1659C2,4,0,Y,4,05,,INTEREST-SENSITIVE WHOLE LIFE
1659CS,4,0,Y,4,05,,INTEREST-SENSITIVE WHOLE LIFE
1659CR,4,0,Y,4,16,,INTEREST-SENSITIVE WHOLE LIFE
1659SR,1,1,N,4,16,,INTEREST-SENSITIVE WHOLE LIFE
265PUA,4,0,Y,4,03,,PAID UP ADDS - STATESMAN MOD ENDOW AT 95
2665ST,2,2,N,4,03,,STATESMAN MOD ENDOW AT 95
1666WL,4,0,Y,4,03,,MULTIPLE INSUREDS WHOLE LIFE
5667AT,4,0,Y,4,07,,ANNUAL RENEWABLE TERM
57ATCR,4,0,Y,4,07,,ART PREFERRED CREDIT LIFE
1668SP,4,0,Y,4,11,,SINGLE PREMIUM WHOLE LIFE
1669SR,4,0,Y,4,16,,INTEREST-SENSITIVE WHOLE LIFE
170858,4,0,Y,4,03,,LIFE PAID UP AT 85/88
170588,4,0,Y,4,03,,LIFE PAID UP AT 85/88
17085M,4,0,Y,4,03,,LIFE PAID UP AT 85/88
170PUA,4,0,Y,4,03,,PAID UP ADDS - LIFE PAID UP AT 85/88
1679CS,4,0,Y,4,06,,INTEREST-SENSITIVE WHOLE LIFE
7686S3,1,1,N,4,07,,DECREASING TERM LIFE
7687J3,4,0,Y,4,07,,JOINT DECREASING TERM LIFE
7690DT,3,3,N,4,03,,DEC TERM TO 65 CONVERTIBLE
934SWP,4,0,Y,4,07,,DISABILITY WAIVER OF PREMIUM 30MRG
934JWP,4,0,Y,4,07,,DISABILITY WAIVER OF PREMIUM JOINT 30 MT
542STR,3,3,N,4,05,,SPOUSE TERM RIDER
9STRWP,4,0,Y,4,10,,8042 STR WAIVER OF PREMIUM
543CTR,4,0,Y,4,05,,DEPENDENT CHILD TERM RIDER
943CWP,4,0,Y,4,10,,8043 CTR WAIVER OF PREMIUM
9JPO46,4,0,Y,4,05,,JUVENILE FUTURE PURCHASE OPTION RIDER
9L05WP,4,0,Y,4,08,,DISABILITY WAIVER OF PREMIUM RIDER
9L01WP,4,0,Y,4,08,,DISABILITY WAIVER OF PREMIUM RIDER
560STR,4,0,Y,4,03,,PAID UP SPOUSE TERM RIDER
528CTR,4,0,Y,4,03,,CHILD'S TERM INSURANCE
986JPO,4,0,Y,4,12,,JUVENILE FUTURE PURCHASE OPTION
982JPO,4,0,Y,4,12,,JUVENILE FUTURE PURCHASE OPTION
A60MIR,2,2,N,4,03,,MONTHLY INCOME RIDER
960GIO,4,0,Y,4,03,,960 GUARANTEE INSURABILITY OPTION
A96DAR,4,0,Y,4,03,,DEPOSIT ANNUITY RIDER
1666AI,4,0,Y,4,03,,ADDITIONAL INSUREDS 666 WL
165PUA,4,0,Y,4,03,,PAID UP ADDS - LIFE PAID UP AT AGE 65
185PUA,4,0,Y,4,03,,PAID UP ADDS - LIFE PU AT AGE 85-88
196065,4,0,Y,4,03,,LIFE PAID UP AT AGE 65
196085,4,0,Y,4,03,,LIFE PAID UP AT AGE 85-88
1960OL,4,0,Y,4,03,,ORDINARY WHOLE LIFE
1OLPUA,4,0,Y,4,03,,PAID UP ADDS - ORDINARY WHOLE LIFE
1960PO,4,0,Y,4,03,,PREFERRED ORDINARY WHOLE LIFE
1POPUA,4,0,Y,4,03,,PAID UP ADDS - PREF ORDINARY WHOLE LIFE
2961ME,4,0,Y,4,03,,MODIFIED ENDOWMENT AT 65
261PUA,4,0,Y,4,03,,PAID UP ADDS - MODIFIED ENDOWMENT AT 65
1970JB,3,3,N,4,07,,JUVENILE EST BUILD PU AT 85 LIFE
1970PA,4,0,Y,4,07,,PAID UP ADDS - JUV EST BUILD PU AT 85
280END,4,0,Y,4,03,,ENDOWMENT AT AGE 65
280PUA,4,0,Y,4,03,,PAID UP ADDS - ENDOWMENT AT AGE 65
1991PL,4,0,Y,4,03,,PENSION WHOLE LIFE
9DIS20,4,0,Y,4,CF,,"HOME OFFICE DISCOUNT 20% 1YR, 21.5% 2-10"
9DIS24,4,0,Y,4,CF,,HOME OFFICE DISCOUNT - 24.75%
9DS24B,4,0,Y,4,CF,,HOME OFFICE DISCOUNT - 24.75%
9DS24C,4,0,Y,4,CF,,HOME OFFICE DISCOUNT - 24.75%
9DIS25,4,0,Y,4,CF,,"HOME OFFICE DISCOUNT - 25%-10YR, 10%-99"
9DIS29,4,0,Y,4,CF,,HOME OFFICE DISCOUNT 29% - MODERULE 37
9DIS70,4,0,Y,4,CF,,HOME OFFICE DISCOUNT - 70/13%
9DIS80,4,0,Y,4,CF,,"HOME OFFICE DISCOUNT 80% 1 YR, 10% 2-10"
9DIS90,4,0,Y,4,CF,,"HOME OFFICE DISCOUNT 90% 1 YR, 10%, 5%"
5L0110,4,0,Y,4,08,,TEN YEAR LEVEL TERM TO AGE 95
5L01MA,4,0,Y,4,08,,TEN YEAR LEVEL TERM TO AGE 95
5L0510,4,0,Y,4,08,,TEN YEAR TERM TO AGE 85
5L075Y,4,0,Y,4,08,,FIVE YEAR TERM TO AGE 85
9ADB10,4,0,Y,4,12,,L10 ACCIDENTAL DEATH BENEFIT
5CDT10,4,0,Y,4,03,,L10 CHILD TERM RIDER
9GPO10,4,0,Y,4,12,,L10 GPO OLD
9JPO10,4,0,Y,4,12,,L10 JUVENILE PURCHASE OPTION - OLD
1L1095,4,0,Y,4,12,,L10 - LPU95     POST 1997 LIFE
1L10SR,4,0,Y,4,13,,L10 - LPU95   POST 1997  SENIOR LIFE
1L10OD,4,0,Y,4,12,,L10 - LPU95       PRE 1997
1L10PR,4,0,Y,4,12,,L10 - LPU95       PRE 1997
7SDT10,4,0,Y,4,03,,L10 SPOUSE DECREASING TERM
910SWP,4,0,Y,4,12,,L10 SPOUSE WP
1L10SO,4,0,Y,4,13,,L10 - LPU95  SR.     PRE 1997
9WPL10,4,0,Y,4,12,,L10 WAIVER OF PREMIUM   POST 1997
9CDTWP,4,0,Y,4,12,,L10 CHILD WP
9OLDWP,4,0,Y,4,12,,WAIVER OF PREMIUM - L10
910RWP,4,0,Y,4,13,,L10 WAIVER OF PREMIUM   POST 1997
1L14SC,4,0,Y,4,13,,WHOLE LIFE
1L15GD,4,0,Y,4,13,,"GRADED DEATH BENEFIT, WHOLE LIFE"
9ADB15,4,0,Y,4,13,,INHERENT ACCIDENTAL DEATH (3 YR) FOR L15
1L16GD,2,2,N,4,13,,"GRADED DEATH BENEFIT, WHOLE LIFE"
9L16PF,1,1,N,4,13,,"GRADED DEATH BENEFIT, WHOLE LIFE"
10L171,4,0,Y,4,12,,SINGLE PREMIUM WHOLE LIFE
117JPO,4,0,Y,4,12,,SINGLE PREMIUM WHOLE LIFE
10L172,4,0,Y,4,12,,SINGLE PREMIUM WHOLE LIFE
17MJPO,4,0,Y,4,12,,SINGLE PREMIUM WHOLE LIFE
1L17SP,4,0,Y,4,12,,"SINGLE PREMIUM, WHOLE LIFE"
9SLADB,4,0,Y,4,70,,SAL ACCIDENTAL DEATH BENEFIT
1SALML,4,0,Y,4,70,,MODIFIED LIFE
1SALMI,4,0,Y,4,70,,MULTIPLE INSUREDS SAL MODIFIED LIFE
1SALOL,4,0,Y,4,70,,ORDINARY WHOLE LIFE
9WP646,4,0,Y,4,03,,WAIVER OF PREMIUM
