PLAN,VARDB_before,VARDB_after,changed,VARGP,PRODUCT,PLANTYPE,DESCR
17CSI3,2,2,N,4,19,,CSI LIFE $3000
17CSI5,2,2,N,4,19,,CSI LIFE $5000
17CSI7,2,2,N,4,19,,CSI LIFE $7500
1CSIMN,2,2,N,4,19,,CSI LIFE MN $5000
578STR,3,3,N,4,06,,PAID UP SPOUSE TERM RIDER
7619DT,3,3,N,4,09,,DECREASING TERM
719CDT,3,3,N,4,09,,CHILD DECREASING TERM
7619PU,3,3,N,4,09,,DECREASING TERM PAID UP FOR SPOUSE
130JEB,3,3,N,4,03,,JUVENILE ESTATE BUILDER LIFE PD UP AT 65
7647FP,3,3,N,4,03,,FAMILY LIFE DECREASING TERM
7647SP,3,3,N,4,03,,SPOUSE - FAMILY LIFE DECREASING TERM
1659SR,1,1,N,4,16,,INTEREST-SENSITIVE WHOLE LIFE
2665ST,2,2,N,4,03,,STATESMAN MOD ENDOW AT 95
7686S3,1,1,N,4,07,,DECREASING TERM LIFE
7690DT,3,3,N,4,03,,DEC TERM TO 65 CONVERTIBLE
542STR,3,3,N,4,05,,SPOUSE TERM RIDER
A60MIR,2,2,N,4,03,,MONTHLY INCOME RIDER
1970JB,3,3,N,4,07,,JUVENILE EST BUILD PU AT 85 LIFE
1L16GD,2,2,N,4,13,,"GRADED DEATH BENEFIT, WHOLE LIFE"
9L16PF,1,1,N,4,13,,"GRADED DEATH BENEFIT, WHOLE LIFE"
