Row_Type,Overall_Result,Check_Name,Check_Result,What_We_Checked,Records_Reviewed,Looked_Fine,Problems_Found,Problem_Detail,When_It_Ran,Run_ID,Data_Folder,Rules_Executed,Rules_Passed,Rules_Failed,Rules_Not_Run,Rules_Error,Data_Conformance_Accuracy_Percent,Data_Conformance_Accuracy_Display,Validation_Guide_File,Validation_Manifest_File
OVERALL,FAILED — problems were found that need attention,All selected governance checks,FAILED — problems were found that need attention,"Selected QLAdmin governance rules for this run (company, policy, accounting, and group-billing integrity as applicable).",487,471,16,16 problem(s) listed in the rows below.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,1,0,1,0,0,96.714579055441,96.71%,data_governance_validation_guide.md,data_governance_validation_manifest.json
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,487,471,16,QuikPlCv plan '517P10' contains a blank ETI mortality table.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,487,471,16,QuikPlCv plan '517P20' contains a blank ETI mortality table.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,487,471,16,QuikPlCv plan '517P30' contains a blank ETI mortality table.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,487,471,16,QuikPlCv plan '517T10' contains a blank ETI mortality table.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,487,471,16,QuikPlCv plan '517T20' contains a blank ETI mortality table.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,487,471,16,QuikPlCv plan '517T30' contains a blank ETI mortality table.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,487,471,16,QuikPlCv plan '517YRT' contains a blank ETI mortality table.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,487,471,16,QuikPlCv plan '517R10' contains a blank ETI mortality table.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,487,471,16,QuikPlCv plan '517F10' contains a blank ETI mortality table.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,487,471,16,QuikPlCv plan '517F20' contains a blank ETI mortality table.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,487,471,16,QuikPlCv plan '517F30' contains a blank ETI mortality table.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,487,471,16,QuikPlCv plan '517T2R' contains a blank ETI mortality table.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,487,471,16,QuikPlCv plan '517T1R' contains a blank ETI mortality table.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,,,,,,,,,
PROBLEM,FAILED — problems were found that need attention,ETI Mortality Table Must Exist in QuikQxs,FAILED — problems were found that need attention,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,487,471,16,QuikPlCv plan '517T3R' contains a blank ETI mortality table.,2026-07-19 10:39:50,DG-20260719_103950_532489,Q:\WPA\WPA_GABIE,,,,,,,,,
