PLAN,FIELD_NAME,OLD_VALUE,NEW_VALUE,REASON
121PUA,PLANVALOPT,F,N,no variation detected
121PUA,GDVARYGP,0,N,no variation detected
121PUA,GDVARYDB,0,N,no variation detected
121PUA,GDVARYCV,,N,no variation detected
121PUA,GDVARYTV,,N,no variation detected
121PUA,GDVARYDV,,N,no variation detected
121PUA,UWVARYGP,,N,no variation detected
121PUA,UWVARYDB,,N,no variation detected
121PUA,UWVARYCV,,N,no variation detected
121PUA,UWVARYTV,,N,no variation detected
121PUA,UWVARYDV,,N,no variation detected
121PUA,BDVARYGP,,N,no variation detected
121PUA,BDVARYDB,,N,no variation detected
121PUA,BDVARYCV,,N,no variation detected
121PUA,BDVARYTV,,N,no variation detected
121PUA,BDVARYDV,,N,no variation detected
121PUA,STVARYGP,,N,no variation detected
121PUA,STVARYDB,,N,no variation detected
121PUA,STVARYCV,,N,no variation detected
121PUA,STVARYTV,,N,no variation detected
121PUA,STVARYDV,,N,no variation detected
130JEB,PLANVALOPT,F,Y,rate segmentation: GDVARYTV
130JEB,GDVARYGP,0,N,rate segmentation: GDVARYTV
130JEB,GDVARYDB,0,N,rate segmentation: GDVARYTV
130JEB,GDVARYCV,,N,rate segmentation: GDVARYTV
130JEB,GDVARYTV,,Y,rate segmentation: GDVARYTV
130JEB,GDVARYDV,,N,rate segmentation: GDVARYTV
130JEB,UWVARYGP,,N,rate segmentation: GDVARYTV
130JEB,UWVARYDB,,N,rate segmentation: GDVARYTV
130JEB,UWVARYCV,,N,rate segmentation: GDVARYTV
130JEB,UWVARYTV,,N,rate segmentation: GDVARYTV
130JEB,UWVARYDV,,N,rate segmentation: GDVARYTV
130JEB,BDVARYGP,,N,rate segmentation: GDVARYTV
130JEB,BDVARYDB,,N,rate segmentation: GDVARYTV
130JEB,BDVARYCV,,N,rate segmentation: GDVARYTV
130JEB,BDVARYTV,,N,rate segmentation: GDVARYTV
130JEB,BDVARYDV,,N,rate segmentation: GDVARYTV
130JEB,STVARYGP,,N,rate segmentation: GDVARYTV
130JEB,STVARYDB,,N,rate segmentation: GDVARYTV
130JEB,STVARYCV,,N,rate segmentation: GDVARYTV
130JEB,STVARYTV,,N,rate segmentation: GDVARYTV
130JEB,STVARYDV,,N,rate segmentation: GDVARYTV
1658C1,PLANVALOPT,F,Y,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,GDVARYGP,0,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,GDVARYDB,0,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,GDVARYCV,,Y,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,GDVARYTV,,Y,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,GDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,UWVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,UWVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,UWVARYCV,,Y,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,UWVARYTV,,Y,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,UWVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,BDVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,BDVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,BDVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,BDVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,BDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,STVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,STVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,STVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,STVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658C1,STVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYCV,UWVARYTV"
1658CS,PLANVALOPT,F,Y,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,GDVARYGP,0,Y,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,GDVARYDB,0,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,GDVARYCV,,Y,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,GDVARYTV,,Y,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,GDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,UWVARYGP,,Y,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,UWVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,UWVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,UWVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,UWVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,BDVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,BDVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,BDVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,BDVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,BDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,STVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,STVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,STVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,STVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1658CS,STVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYGP,GDVARYTV,UWVARYGP"
1659C2,PLANVALOPT,F,Y,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,GDVARYGP,0,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,GDVARYDB,0,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,GDVARYCV,,Y,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,GDVARYTV,,Y,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,GDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,UWVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,UWVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,UWVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,UWVARYTV,,Y,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,UWVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,BDVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,BDVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,BDVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,BDVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,BDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,STVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,STVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,STVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,STVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659C2,STVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV,UWVARYTV"
1659CR,PLANVALOPT,F,Y,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,GDVARYGP,0,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,GDVARYDB,0,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,GDVARYCV,,Y,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,GDVARYTV,,Y,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,GDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,UWVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,UWVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,UWVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,UWVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,UWVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,BDVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,BDVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,BDVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,BDVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,BDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,STVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,STVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,STVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,STVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CR,STVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,PLANVALOPT,F,Y,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,GDVARYGP,0,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,GDVARYDB,0,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,GDVARYCV,,Y,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,GDVARYTV,,Y,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,GDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,UWVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,UWVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,UWVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,UWVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,UWVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,BDVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,BDVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,BDVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,BDVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,BDVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,STVARYGP,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,STVARYDB,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,STVARYCV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,STVARYTV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659CS,STVARYDV,,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,PLANVALOPT,F,Y,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,GDVARYGP,0,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,GDVARYDB,0,N,"rate segmentation: GDVARYCV,GDVARYTV"
1659SR,GDVARYCV,,Y,"rate segmentation: GDVARYCV,GDVARYTV"
