ENTRY_POINT_PATH,INTENDED_PURPOSE,REQUIRED_WORKING_DIRECTORY,REQUIRED_COMMAND,REQUIRED_ARGUMENTS,REQUIRED_ENVIRONMENT_VARIABLES,REQUIRED_PACKAGES,REQUIRED_SOURCE_FILES,EXPECTED_OUTPUTS,OUTPUT_STATUS,CURRENTLY_RUNNABLE,WRITES_OUTSIDE_CITIZENS,REFERENCES_CFIC_RATES,REFERENCES_QLA_MIGRATION,REFERENCES_QLA_CORE,UNDOCUMENTED_ASSUMPTIONS,SAFE_TO_RUN_VERDICT,NOTES,EXISTS
conversion/orchestration/package_cfic_rates.py,Main reserve packaging orchestrator,Citizens project root (intended future); currently assumes CFIC_Rates,python conversion/orchestration/package_cfic_rates.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,UNKNOWN_IF_RUN,Y,N,N,Y,BLOCKED_BY_ENGINE,Requires CFIC_Rates layout + qla_core,Y
conversion/orchestration/cfic_reserve_build.py,Build Quik factor/key/member grids from reserve staging,Citizens project root (intended future); currently assumes CFIC_Rates,python conversion/orchestration/cfic_reserve_build.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,UNKNOWN_IF_RUN,Y,N,Y,Y,BLOCKED_BY_ENGINE,Imports qla_core; hardcodes CFIC_Rates,Y
conversion/orchestration/cfic_rate_publish.py,Publish Quik CSV load package,Citizens project root (intended future); currently assumes CFIC_Rates,python conversion/orchestration/cfic_rate_publish.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,UNKNOWN_IF_RUN,Y,N,Y,Y,BLOCKED_BY_ENGINE,Imports qla_core.rate_dbf_writer,Y
conversion/orchestration/build_cfic_assumption_template.py,Generate OBQ-2 assumption template from keys,Citizens project root (intended future); currently assumes CFIC_Rates,python conversion/orchestration/build_cfic_assumption_template.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,UNKNOWN_IF_RUN,N,N,N,Y,NOT_READY,Hardcoded Output/Issue_Log paths,Y
conversion/orchestration/legacy_cfic_paths.py,Path constants module,Citizens project root (intended future); currently assumes CFIC_Rates,python conversion/orchestration/legacy_cfic_paths.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,UNKNOWN_IF_RUN,Y,Y,N,Y,DO_NOT_EXECUTE,Not an entry point; obsolete layout,Y
tools/inventory/run_stage2a_inventory.py,Stage 2A inventory (completed),Citizens project root (intended future); currently assumes CFIC_Rates,python tools/inventory/run_stage2a_inventory.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,N,Y,Y,N,Y,SAFE_READ_ONLY,Read-only vs CFIC_Rates,Y
tools/migration/run_stage2b_migration.py,Stage 2B copy migration (completed),Citizens project root (intended future); currently assumes CFIC_Rates,python tools/migration/run_stage2b_migration.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,N,Y,N,N,Y,HISTORICAL_ONLY,Do not re-run without authorization,Y
tools/reporting/_build_rate_load_tracker.py,Rebuild rate-load tracker CSVs,Citizens project root (intended future); currently assumes CFIC_Rates,python tools/reporting/_build_rate_load_tracker.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,N,N,N,N,Y,NOT_READY,Parents[1] assumes old CFIC_Rates layout,Y
tools/inventory/legacy__build_plan_rate_inventory.py,Build plan/rate PDF inventory,Citizens project root (intended future); currently assumes CFIC_Rates,python tools/inventory/legacy__build_plan_rate_inventory.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,N,Y,N,N,Y,NOT_READY,Legacy path assumptions,Y
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_reserve_dbf.py,Extract reserve DBF to staging,Citizens project root (intended future); currently assumes CFIC_Rates,python archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_reserve_dbf.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,N,N,N,Y,Y,HISTORICAL_ONLY,Archived; paths point to CFIC_Rates,Y
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_plans_dbf.py,Extract plans DBF,Citizens project root (intended future); currently assumes CFIC_Rates,python archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_plans_dbf.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,N,N,N,N,Y,HISTORICAL_ONLY,Archived,Y
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/validate_cfic_reserve_rates.py,Validate reserve vs Access checkpoints,Citizens project root (intended future); currently assumes CFIC_Rates,python archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/validate_cfic_reserve_rates.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,N,N,N,N,Y,HISTORICAL_ONLY,Archived,Y
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/emit_cfic_reserve_rates.py,Thin wrapper to package_cfic_rates,Citizens project root (intended future); currently assumes CFIC_Rates,python archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/emit_cfic_reserve_rates.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,N,N,N,N,Y,HISTORICAL_ONLY,Archived,Y
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/extract_cfic_pdf_rates.py,PDF gross premium extract,Citizens project root (intended future); currently assumes CFIC_Rates,python archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/extract_cfic_pdf_rates.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,N,Y,N,N,Y,HISTORICAL_ONLY,OCR/PDF pilot,Y
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/emit_cfic_pdf_rates.py,Emit QuikGps from PDF staging,Citizens project root (intended future); currently assumes CFIC_Rates,python archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/emit_cfic_pdf_rates.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,N,Y,N,Y,Y,BLOCKED_BY_ENGINE,qla_core + archived,Y
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/extract_cfic_green_sheets.py,OCR green-sheet extract,Citizens project root (intended future); currently assumes CFIC_Rates,python archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/extract_cfic_green_sheets.py,See script --help when runnable,None documented,pandas/openpyxl/easyocr/pymupdf as applicable; qla_core external,DBF/crosswalk/staging depending on script,Staging CSVs / Quik CSVs / trackers / reports,draft_or_historical,N,N,N,N,N,Y,DO_NOT_EXECUTE,OCR FAIL; not authoritative,Y
