FILE,LINE_NUMBER,REFERENCE,REFERENCE_TYPE,CURRENT_PURPOSE,REQUIRED_FUTURE_DISPOSITION,PROPOSED_CONFIGURATION_KEY,DEVELOPMENT_ISSUE_REQUIRED,RISK
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/extract_cfic_green_sheets.py,25,parents[3],parent_traversal,ROOT = Path(__file__).resolve().parents[3],HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/extract_cfic_green_sheets.py,27,CFIC_Cash_Values,legacy_source_folder,"ZIP_PATH = ROOT / ""CFIC_Cash_Values"" / ""P7MN_CV.zip""",HISTORICAL_NO_CHANGE,paths.source.cash_values,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/research_cfic_issue01_inventory.py,15,parents[3],parent_traversal,ROOT = Path(__file__).resolve().parents[3],HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/research_cfic_issue01_inventory.py,16,CFIC_Cash_Values,legacy_source_folder,"CV_DIR = ROOT / ""CFIC_Cash_Values""",HISTORICAL_NO_CHANGE,paths.source.cash_values,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/research_cfic_issue01_inventory.py,17,parents[1],parent_traversal,"EVIDENCE = Path(__file__).resolve().parents[1] / ""evidence""",HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/risk_review_cfic_issue01.py,8,parents[3],parent_traversal,ROOT = Path(__file__).resolve().parents[3],HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/risk_review_cfic_issue01.py,9,parents[1],parent_traversal,"EVIDENCE = Path(__file__).resolve().parents[1] / ""evidence""",HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/validate_cfic_issue01_p7mn_pilot.py,8,parents[3],parent_traversal,ROOT = Path(__file__).resolve().parents[3],HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/validate_cfic_issue01_p7mn_pilot.py,11,parents[1],parent_traversal,"EVIDENCE = Path(__file__).resolve().parents[1] / ""evidence""",HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/emit_cfic_pdf_rates.py,9,CFIC_Rates,legacy_project_name,ROOT = Path(__file__).resolve().parents[3]  # CFIC_Rates,HISTORICAL_NO_CHANGE,paths.legacy_cfic_rates_readonly,,HIGH
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/emit_cfic_pdf_rates.py,9,parents[3],parent_traversal,ROOT = Path(__file__).resolve().parents[3]  # CFIC_Rates,HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/emit_cfic_pdf_rates.py,11,extracted_pdf_rates,legacy_staging,"STAGING = ROOT / ""extracted_pdf_rates"" / ""staging""",HISTORICAL_NO_CHANGE,paths.staging,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/emit_cfic_pdf_rates.py,12,output,output_folder,"OUT_DIR = ROOT / ""output"" / ""rates""",HISTORICAL_NO_CHANGE,paths.output_rates,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/emit_cfic_pdf_rates.py,14,sys.path,sys_path_manipulation,"sys.path.insert(0, str(REPO))",HISTORICAL_NO_CHANGE,engine.install_method,,HIGH
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/emit_cfic_pdf_rates.py,15,qla_core,engine_module,from qla_core.rate_dbf_schema import (  # noqa: E402,HISTORICAL_NO_CHANGE,engine.package,,HIGH
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/extract_cfic_pdf_rates.py,15,sys.path,sys_path_manipulation,if str(SCRIPT_DIR) not in sys.path:,HISTORICAL_NO_CHANGE,engine.install_method,,HIGH
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/extract_cfic_pdf_rates.py,16,sys.path,sys_path_manipulation,"sys.path.insert(0, str(SCRIPT_DIR))",HISTORICAL_NO_CHANGE,engine.install_method,,HIGH
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/extract_cfic_pdf_rates.py,27,CFIC_Rates,legacy_project_name,ROOT = Path(__file__).resolve().parents[3]  # CFIC_Rates,HISTORICAL_NO_CHANGE,paths.legacy_cfic_rates_readonly,,HIGH
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/extract_cfic_pdf_rates.py,27,parents[3],parent_traversal,ROOT = Path(__file__).resolve().parents[3]  # CFIC_Rates,HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/extract_cfic_pdf_rates.py,29,extracted_pdf_rates,legacy_staging,"STAGING_ROOT = ROOT / ""extracted_pdf_rates"" / ""staging""",HISTORICAL_NO_CHANGE,paths.staging,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/validate_cfic_pdf_permalife7.py,9,CFIC_Rates,legacy_project_name,ROOT = Path(__file__).resolve().parents[3]  # CFIC_Rates,HISTORICAL_NO_CHANGE,paths.legacy_cfic_rates_readonly,,HIGH
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/validate_cfic_pdf_permalife7.py,9,parents[3],parent_traversal,ROOT = Path(__file__).resolve().parents[3]  # CFIC_Rates,HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/validate_cfic_pdf_permalife7.py,10,extracted_pdf_rates,legacy_staging,"STAGING = ROOT / ""extracted_pdf_rates"" / ""staging""",HISTORICAL_NO_CHANGE,paths.staging,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/validate_cfic_pdf_permalife7.py,12,Issue_Log,legacy_issue_folder,"REPORT = ROOT / ""Issue_Log"" / ""CFIC_Issue_02"" / ""evidence"" / ""cfic_issue02_pdf_validation.csv""",HISTORICAL_NO_CHANGE,paths.issues,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/cfic_crosswalk.py,9,CFIC_Rates,legacy_project_name,ROOT = Path(__file__).resolve().parents[3]  # CFIC_Rates,HISTORICAL_NO_CHANGE,paths.legacy_cfic_rates_readonly,,HIGH
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/cfic_crosswalk.py,9,parents[3],parent_traversal,ROOT = Path(__file__).resolve().parents[3]  # CFIC_Rates,HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/emit_cfic_reserve_rates.py,9,parents[3],parent_traversal,CFIC_ROOT = Path(__file__).resolve().parents[3],HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/emit_cfic_reserve_rates.py,15,Output,output_folder,"description=""Emit CFIC reserve rates to Output/rates/ (use package_cfic_rates.py directly)""",HISTORICAL_NO_CHANGE,paths.output_rates,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_plans_dbf.py,10,sys.path,sys_path_manipulation,"sys.path.insert(0, str(SCRIPT_DIR))",HISTORICAL_NO_CHANGE,engine.install_method,,HIGH
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_plans_dbf.py,14,parents[2],parent_traversal,ROOT = SCRIPT_DIR.parents[2],HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_plans_dbf.py,16,extracted_plans,legacy_staging,"OUT_DIR = ROOT / ""extracted_plans"" / ""staging""",HISTORICAL_NO_CHANGE,paths.staging,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_reserve_dbf.py,10,sys.path,sys_path_manipulation,"sys.path.insert(0, str(SCRIPT_DIR))",HISTORICAL_NO_CHANGE,engine.install_method,,HIGH
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_reserve_dbf.py,15,parents[2],parent_traversal,ROOT = SCRIPT_DIR.parents[2],HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_reserve_dbf.py,17,sys.path,sys_path_manipulation,"sys.path.insert(0, str(REPO))",HISTORICAL_NO_CHANGE,engine.install_method,,HIGH
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_reserve_dbf.py,18,qla_core,engine_module,from qla_core import rate_dbf_schema as S  # noqa: E402,HISTORICAL_NO_CHANGE,engine.package,,HIGH
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_reserve_dbf.py,22,extracted_reserve,legacy_staging,"STAGING_ROOT = ROOT / ""extracted_reserve"" / ""staging""",HISTORICAL_NO_CHANGE,paths.staging,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/validate_cfic_reserve_rates.py,10,parents[2],parent_traversal,ROOT = SCRIPT_DIR.parents[2],HISTORICAL_NO_CHANGE,paths.project_root,,MEDIUM
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/validate_cfic_reserve_rates.py,11,extracted_reserve,legacy_staging,"STAGING_ROOT = ROOT / ""extracted_reserve"" / ""staging""",HISTORICAL_NO_CHANGE,paths.staging,,MEDIUM
conversion/orchestration/build_cfic_assumption_template.py,7,parents[1],parent_traversal,CFIC_ROOT = Path(__file__).resolve().parents[1],MOVE_TO_CONFIG,paths.project_root,CIT-ARCH-001,MEDIUM
conversion/orchestration/build_cfic_assumption_template.py,8,Output,output_folder,"KEY_CV = CFIC_ROOT / ""Output"" / ""rates"" / ""QuikPlCv.csv""",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
conversion/orchestration/build_cfic_assumption_template.py,9,Output,output_folder,"KEY_TV = CFIC_ROOT / ""Output"" / ""rates"" / ""QuikPlTv.csv""",MOVE_TO_CONFIG,paths.output_rates,CIT-ARCH-001,MEDIUM
conversion/orchestration/build_cfic_assumption_template.py,10,Issue_Log,legacy_issue_folder,"OUT = CFIC_ROOT / ""Issue_Log"" / ""CFIC_Issue_03"" / ""business_inputs"" / ""cfic_rate_key_assumptions.csv""",MOVE_TO_CONFIG,paths.issues,CIT-ARCH-001,MEDIUM
