PLAN,RATE_FAMILY,TYPE_CODE,VARIES_BY_GENDER,VARIES_BY_UWCLASS,VARIES_BY_BAND,VARIES_BY_STATE_COUNTRY,DISTINCT_GENDER_COUNT,DISTINCT_UWCLASS_COUNT,DISTINCT_BAND_COUNT,DISTINCT_STATE_COUNTRY_COUNT,SOURCE_ROW_COUNT,NOTES
121PUA,CASH_VALUE,CV,N,N,N,N,1,1,1,1,71,sources=PAAGERAT
130JEB,CASH_VALUE,CV,N,N,N,N,1,1,1,1,886,sources=Emitted:QuikPlCv+Rate_Table
130JEB,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,117,sources=PAAGERAT
130JEB,DIVIDEND,DV,N,N,N,N,1,1,1,1,121,sources=Emitted:QuikPlDv+Rate_Table
130JEB,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,16,sources=Emitted:QuikPlGp+PAAGERAT
130JEB,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,1772,sources=Emitted:QuikPlTv+Rate_Table
1658C1,CASH_VALUE,CV,Y,Y,N,N,2,2,1,1,18128,sources=Emitted:QuikPlCv+Rate_Table
1658C1,TERMINAL_RESERVE,RV,Y,Y,N,N,2,2,1,1,19004,sources=Emitted:QuikPlTv+Rate_Table
1658CS,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,9115,sources=Emitted:QuikPlCv+Rate_Table
1658CS,GROSS_PREMIUM,PR,Y,Y,N,N,2,2,1,1,168,sources=Emitted:QuikPlGp+PAAGERAT
1658CS,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,9498,sources=Emitted:QuikPlTv+Rate_Table
1659C2,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,9680,sources=Emitted:QuikPlCv+Rate_Table
1659C2,TERMINAL_RESERVE,RV,Y,Y,N,N,2,2,1,1,19784,sources=Emitted:QuikPlTv+Rate_Table
1659CR,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,9680,sources=Emitted:QuikPlCv+Rate_Table
1659CR,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,9892,sources=Emitted:QuikPlTv+Rate_Table
1659CS,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,9290,sources=Emitted:QuikPlCv+Rate_Table
1659CS,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,9498,sources=Emitted:QuikPlTv+Rate_Table
1659SR,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,9702,sources=Emitted:QuikPlCv+Rate_Table
1659SR,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,101,sources=Emitted:QuikPlDb+Rate_Table
1659SR,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,2342,sources=Emitted:QuikPlTv+Rate_Table
165PUA,CASH_VALUE,CV,N,N,N,N,1,1,1,1,66,sources=PAAGERAT
165PUA,TERMINAL_RESERVE,RV,N,N,N,N,1,1,1,1,101,sources=PAAGERAT
1666AI,GROSS_PREMIUM,PR,N,N,N,N,1,1,1,1,87,sources=Emitted:QuikPlGp+PAAGERAT
1666WL,CASH_VALUE,CV,N,N,N,N,1,1,1,1,4896,sources=Emitted:QuikPlCv+Rate_Table
1666WL,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,9892,sources=Emitted:QuikPlTv+Rate_Table
1668SP,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,202,sources=PAAGERAT
1668SP,TERMINAL_RESERVE,RV,N,N,N,N,1,1,1,1,117,sources=PAAGERAT
1669SR,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,2342,sources=Emitted:QuikPlCv+Rate_Table
1669SR,GROSS_PREMIUM,PR,Y,Y,N,N,2,2,1,1,168,sources=Emitted:QuikPlGp+PAAGERAT
1679CS,CASH_VALUE,CV,N,N,N,N,1,1,1,1,4351,sources=Emitted:QuikPlCv+Rate_Table
170588,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,7348,sources=Emitted:QuikPlCv+Rate_Table
170858,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,9123,sources=Emitted:QuikPlCv+Rate_Table
170858,DIVIDEND,DV,Y,N,N,N,2,1,1,1,7128,sources=Emitted:QuikPlDv+Rate_Table
170858,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,9232,sources=Emitted:QuikPlTv+Rate_Table
170PUA,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,175,sources=PAAGERAT
170PUA,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,202,sources=PAAGERAT
17CSI3,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,2372,sources=Emitted:QuikPlCv+Rate_Table
17CSI3,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,1186,sources=Emitted:QuikPlDb+Rate_Table
17CSI3,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,62,sources=Emitted:QuikPlGp+PAAGERAT
17CSI3,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,2372,sources=Emitted:QuikPlTv+Rate_Table
17CSI5,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,2372,sources=Emitted:QuikPlCv+Rate_Table
17CSI5,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,1186,sources=Emitted:QuikPlDb+Rate_Table
17CSI5,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,2372,sources=Emitted:QuikPlTv+Rate_Table
17CSI7,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,2372,sources=Emitted:QuikPlCv+Rate_Table
17CSI7,DEATH_BENEFIT,DB,N,N,N,N,1,1,1,1,1186,sources=Emitted:QuikPlDb+Rate_Table
17CSI7,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,62,sources=Emitted:QuikPlGp+PAAGERAT
17CSI7,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,2372,sources=Emitted:QuikPlTv+Rate_Table
17MJPO,GROSS_PREMIUM,PR,Y,N,Y,N,2,1,2,1,80,sources=Emitted:QuikPlGp+PAAGERAT
185PUA,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,175,sources=PAAGERAT
185PUA,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,205,sources=PAAGERAT
196065,CASH_VALUE,CV,N,N,N,N,1,1,1,1,4616,sources=Emitted:QuikPlCv+Rate_Table
196065,DIVIDEND,DV,N,N,N,N,1,1,1,1,2124,sources=Emitted:QuikPlDv+Rate_Table
196065,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,114,sources=Emitted:QuikPlGp+PAAGERAT
196065,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,9232,sources=Emitted:QuikPlTv+Rate_Table
1960OL,CASH_VALUE,CV,N,N,N,N,1,1,1,1,4565,sources=Emitted:QuikPlCv+Rate_Table
1960OL,DIVIDEND,DV,N,N,N,N,1,1,1,1,2786,sources=Emitted:QuikPlDv+Rate_Table
1960OL,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,144,sources=Emitted:QuikPlGp+PAAGERAT
1960OL,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,9477,sources=Emitted:QuikPlTv+Rate_Table
1960PO,CASH_VALUE,CV,Y,N,N,N,2,1,1,1,9276,sources=Emitted:QuikPlCv+Rate_Table
1960PO,DIVIDEND,DV,Y,N,N,N,2,1,1,1,6450,sources=Emitted:QuikPlDv+Rate_Table
1960PO,GROSS_PREMIUM,PR,Y,N,N,N,2,1,1,1,144,sources=Emitted:QuikPlGp+PAAGERAT
1960PO,TERMINAL_RESERVE,RV,Y,N,N,N,2,1,1,1,9445,sources=Emitted:QuikPlTv+Rate_Table
