sheet,row,policy_form,rate_type_col,col,segment,assessment
Non-ISWL,2,L10 LP95,Premiums (PR),B,L10 LP95,dark_green
Non-ISWL,2,L10 LP95,Cash Values (CV),C,L10 LP95,dark_green
Non-ISWL,2,L10 LP95,Reserve Factors (RV),F,L10 LP9595,red
Non-ISWL,2,L10 LP95,Net Valuation Premiums (NP),G,L10 LP9595,red
Non-ISWL,2,L10 LP95,Non-Forfeiture Factors (NF),H,L10 LP95,dark_green
Non-ISWL,2,L10 LP95,Non-Deduction Reserve  (NN),I,L10 LP95,dark_green
Non-ISWL,2,L10 LP95,Non-Ded Valuation Prem (PN),J,L10 LP95,dark_green
Non-ISWL,2,L10 LP95,Loan Interest Rates (LN),M,L10 PRE97,none
Non-ISWL,2,L10 LP95,"Endowment,Deposit Return (RD)",N,L10 PRE97,none
Non-ISWL,2,L10 LP95,Notify Messages/Letters (NT),O,AGE 95,none
Non-ISWL,2,L10 LP95,Commissions(CC),P,BA2,none
Non-ISWL,2,L10 LP95,Ext Term/Reduced Paid Up (ET),S,L10 PRE97,none
Non-ISWL,2,L10 LP95,IBA Accounts (IB),T,L10 LP95,none
Non-ISWL,2,L10 LP95,New Business Defaults (NB),U,L10 PRE97,none
Non-ISWL,2,L10 LP95,Letter Type (L0),V,LIFEWCV,none
Non-ISWL,2,L10 LP95,Billng Setup (BS),X,LIFE,none
Non-ISWL,2,L10 LP95,Non Forfeiture Rules (NO),Z,L10 PREUNI,none
Non-ISWL,3,L10 WP,Premiums (PR),B,L10 WP,dark_green
Non-ISWL,3,L10 WP,Death Benefits (DB),E,L10ZERO,light_green
Non-ISWL,3,L10 WP,Reserve Factors (RV),F,WPAD 34 4,peach
Non-ISWL,3,L10 WP,Net Valuation Premiums (NP),G,WPAD34 4,peach
Non-ISWL,3,L10 WP,Notify Messages/Letters (NT),O,LIFE WP,none
Non-ISWL,3,L10 WP,Commissions(CC),P,BASE,none
Non-ISWL,4,L10 ADB,Premiums (PR),B,L10 ADB OL,purple
Non-ISWL,4,L10 ADB,Reserve Factors (RV),F,ADB 30 65,red
Non-ISWL,4,L10 ADB,Net Valuation Premiums (NP),G,ADB 30 65,red
Non-ISWL,4,L10 ADB,Notify Messages/Letters (NT),O,ADB,none
Non-ISWL,4,L10 ADB,Commissions(CC),P,BASE,none
Non-ISWL,5,L10 GPO,Premiums (PR),B,L10 GPO OL,purple
Non-ISWL,5,L10 GPO,Death Benefits (DB),E,L10ZERO,light_green
Non-ISWL,5,L10 GPO,Reserve Factors (RV),F,ZERO LIFE,light_green
Non-ISWL,5,L10 GPO,Net Valuation Premiums (NP),G,L10 GPO OL,red
Non-ISWL,5,L10 GPO,Notify Messages/Letters (NT),O,L10 GPO OL,none
Non-ISWL,5,L10 GPO,Commissions(CC),P,BASE,none
Non-ISWL,6,L10 JPO,Premiums (PR),B,L10 JPO OL,purple
Non-ISWL,6,L10 JPO,Death Benefits (DB),E,L10ZERO,light_green
Non-ISWL,6,L10 JPO,Reserve Factors (RV),F,ZERO LIFE,light_green
Non-ISWL,6,L10 JPO,Net Valuation Premiums (NP),G,L10 GPO OL,red
Non-ISWL,6,L10 JPO,Notify Messages/Letters (NT),O,8286 GI,none
Non-ISWL,6,L10 JPO,Commissions(CC),P,BASE,none
Non-ISWL,7,L10 SDT,Premiums (PR),B,L10 SDT OL,purple
Non-ISWL,7,L10 SDT,Death Benefits (DB),E,L10 SDT OL,light_green
Non-ISWL,7,L10 SDT,Reserve Factors (RV),F,L10 SDT,dark_green
Non-ISWL,7,L10 SDT,Net Valuation Premiums (NP),G,L10 SDT,dark_green
Non-ISWL,7,L10 SDT,Notify Messages/Letters (NT),O,SPS TRM RD,none
Non-ISWL,7,L10 SDT,Commissions(CC),P,BASE,none
Non-ISWL,8,L10 CDT,Premiums (PR),B,L10 CDT OL,purple
Non-ISWL,8,L10 CDT,Reserve Factors (RV),F,L10 CDT,dark_green
Non-ISWL,8,L10 CDT,Net Valuation Premiums (NP),G,L10 CDT,dark_green
Non-ISWL,8,L10 CDT,Notify Messages/Letters (NT),O,CTR,none
Non-ISWL,8,L10 CDT,Commissions(CC),P,BASE,none
Non-ISWL,9,L10 SPSWP,Premiums (PR),B,L10 SPSWP,dark_green
Non-ISWL,9,L10 SPSWP,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,9,L10 SPSWP,Reserve Factors (RV),F,WPAD 34 4,red
Non-ISWL,9,L10 SPSWP,Net Valuation Premiums (NP),G,WPAD 34 4,red
Non-ISWL,9,L10 SPSWP,Commissions(CC),P,BASE,none
Non-ISWL,10,L10 WP CDT,Premiums (PR),B,L10 WP CDT,dark_green
Non-ISWL,10,L10 WP CDT,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,10,L10 WP CDT,Reserve Factors (RV),F,WPAD 34 4,red
Non-ISWL,10,L10 WP CDT,Net Valuation Premiums (NP),G,WPAD 34 4,red
Non-ISWL,10,L10 WP CDT,Notify Messages/Letters (NT),O,CTR,none
Non-ISWL,10,L10 WP CDT,Commissions(CC),P,BASE,none
Non-ISWL,11,DISCHO2475,Premiums (PR),B,DISCHO2475,peach
Non-ISWL,11,DISCHO2475,Death Benefits (DB),E,ZERO,light_green
Non-ISWL,11,DISCHO2475,Notify Messages/Letters (NT),O,DISCHO2475,none
Non-ISWL,11,DISCHO2475,Commissions(CC),P,AA1,none
Non-ISWL,12,670 GL85-8,Premiums (PR),B,GL LP85,purple
Non-ISWL,12,670 GL85-8,Cash Values (CV),C,670 GL85-8,dark_green
