extract,coverage_id,type_code,row_count,status
PAAGERAT_20260714,0824 P DTH,DB,0,MISSING_TYPE
PAAGERAT_20260714,0824 P DTH,NP,0,MISSING_TYPE
PAAGERAT_20260714,0824 P DTH,PR,22,PRESENT
PAAGERAT_20260714,0824 P DTH,RV,0,MISSING_TYPE
PAAGERAT_20260714,960 LP85-8,CV,0,MISSING_TYPE
PAAGERAT_20260714,960 LP85-8,DV,0,MISSING_TYPE
PAAGERAT_20260714,960 LP85-8,NP,0,MISSING_TYPE
PAAGERAT_20260714,960 LP85-8,PR,284,PRESENT
PAAGERAT_20260714,960 LP85-8,RV,0,MISSING_TYPE
PAAGERAT_20260714,960 LP85-M,CV,0,ABSENT
PAAGERAT_20260714,960 LP85-M,DV,0,ABSENT
PAAGERAT_20260714,960 LP85-M,NP,0,ABSENT
PAAGERAT_20260714,960 LP85-M,PR,0,ABSENT
PAAGERAT_20260714,960 LP85-M,RV,0,ABSENT
PAAGERAT_20260714,L01 10Y,CV,0,ABSENT
PAAGERAT_20260714,L01 10Y,NN,0,ABSENT
PAAGERAT_20260714,L01 10Y,NP,0,ABSENT
PAAGERAT_20260714,L01 10Y,PN,0,ABSENT
PAAGERAT_20260714,L01 10Y,PR,0,ABSENT
PAAGERAT_20260714,L01 10Y,RV,0,ABSENT
PAAGERAT_20260714,L01 10Y LT,CV,0,MISSING_TYPE
PAAGERAT_20260714,L01 10Y LT,NP,0,MISSING_TYPE
PAAGERAT_20260714,L01 10Y LT,PR,924,PRESENT
PAAGERAT_20260714,L01 10Y LT,RV,0,MISSING_TYPE
PAAGERAT_20260714,L10 GPO,NP,0,ABSENT
PAAGERAT_20260714,L10 GPO,PR,0,ABSENT
PAAGERAT_20260714,L10 GPO,RV,0,ABSENT
PAAGERAT_20260714,L10 GPO OL,DB,0,MISSING_TYPE
PAAGERAT_20260714,L10 GPO OL,NP,0,MISSING_TYPE
PAAGERAT_20260714,L10 GPO OL,PR,82,PRESENT
PAAGERAT_20260714,L10 GPO OL,RV,0,MISSING_TYPE
PAAGERAT_20260714,L10 LP95,CV,0,MISSING_TYPE
PAAGERAT_20260714,L10 LP95,NP,0,MISSING_TYPE
PAAGERAT_20260714,L10 LP95,PR,1832,PRESENT
PAAGERAT_20260714,L10 LP95,RV,0,MISSING_TYPE
PAAGERAT_20260714,L10 LP9595,CV,0,ABSENT
PAAGERAT_20260714,L10 LP9595,NP,0,ABSENT
PAAGERAT_20260714,L10 LP9595,PR,0,ABSENT
PAAGERAT_20260714,L10 LP9595,RV,0,ABSENT
PAAGERAT_20260714,L17,CV,0,MISSING_TYPE
PAAGERAT_20260714,L17,NP,0,MISSING_TYPE
PAAGERAT_20260714,L17,PR,76,PRESENT
PAAGERAT_20260714,L17,RD,1,PRESENT
PAAGERAT_20260714,L17,RV,0,MISSING_TYPE
PAAGERAT_20260714,L17 1,CV,0,ABSENT
PAAGERAT_20260714,L17 1,NP,0,ABSENT
PAAGERAT_20260714,L17 1,PR,0,ABSENT
PAAGERAT_20260714,L17 1,RV,0,ABSENT
PAAGERAT_20260714,L17 2+,CV,0,MISSING_TYPE
PAAGERAT_20260714,L17 2+,NP,0,MISSING_TYPE
PAAGERAT_20260714,L17 2+,PR,76,PRESENT
PAAGERAT_20260714,L17 2+,RV,0,MISSING_TYPE
PDAGE_20260714,0824 P DTH,DB,0,ABSENT
PDAGE_20260714,0824 P DTH,NP,0,ABSENT
PDAGE_20260714,0824 P DTH,PR,0,ABSENT
PDAGE_20260714,0824 P DTH,RV,0,ABSENT
PDAGE_20260714,960 LP85-8,CV,3408,PRESENT
PDAGE_20260714,960 LP85-8,DV,3408,PRESENT
PDAGE_20260714,960 LP85-8,NN,3888,PRESENT
PDAGE_20260714,960 LP85-8,NP,2256,PRESENT
PDAGE_20260714,960 LP85-8,PN,3888,PRESENT
PDAGE_20260714,960 LP85-8,PR,0,MISSING_TYPE
PDAGE_20260714,960 LP85-8,RV,2256,PRESENT
PDAGE_20260714,960 LP85-M,CV,0,ABSENT
