sheet,policy_form,rate_type_col,type_codes,segment,assessment,rt_rows,pa_rows,rt_types_present,pa_types_present,verdict,note
Non-ISWL,L10 LP95,Premiums (PR),PR,L10 LP95,dark_green,0,1832,CV|NF|NN|NP|PN|RV,PR,AGREE,found RT=0 PA=1832
Non-ISWL,L10 LP95,Cash Values (CV),CV,L10 LP95,dark_green,29599,0,CV|NF|NN|NP|PN|RV,PR,AGREE,found RT=29599 PA=0
Non-ISWL,L10 LP95,Reserve Factors (RV),RV,L10 LP9595,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L10 LP95,Net Valuation Premiums (NP),NP,L10 LP9595,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L10 LP95,Non-Forfeiture Factors (NF),NF,L10 LP95,dark_green,27090,0,CV|NF|NN|NP|PN|RV,PR,AGREE,found RT=27090 PA=0
Non-ISWL,L10 WP,Premiums (PR),PR,L10 WP,dark_green,0,222,,PR,AGREE,found RT=0 PA=222
Non-ISWL,L10 WP,Death Benefits (DB),DB,L10ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,L10 WP,Reserve Factors (RV),RV,WPAD 34 4,peach,0,0,,,AGREE,absent from both extracts
Non-ISWL,L10 WP,Net Valuation Premiums (NP),NP,WPAD34 4,peach,0,0,,,AGREE,absent from both extracts
Non-ISWL,L10 ADB,Premiums (PR),PR,L10 ADB OL,purple,0,0,,,AGREE,missing from PA (and RT=0) as expected for New Era AA request
Non-ISWL,L10 ADB,Reserve Factors (RV),RV,ADB 30 65,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L10 ADB,Net Valuation Premiums (NP),NP,ADB 30 65,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L10 GPO,Premiums (PR),PR,L10 GPO OL,purple,0,0,,,AGREE,missing from PA (and RT=0) as expected for New Era AA request
Non-ISWL,L10 GPO,Death Benefits (DB),DB,L10ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,L10 GPO,Reserve Factors (RV),RV,ZERO LIFE,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,L10 GPO,Net Valuation Premiums (NP),NP,L10 GPO OL,red,0,0,,,AGREE,missing from RT (PA=0) as expected for New Era duration request
Non-ISWL,L10 JPO,Premiums (PR),PR,L10 JPO OL,purple,0,0,,,AGREE,missing from PA (and RT=0) as expected for New Era AA request
Non-ISWL,L10 JPO,Death Benefits (DB),DB,L10ZERO,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
Non-ISWL,L10 JPO,Reserve Factors (RV),RV,ZERO LIFE,light_green,0,0,,,DISAGREE,marked received but ZERO rows in both extracts
