TABLE_NAME,LIKELY_UNIQUENESS_KEY,CONFIDENCE_LEVEL,EVIDENCE,OPEN_QUESTIONS
QuikGps,PLAN+AGE+CNTL+GENDER+UWCLASS+BAND+ISSCNTRY+ISSUEST+EFFDATE,CONFIRMED,"19-field header read from QuikGps(3).dbf; 443 live rows; non-factor columns form the key; AGE+CNTL page durations",Is duplicate (PLAN+seg+AGE+CNTL+EFFDATE) ever legitimately repeated? none expected
QuikCvs,PLAN+AGE+CNTL+GENDER+UWCLASS+BAND+ISSCNTRY+ISSUEST+EFFDATE,CONFIRMED,"Identical 19-field layout; CNTL paging proven on PLAN 1TSTWL AGE 41 (CNTL 00->dur0-9, 01->dur10)",none material
QuikDbs,PLAN+AGE+CNTL+GENDER+UWCLASS+BAND+ISSCNTRY+ISSUEST+EFFDATE,CONFIRMED,"Identical 19-field layout; 13 rows; AGE=00 (duration-only grid); CNTL 00-12",Confirm AGE=00 convention for level/by-year DB grids
QuikDvs,PLAN+AGE+CNTL+GENDER+UWCLASS+BAND+ISSCNTRY+ISSUEST+EFFDATE,CONFIRMED (layout) / UNKNOWN (data),"Header identical to other factor tables; table is an EMPTY template (0 records)",No populated rows to validate; only par plans (PAR=1) expected to use it
QuikNps,PLAN+AGE+CNTL+GENDER+UWCLASS+BAND+ISSCNTRY+ISSUEST+EFFDATE,CONFIRMED (layout) / UNKNOWN (data),"Header identical to other factor tables; EMPTY template (0 records)",NP factors needed for reserve/deficiency; not yet provided populated
QuikTvs,PLAN+AGE+CNTL+GENDER+UWCLASS+BAND+ISSCNTRY+ISSUEST+EFFDATE,CONFIRMED (layout) / UNKNOWN (data),"quiktvs.dbf now supplied: 19-field header IDENTICAL to other factor tables (TV0..TV9 C7); EMPTY template (0 records)",No populated TV factors yet; need actuarial terminal-reserve data to load/validate
QuikPlGp,PLAN+GENDER+UWCLASS+BAND+ISSCNTRY+ISSUEST+EFFDATE,CONFIRMED,"7-field header read from quikplgp.dbf; 50 live key tuples; matches GP factor seg tuples",4 empty keys + 4 orphan factors observed -> referential validation required
QuikPlDb,PLAN+GENDER+UWCLASS+BAND+ISSCNTRY+ISSUEST+EFFDATE,CONFIRMED,"7-field header read from quikpldb.dbf; pure segmentation key",none material
QuikPlDv,PLAN+GENDER+UWCLASS+BAND+ISSCNTRY+ISSUEST+EFFDATE,CONFIRMED,"7-field header read from quikpldv.dbf; pure segmentation key",Only relevant when plan PAR=1
QuikPlCv,PLAN+GENDER+UWCLASS+BAND+ISSCNTRY+ISSUEST+EFFDATE,CONFIRMED,"11-field header read from quikplcv.dbf; adds MORT/ETIMORT/NFOINT/INTMETHCV assumption columns",Are assumption columns part of the key or attributes of it? treated as attributes of the key
QuikPlTv,PLAN+GENDER+UWCLASS+BAND+ISSCNTRY+ISSUEST+EFFDATE,CONFIRMED,"13-field header read from QUIKPLTV.DBF; adds MORT/RSVINT/RSVMETH/INTMETHTV/STOREMEANS/CALCMIDS reserve assumptions",Reserve assumptions confirmed here; STOREMEANS/CALCMIDS rules UNKNOWN
QuikPlGd,PLAN+GDCODE,CONFIRMED,"3-field header read from quikplgd.dbf; PLAN+GDCODE enumerate gender members (M/F/0) with GDDESCR",Is GDCODE unique per PLAN? yes in sample (1TSTWL has M and F)
QuikPlNb,PLAN+ISSCNTRY+ISSUEST+EFFDATE,LIKELY,"5-field header read from quikplnb.dbf; PLAN+country/state+EFFDATE with paired TERMDATE availability window","Is EFFDATE or (EFFDATE,TERMDATE) the key? TERMDATE empty in sample"
QuikPlSt,PLAN+ISSCNTRY+ISSUEST,CONFIRMED,"quikplst.dbf supplied: 7 fields PLAN,ISSCNTRY,CNTRYTXT,ISSUEST,STATETXT,MLOANINT(N5.2),MLOANINTX; State/country PVO member list + state loan-rate override",Is EFFDATE needed in key? not present here (availability/EFFDATE handled by QuikPlNb)
QuikQxs,MORT,CONFIRMED,"QUIKQXS.DBF supplied: 243 rows, 125 fields MORT(C2)+TABLENAME(C22)+RADIX(N9)+Q000..Q121(N9.4); keyed by MORT (NO PLAN); shared global mortality library; codes match manual appendix (A1=1980 CSO Male)",RADIX semantics (value 200) and per-radix scaling of qx need actuarial confirmation; some tables stop ~age105 others extend to 121
