zip_path,internal_path,filename,extension,compressed_size,uncompressed_size,last_modified,exists_in_repo,repo_path,same_size_as_repo,likely_previously_analyzed,should_newly_analyze
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PAAGERAT_AttainedAge_Rates_Extract_20260530.csv,PAAGERAT_AttainedAge_Rates_Extract_20260530.csv,.csv,232557,3492918,2026-05-30T13:53:24,Yes,(similar) plan_analysis\source_data\rates\PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PACCT_ClientPolicyAccount_Extract_20260530.csv,PACCT_ClientPolicyAccount_Extract_20260530.csv,.csv,104745,2160275,2026-05-30T13:53:26,No,,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PACTG_Accounting_Extract20260530.csv,PACTG_Accounting_Extract20260530.csv,.csv,35730755,837130560,2026-05-30T13:51:06,Yes,QLA_Migration\Source\PACTG_Accounting_Extract20260530.csv,Yes,Yes,Maybe
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PACTL_ActivityLog_Extract_20260530.csv,PACTL_ActivityLog_Extract_20260530.csv,.csv,53508060,792672670,2026-05-30T13:54:00,No,,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PACWA_ActiveWarehouse_Extract_20260530.csv,PACWA_ActiveWarehouse_Extract_20260530.csv,.csv,5673,86768,2026-05-30T13:54:02,No,,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PADDR_Address_Extract_20260530.csv,PADDR_Address_Extract_20260530.csv,.csv,815049,8415840,2026-05-30T13:54:02,No,,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PADVC_AdvanceDetail_Extract_20260530.csv,PADVC_AdvanceDetail_Extract_20260530.csv,.csv,13037,176542,2026-05-30T13:54:02,No,,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PAGNT_AgentMaster_Extract_20260530.csv,PAGNT_AgentMaster_Extract_20260530.csv,.csv,341385,11889630,2026-05-30T13:54:06,Yes,QLA_Migration\Source\PAGNT_AgentMaster_Extract_20260530.csv,Yes,Yes,Maybe
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PAIVE_WaiverInformation_Extract_20260530.csv,PAIVE_WaiverInformation_Extract_20260530.csv,.csv,1224,9570,2026-05-30T13:54:06,No,,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PBATD_BatchCollectionsDetail_Extract_20260530.csv,PBATD_BatchCollectionsDetail_Extract_20260530.csv,.csv,16938,295000,2026-05-30T13:54:16,No,,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PBILL_BillingDetail_Extract_20260530.csv,PBILL_BillingDetail_Extract_20260530.csv,.csv,2245469,38162250,2026-05-30T13:54:18,No,,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PCHEK_CheckDetail_Extract_20260530.csv,PCHEK_CheckDetail_Extract_20260530.csv,.csv,3765785,60232350,2026-05-30T13:56:56,No,,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PCOMC_PolicyCommissionControl_Extract_20260530.csv,PCOMC_PolicyCommissionControl_Extract_20260530.csv,.csv,2828984,155203685,2026-05-30T13:57:02,No,,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PCOMCAGNTS_CommissionAgents_Extract_20260530.csv,PCOMCAGNTS_CommissionAgents_Extract_20260530.csv,.csv,150084,1725339,2026-05-30T13:57:02,No,,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PCOMP_ComponentSetup_Extract_20260530.csv,PCOMP_ComponentSetup_Extract_20260530.csv,.csv,22768,416064,2026-05-30T13:57:04,No,,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PCOMX_CommissionDetail_Extract_20260530.csv,PCOMX_CommissionDetail_Extract_20260530.csv,.csv,64652649,1939150280,2026-05-30T13:53:24,No,,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PCOVR_Coverage_Extract_20260530.csv,PCOVR_Coverage_Extract_20260530.csv,.csv,23086,496782,2026-05-30T13:57:04,Yes,QLA_Migration\Source\PCOVR_Coverage_Extract_20260530.csv,Yes,Yes,Maybe
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PCOVRSGT_CoverageSegment_Extract_20260530.csv,PCOVRSGT_CoverageSegment_Extract_20260530.csv,.csv,48536,568656,2026-05-30T13:57:04,Yes,(similar) QLA_Migration\Source\PCOVR_Coverage_Extract_20260530.csv,N/A,No,Yes
C:/Users/warren/Downloads/LifePRO_Extracts_20260530 (1).zip,PCTRY_CountryDefinition_Extract_20260530.csv,PCTRY_CountryDefinition_Extract_20260530.csv,.csv,278,963,2026-05-30T13:57:04,No,,N/A,No,Yes
