filename,uncompressed_size,row_count,column_count,columns,trailing_space_columns,error,distinct_TYPE_CODE,iswl_COVERAGE_ID_rows
PAAGERAT_AttainedAge_Rates_Extract_20260530.csv,3492918,24425,10,COVERAGE_ID|TYPE_CODE|SEX|BAND|UWCLS|RECORD_SEQ|SEQ|VALUE_INFO|VALUE_FLOAT|AAGE_KEY0,SEQ   |VALUE_INFO      |VALUE_FLOAT             |AAGE_KEY0                                   ,,PR:14958|PU:1755|CV:1435|BP:1336|NP:950|RV:820|U6:800|NC:690|DB:628|NF:508|U5:417|YP:117|RD:10|---------:1,3287
PCOVR_Coverage_Extract_20260530.csv,496782,142,93,COVERAGE_ID|STATUS_CODE|DESCRIPTION|COMPANY_CODE|VAL_CODE|POLICY_FORM_NUM|TAX_QUAL_RULES|MULT_INSUREDS_FLAG|PERS_OF_RESIDENCE|PREM_TAX_LOAD_FLAG|ALLCTD_COVRG_FLAG|EXHIBIT_PAR_NONPAR|EXHIBIT_CODE|NET_COMMISSIONS|POLICY_BASIS|SEX_BASIS|PRIMARY_PERSON|POLICY_FEE|AGE_BASIS|COVERAGE_TYPE_FLAG|INT_CR_RULE|MOD_CODER|MOD_DATE|MOD_TIME|NUM_OF_SEGMENTS|OWNER_ANNUIT_DEATH|BC_PRIOR_TO_PTD|OLAB_RULES_FLAG|PAY_UP_DT_EQ_ISS|AUTOREVR_URT_FLAG|ALLOW_EARLY_PAD_UP|TRANSACTION_LOG|ALL_PREM_DEP_INCOM|SKIPPED_PAYMENTS|SKIP_ADV_DAYS|ELDEST_OWNR_ANNTNT|PREM_RESTRICT_DUR|CREATE_ACTG_PRM_TX|EDIT_REG_REP_BD|MIN_ISSUE_AGE...,DESCRIPTION                             |VAL_CODE  |MOD_DATE   |MOD_TIME   |COVR_KEY0             |ROW_COLUMN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,,8
PCOVRSGT_CoverageSegment_Extract_20260530.csv,568656,7897,5,COVERAGE_ID|SEQ|SEGT_FLAG|SEGT_ID|COVR_KEY0,SEQ   |SEGT_ID   |COVR_KEY0                     ,,,448
PDAGE_AgeDuration_Rates_Extract_20260530.csv,203123700,250769,34,COVERAGE_ID|TYPE_CODE|AGE|SEX|BAND|UWCLS|DURATION|VALUE1|VALUE2|VALUE3|VALUE4|VALUE5|VALUE6|VALUE7|VALUE8|VALUE9|VALUE10|VALUE1_FLOAT|VALUE2_FLOAT|VALUE3_FLOAT|VALUE4_FLOAT|VALUE5_FLOAT|VALUE6_FLOAT|VALUE7_FLOAT|VALUE8_FLOAT|VALUE9_FLOAT|VALUE10_FLOAT|MOD_CODER|MOD_DATE|MOD_TIME|STORAGE_FORMAT|DAGE_UPD_COUNT|DAGE_KEY0|ROW_COLUMN,AGE   |VALUE1          |VALUE2          |VALUE3          |VALUE4          |VALUE5          |VALUE6          |VALUE7          |VALUE8          |VALUE9          |VALUE10         |VALUE1_FLOAT            |VALUE2_FLOAT            |VALUE3_FLOAT            |VALUE4_FLOAT            |VALUE5_FLOAT            |VALUE6_FLOAT            |VALUE7_FLOAT            |VALUE8_FLOAT            |VALUE9_FLOAT            |VALUE10_FLOAT           |MOD_DATE   |MOD_TIME   |DAGE_KEY0                                 |ROW_COLUMN                                                                                                                                                                                                                          ,,RV:55756|NP:54291|CV:39773|NN:34572|PN:32628|DV:12852|NF:10995|TP:3352|PR:3000|TX:2128|DB:1385|SL:24|UF:12|---------:1,41083
PDDIC_DataDictionary_Extract_20260530.csv,111659931,40150,19,FILE_NUMBER|FIELD_NUMBER|DDIC_FILE_ID|FILE_NAME|FILE_COMPRESSED|FILE_SIZE|FILE_PAGE_SIZE|FILE_NUMBER_KEYS|FILE_DESC_LINE_01|FILE_DESC_LINE_02|FILE_DESC_LINE_03|FILE_DESC_LINE_04|FILE_DESC_LINE_05|FILE_DESC_LINE_06|FILE_DESC_LINE_07|FILE_DESC_LINE_08|DDIC_UPD_COUNT|DDIC_KEY0|ROW_COLUMN,FILE_NAME                     |FILE_DESC_LINE_01                                                           |FILE_DESC_LINE_02                                                           |FILE_DESC_LINE_03                                                           |FILE_DESC_LINE_04                                                           |FILE_DESC_LINE_05                                                           |FILE_DESC_LINE_06                                                           |FILE_DESC_LINE_07                                                           |FILE_DESC_LINE_08                                                           |DDIC_KEY0         |ROW_COLUMN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,,
PDDICFLD_DataDictionaryField_Extract_20260530.csv,54679593,39882,35,FILE_NUMBER|FIELD_NUMBER|FIELD_NAME|FIELD_TYPE|NUMERIC_SIGNED|FIELD_LOCATION|FIELD_SIZE|FIELD_DECIMALS|FIELD_OCCURS|FUTURE_DIM_2|ARRAY_SIZE|GROUP_LEVEL|REDEFINES_FIELD|FIELD_DESC_LINE_01|FIELD_DESC_LINE_02|FIELD_DESC_LINE_03|FIELD_DESC_LINE_04|FIELD_DESC_LINE_05|FIELD_DESC_LINE_06|FIELD_DESC_LINE_07|FIELD_DESC_LINE_08|FIELD_DESC_LINE_09|FIELD_DESC_LINE_10|FIELD_DESC_LINE_11|VALUE_INFO|COMMENT_DATE|COMMENT_C|COMMENT_TEXT|VALUE_DATE|VALUE_COMMENT|VALUE_TEXT|SYN_FILE|SYN_FIELD|BLANK_COUNT|DDIC_KEY0,FIELD_NAME                    |FIELD_DESC_LINE_01                                                          |FIELD_DESC_LINE_02                                                          |FIELD_DESC_LINE_03                                                          |FIELD_DESC_LINE_04                                                          |FIELD_DESC_LINE_05                                                          |FIELD_DESC_LINE_06                                                          |FIELD_DESC_LINE_07                                                          |FIELD_DESC_LINE_08                                                          |FIELD_DESC_LINE_09                                                          |FIELD_DESC_LINE_10                                                          |FIELD_DESC_LINE_11                                                          |VALUE_INFO                                                                  |COMMENT_TEXT                                                        |VALUE_TEXT                                                           |SYN_FIELD                     |DDIC_KEY0         ,,,
PDDICKYS_DataDictionaryKeys_Extract_20260530.csv,215988,1316,12,FILE_NUMBER|FIELD_NUMBER|SEQ|FILE_KEY_NUM|FILE_KEY_POS|FILE_KEY_LEN|FILE_KEY_TYP|FILE_KEY_DUP|FILE_KEY_MOD|FILE_KEY_MAN|FILE_KEY_NUL|DDIC_KEY0,SEQ   |DDIC_KEY0                 ,,,
PFNDR_FundHistory_Extract_20260530.csv,6237062,2328,41,COMPANY_CODE|POLICY_NUMBER|BENEFIT_SEQ|ROW_NUMBER|VALUATION_DATE|RECORD_SEQ|CONTINUE_FLAG|FUND_BASIS|FUND_BALANCE|UNITS|LOAN_BALANCE|PRE_TEFRA_BASIS|PRE_TEFRA_INCOME|MATURITY_INTEREST|MATURITY_BALANCE|GROSS_DEPOSITS|GROSS_WITHDRAWALS|GROSS_LOANS|GROSS_DEPOS_LOADS|GROSS_EARNINGS|GROSS_DEDUCTIONS|GROSS_DEPOS_INC|GROSS_DEPOS_INCOME|GROSS_EXCESS_INT|GROSS_MVA|GROSS_M_E_CHARGES|END_OF_TERM_DATE|INTERMED_RATCHET|PRICE_NUMBER|LAST_UNIT_VALUE|UNIT_VALUE1|UNIT_VALUE2|UNIT_VALUE3|UNIT_VALUE4|UNIT_VALUE5|UNIT_VALUE6|SPECIAL_REC_FLAG|LAST_ENTRY|FNDR_UPD_COUNT|FNDR_KEY0...,FUND_BASIS    |FUND_BALANCE    |UNITS           |LOAN_BALANCE  |GROSS_LOANS  |GROSS_MVA  |UNIT_VALUE1     |UNIT_VALUE2     |UNIT_VALUE3     |UNIT_VALUE4     |UNIT_VALUE5     |UNIT_VALUE6     |FNDR_KEY0                                                       |ROW_COLUMN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,,
PFNDRDET_FundHistoryDET_Extract_20260530.csv,,SKIPPED_TOO_LARGE,,,,,,
PFNDS_FundSplitData_Extract_20260530.csv,,SKIPPED_TOO_LARGE,,,,,,
