TABLE,TREATY_CODE,MREINCO,MREINNAME,MTYPE,MTYPE_SOURCE,REINSURANCE_CODE,MCEDED_SOURCE,MCEDED_VALUE,CROSSWALK_CONFIDENCE,CROSSWALK_SOURCE,CROSSWALK_NOTES,SOURCE_ROW,SOURCE_POLICY,MPOLICY,MPOLICY_SOURCE,BENEFIT_SEQ,MPHASE,MPHASE_SOURCE,MTREATY,MRETAINED_SOURCE,MRETAINED_VALUE,MSTATUS_SOURCE,MPLAN_SOURCE
QUIKREIN,L14,L,Company L 14,CO,TYPE_CROSSWALK,C,PROD_PTRTY.CONSTANT_REIN_PCT,33.33,Manual Placeholder,User Provided,Phase 1 approved placeholder only. Not source-proven from LifePRO extracts. Final legal reinsurer name and MREINCO should be confirmed before production load.,,,,,,,,,,,,
QUIKREIN,L14CSI,L,Company L 14,CO,TYPE_CROSSWALK,C,PROD_PTRTY.CONSTANT_REIN_PCT,33.33,Manual Placeholder,User Provided,Phase 1 approved placeholder only. Shares L14 reinsurer placeholder. Final legal reinsurer name and MREINCO should be confirmed before production load.,,,,,,,,,,,,
QUIKREIN,L14CSO,L,Company L 14,CO,TYPE_CROSSWALK,C,PROD_PTRTY.CONSTANT_REIN_PCT,33.34,Manual Placeholder,User Provided,Phase 1 approved placeholder only. Shares L14 reinsurer placeholder. Final legal reinsurer name and MREINCO should be confirmed before production load.,,,,,,,,,,,,
QUIKREIN,L15,F,Company L 15,CO,TYPE_CROSSWALK,C,PROD_PTRTY.CONSTANT_REIN_PCT,33.33,Manual Placeholder,User Provided,Phase 1 approved placeholder only. Not source-proven from LifePRO extracts. Final legal reinsurer name and MREINCO should be confirmed before production load.,,,,,,,,,,,,
QUIKREIN,L15CSI,F,Company L 15,CO,TYPE_CROSSWALK,C,PROD_PTRTY.CONSTANT_REIN_PCT,33.33,Manual Placeholder,User Provided,Phase 1 approved placeholder only. Shares L15 reinsurer placeholder. Final legal reinsurer name and MREINCO should be confirmed before production load.,,,,,,,,,,,,
QUIKREIN,L15CSO,F,Company L 15,CO,TYPE_CROSSWALK,C,PROD_PTRTY.CONSTANT_REIN_PCT,33.34,Manual Placeholder,User Provided,Phase 1 approved placeholder only. Shares L15 reinsurer placeholder. Final legal reinsurer name and MREINCO should be confirmed before production load.,,,,,,,,,,,,
QUIKREIN,MUNICH50,M,Munich,CO,TYPE_CROSSWALK,C,BLANK,,Manual Placeholder,User Provided,Phase 1 approved placeholder only. Treaty code embeds MUNICH token but legal reinsurer name is not in LifePRO extract. Final legal reinsurer name and MREINCO should be confirmed before production load.,,,,,,,,,,,,
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1666.50,Manual Placeholder,User Provided,,2.0,9011206462,011206462C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1666.50,Manual Placeholder,User Provided,,3.0,9011206462,011206462C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1667.00,Manual Placeholder,User Provided,,4.0,9011206462,011206462C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3333.00,Manual Placeholder,User Provided,,5.0,9011206562,011206562C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3333.00,Manual Placeholder,User Provided,,6.0,9011206562,011206562C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,3334.00,Manual Placeholder,User Provided,,7.0,9011206562,011206562C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8332.50,Manual Placeholder,User Provided,,8.0,9011207210,011207210C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8332.50,Manual Placeholder,User Provided,,9.0,9011207210,011207210C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSI,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,8335.00,Manual Placeholder,User Provided,,10.0,9011207210,011207210C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14CSO,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
QUIKRMST,,L,Company L 14,,TYPE_CROSSWALK,,PREINTRT.AMOUNT_REINSURED,1666.50,Manual Placeholder,User Provided,,11.0,9011207222,011207222C,CROSSWALK_APPLIED,1,1,BENEFIT_SEQ_CANDIDATE,L14,PREIN.RETENTION_AMOUNT,0.00,QUIKRIDR.MPHSTAT,QUIKRIDR.MPLAN
