COMPANY_CODE,POLICY_NUMBER,BENEFIT_SEQ,GROUP_CENS_NAME_ID,EFFECTIVE_DATE,RECORD_SEQUENCE,SEQ,TREATY_CODE,TREATY_TYPE,TREATY_OVERRIDE,AMT_REIN_OVRD,AMOUNT_REINSURED,TREATY_ALLOC_PCT,GROSS_REIN_PREM,FLAT_EXTRA_PREM,NORMAL_EXP_ALLOW,SUBSTD_EXP_ALLOW,FLAT_X_EXP_ALLOW,LAST_PREM_PAY_DATE,RECOVERY_DATE,RECOVERY_AMOUNT,CONVB_UWCLS,CONVB_ISSUE_DATE,CONV_ISSUE_AGE,LOANS,SURRENDERS,DIVIDENDS,REIN_KEY0
03          ,9011206462   ,          1,                 0,      20031031,              1,     1,L14        ,A          ,N              ,N            ,         1666.50,         33.3300,            .00,            .00,             .00,             .00,             .00,          20030925,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303634363220203031303030303030303032303033313033313030303130303031
03          ,9011206462   ,          1,                 0,      20050630,              1,     1,L14        ,A          ,N              ,N            ,         1666.50,         33.3300,           8.78,            .00,            1.58,             .00,             .00,          20050625,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303634363220203031303030303030303032303035303633303030303130303031
03          ,9011206462   ,          1,                 0,      20050731,              1,     1,L14        ,A          ,N              ,N            ,         1666.50,         33.3300,           8.78,            .00,            1.58,             .00,             .00,          20050725,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303634363220203031303030303030303032303035303733313030303130303031
03          ,9011206462   ,          1,                 0,      20031031,              1,     2,L14CSI     ,A          ,N              ,N            ,         1666.50,         33.3300,            .00,            .00,             .00,             .00,             .00,          20030925,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303634363220203031303030303030303032303033313033313030303130303032
03          ,9011206462   ,          1,                 0,      20050630,              1,     2,L14CSI     ,A          ,N              ,N            ,         1666.50,         33.3300,           8.78,            .00,            1.58,             .00,             .00,          20050625,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303634363220203031303030303030303032303035303633303030303130303032
03          ,9011206462   ,          1,                 0,      20050731,              1,     2,L14CSI     ,A          ,N              ,N            ,         1666.50,         33.3300,           8.78,            .00,            1.58,             .00,             .00,          20050725,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303634363220203031303030303030303032303035303733313030303130303032
03          ,9011206462   ,          1,                 0,      20031031,              1,     3,L14CSO     ,A          ,N              ,N            ,         1667.00,         33.3400,            .00,            .00,             .00,             .00,             .00,          20030925,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303634363220203031303030303030303032303033313033313030303130303033
03          ,9011206462   ,          1,                 0,      20050630,              1,     3,L14CSO     ,A          ,N              ,N            ,         1667.00,         33.3400,           8.79,            .00,            1.58,             .00,             .00,          20050625,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303634363220203031303030303030303032303035303633303030303130303033
03          ,9011206462   ,          1,                 0,      20050731,              1,     3,L14CSO     ,A          ,N              ,N            ,         1667.00,         33.3400,           8.79,            .00,            1.58,             .00,             .00,          20050725,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303634363220203031303030303030303032303035303733313030303130303033
03          ,9011206562   ,          1,                 0,      20031031,              1,     1,L14        ,A          ,N              ,N            ,         3333.00,         33.3300,            .00,            .00,             .00,             .00,             .00,          20030901,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303635363220203031303030303030303032303033313033313030303130303031
03          ,9011206562   ,          1,                 0,      20050630,              1,     1,L14        ,A          ,N              ,N            ,         3333.00,         33.3300,          15.03,            .00,            2.71,             .00,             .00,          20050601,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303635363220203031303030303030303032303035303633303030303130303031
03          ,9011206562   ,          1,                 0,      20050731,              1,     1,L14        ,A          ,N              ,N            ,         3333.00,         33.3300,          15.03,            .00,            2.71,             .00,             .00,          20050701,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303635363220203031303030303030303032303035303733313030303130303031
03          ,9011206562   ,          1,                 0,      20031031,              1,     2,L14CSI     ,A          ,N              ,N            ,         3333.00,         33.3300,            .00,            .00,             .00,             .00,             .00,          20030901,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303635363220203031303030303030303032303033313033313030303130303032
03          ,9011206562   ,          1,                 0,      20050630,              1,     2,L14CSI     ,A          ,N              ,N            ,         3333.00,         33.3300,          15.03,            .00,            2.71,             .00,             .00,          20050601,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303635363220203031303030303030303032303035303633303030303130303032
03          ,9011206562   ,          1,                 0,      20050731,              1,     2,L14CSI     ,A          ,N              ,N            ,         3333.00,         33.3300,          15.03,            .00,            2.71,             .00,             .00,          20050701,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303635363220203031303030303030303032303035303733313030303130303032
03          ,9011206562   ,          1,                 0,      20031031,              1,     3,L14CSO     ,A          ,N              ,N            ,         3334.00,         33.3400,            .00,            .00,             .00,             .00,             .00,          20030901,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303635363220203031303030303030303032303033313033313030303130303033
03          ,9011206562   ,          1,                 0,      20050630,              1,     3,L14CSO     ,A          ,N              ,N            ,         3334.00,         33.3400,          15.04,            .00,            2.71,             .00,             .00,          20050601,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303635363220203031303030303030303032303035303633303030303130303033
03          ,9011206562   ,          1,                 0,      20050731,              1,     3,L14CSO     ,A          ,N              ,N            ,         3334.00,         33.3400,          15.04,            .00,            2.71,             .00,             .00,          20050701,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303635363220203031303030303030303032303035303733313030303130303033
03          ,9011207210   ,          1,                 0,      20031031,              1,     1,L14        ,A          ,N              ,N            ,         8332.50,         33.3300,            .00,            .00,             .00,             .00,             .00,          20030901,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303732313020203031303030303030303032303033313033313030303130303031
03          ,9011207210   ,          1,                 0,      20050630,              1,     1,L14        ,A          ,N              ,N            ,         8332.50,         33.3300,          26.83,            .00,            4.29,             .00,             .00,          20050601,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303732313020203031303030303030303032303035303633303030303130303031
03          ,9011207210   ,          1,                 0,      20050731,              1,     1,L14        ,A          ,N              ,N            ,         8332.50,         33.3300,          26.83,            .00,            4.29,             .00,             .00,          20050701,            0,            .00,0          ,               0,          8224,        .00,        .00,        .00,0x30333930313132303732313020203031303030303030303032303035303733313030303130303031
