PLAN,RATE_FAMILY,SEX,UWCLASS,BAND,AGE,DURATION,EXPECTED_FACTOR,ACTUAL_FACTOR,MATCH_STATUS,NOTES
2665ST,GROSS_PREMIUM,M,00,01,00,1,222.22,,,GROSS_PREMIUM representative
5L01MA,GROSS_PREMIUM,M,SM,01,15,1,1.39,,,GROSS_PREMIUM representative
130JEB,DIVIDEND,M,00,01,00,1,.00,,,DIVIDEND representative
130JEB,DIVIDEND,M,00,01,00,6,2.80,,,DIVIDEND representative
1659SR,DEATH_BENEFIT,M,SM,01,00,1,300.00,,,DEATH_BENEFIT representative
17CSI3,DEATH_BENEFIT,M,00,01,46,1,4.00,,,DEATH_BENEFIT representative
130JEB,CASH_VALUE,M,00,01,00,1,.00,,,CASH_VALUE representative
1658C1,CASH_VALUE,F,PR,01,00,6,11.00,,,CASH_VALUE representative
130JEB,TERMINAL_RESERVE,F,00,01,00,6,164.19,,,TERMINAL_RESERVE representative
1658C1,TERMINAL_RESERVE,F,PR,01,00,1,1.00,,,TERMINAL_RESERVE representative
130JEB,NET_PREMIUM,F,00,01,00,1,22.03,,,NET_PREMIUM representative
1658C1,NET_PREMIUM,F,PR,01,00,6,11.00,,,NET_PREMIUM representative
1L10OD,CASH_VALUE,M,ST,01,99,1,1000.00,,,AGE 100 capped to 99; genuine AGE-99 retained
2665ST,DEATH_BENEFIT,M,00,01,00,1,28134.0,,,Large DB factor (>9999.99) as 7-char text
2665ST,DEATH_BENEFIT,M,00,01,00,6,28134.0,,,Large DB factor (>9999.99) as 7-char text
A96DAR,CASH_VALUE,M,00,01,00,41,9723.28,,,Large CV factor (precision-reduced)
A96DAR,CASH_VALUE,M,00,01,00,46,12164.9,,,Large CV factor (precision-reduced)
