audit_timestamp,rollback_snapshot_id,reconstructed_claim_id,derivation_candidate_id,enhanced_settlement_group_id,balancing_difference_abs,applied_balancing_profile,balancing_notes,replay_authorization_status,recovery_rationale,lineage_source,production_dbf_flag,triage_category,governance_status,severity,remediability,cross_claim_linkage_present
2026-05-24T19:15:41Z,PHASE14C-SURRENDER-TRIAGE-20260524T191541Z,RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,QDC-RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,,831.92,SURRENDER_CLAIM,Optional components absent (not forced),NOT_AUTHORIZED,Business triage only; no automated balancing,phase13b_balancing_remediation|phase14c_surrender_triage,N,LARGE_OFFSET_RESIDUAL,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,N
2026-05-24T19:15:41Z,PHASE14C-SURRENDER-TRIAGE-20260524T191541Z,RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,QDC-RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,,851.9,SURRENDER_CLAIM,Optional components absent (not forced),NOT_AUTHORIZED,Business triage only; no automated balancing,phase13b_balancing_remediation|phase14c_surrender_triage,N,LARGE_OFFSET_RESIDUAL,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,N
2026-05-24T19:15:41Z,PHASE14C-SURRENDER-TRIAGE-20260524T191541Z,RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,QDC-RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,,3129.06,SURRENDER_CLAIM,Optional components absent (not forced),NOT_AUTHORIZED,Business triage only; no automated balancing,phase13b_balancing_remediation|phase14c_surrender_triage,N,LARGE_OFFSET_RESIDUAL,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,N
2026-05-24T19:15:41Z,PHASE14C-SURRENDER-TRIAGE-20260524T191541Z,RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,QDC-RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,,3104.07,SURRENDER_CLAIM,Optional components absent (not forced),NOT_AUTHORIZED,Business triage only; no automated balancing,phase13b_balancing_remediation|phase14c_surrender_triage,N,LARGE_OFFSET_RESIDUAL,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,N
2026-05-24T19:15:41Z,PHASE14C-SURRENDER-TRIAGE-20260524T191541Z,RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,QDC-RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,,3043.61,SURRENDER_CLAIM,Optional components absent (not forced),NOT_AUTHORIZED,Business triage only; no automated balancing,phase13b_balancing_remediation|phase14c_surrender_triage,N,LARGE_OFFSET_RESIDUAL,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,N
2026-05-24T19:15:41Z,PHASE14C-SURRENDER-TRIAGE-20260524T191541Z,RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,QDC-RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,,11120.23,SURRENDER_CLAIM,Optional components absent (not forced),NOT_AUTHORIZED,Business triage only; no automated balancing,phase13b_balancing_remediation|phase14c_surrender_triage,N,LARGE_OFFSET_RESIDUAL,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,N
2026-05-24T19:15:41Z,PHASE14C-SURRENDER-TRIAGE-20260524T191541Z,RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,QDC-RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,,4592.78,SURRENDER_CLAIM,Optional components absent (not forced),NOT_AUTHORIZED,Business triage only; no automated balancing,phase13b_balancing_remediation|phase14c_surrender_triage,N,LARGE_OFFSET_RESIDUAL,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,N
2026-05-24T19:15:41Z,PHASE14C-SURRENDER-TRIAGE-20260524T191541Z,RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,QDC-RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,,2451.34,SURRENDER_CLAIM,Optional components absent (not forced),NOT_AUTHORIZED,Business triage only; no automated balancing,phase13b_balancing_remediation|phase14c_surrender_triage,N,LARGE_OFFSET_RESIDUAL,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,N
2026-05-24T19:15:41Z,PHASE14C-SURRENDER-TRIAGE-20260524T191541Z,RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,QDC-RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,,15878.94,SURRENDER_CLAIM,Optional components absent (not forced),NOT_AUTHORIZED,Business triage only; no automated balancing,phase13b_balancing_remediation|phase14c_surrender_triage,N,LARGE_OFFSET_RESIDUAL,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,N
2026-05-24T19:15:41Z,PHASE14C-SURRENDER-TRIAGE-20260524T191541Z,RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,QDC-RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,,7437.83,SURRENDER_CLAIM,Optional components absent (not forced),NOT_AUTHORIZED,Business triage only; no automated balancing,phase13b_balancing_remediation|phase14c_surrender_triage,N,LARGE_OFFSET_RESIDUAL,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,N
2026-05-24T19:15:41Z,PHASE14C-SURRENDER-TRIAGE-20260524T191541Z,RC-9010381745-1-SURRENDER_CLAIM-C2-20200101,QDC-RC-9010381745-1-SURRENDER_CLAIM-C2-20200101,,4912.6,SURRENDER_CLAIM,Optional components absent (not forced),NOT_AUTHORIZED,Business triage only; no automated balancing,phase13b_balancing_remediation|phase14c_surrender_triage,N,LARGE_OFFSET_RESIDUAL,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,N
