qla_target_table,required_value,required_qla_field,candidate_lifepro_source,candidate_source_columns,source_type_code_or_key,grain_dimensions,confidence,missing_information,questions_for_business
QUIKUINT,Guaranteed interest rate,Guaranteed rate (schema TBD — not in repo),CSO_Mortiality_Crosswalk.csv,nfo_interest_source; nfo_interest_code,Plan key: lifepro_coverage_id / qla_plan_code,Plan-level; 4.50% all 8 ISWL plans; maps to quikplan.NFOINT=A,High for plan-level guaranteed rate,QUIKUINT physical schema not documented in repo; CSO maps to NFOINT not confirmed QUIKUINT field,Is ISWL QUIKUINT populated from plan-level 4.50% guarantee or from policy-level PPBEN FV_GUAR_RATE? Are these the same value for all policies on a plan?
QUIKUINT,Current credited interest rate,Current/credited rate (schema TBD),PPBEN_PolicyBenefit_Extract*.csv (not local),UV_CURR_COI_RATE; possibly FV_GUAR_RATE,Policy benefit row,Policy-level; time-varying possible,Low,Extract not in workspace; field semantics unverified,Does UV_CURR_COI_RATE represent dividend accumulation crediting or UL COI interest? Client Issue #21D treats CSO 4.50% as authoritative for display — is a separate credited rate needed in QUIKUINT?
QUIKUINT,Loan credited rate,Loan rate (schema TBD),PLOAN_LoanInformation_Extract*.csv; PCOVR / QuikPlSt MLOANINT,TBD,TBD,Policy or plan/state level,Low,No ISWL loan rate column identified in available extracts,Does ISWL use plan-level loan rates in QUIKUINT or state overrides via QuikPlSt.MLOANINT?
QUIKAEXP / Expenses,Monthly expense per policy,Expense amount (schema TBD),NOT FOUND,(none),(none),(none),N/A,No expense table or TYPE_CODE in LifePRO rate extracts,Where does LifePRO store ISWL expense charges? Plan-level table or policy field?
QUIKAEXP / Expenses,Percent of premium expense,Expense percent (schema TBD),NOT FOUND,(none),(none),(none),N/A,Same as above,Same as above
QUIKAEXP / Expenses,Monthly expense per $1000,Unit expense (schema TBD),NOT FOUND,(none),(none),(none),N/A,Same as above,Same as above
QUIKCOI,Cost of insurance amounts,COI factors (schema TBD),PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,VALUE_INFO; SEQ; SEX; BAND; UWCLS,TYPE_CODE=NC,Attained age (SEQ ~2-86) x SEX x BAND x UWCLS; coverage-specific,Medium,TYPE_CODE NC not confirmed as COI; QUIKCOI schema unknown; absent for 658 CEN SD and 659 SR/669 SR GD,Confirm NC = Net Cost / Cost of Insurance. Why no NC rows for 658 CEN SD and 659 SR GD / 669 SR GD?
QUIKGCOI,Guaranteed COI amounts,GCOI factors (schema TBD),PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,VALUE_INFO; SEQ; SEX; BAND; UWCLS,TYPE_CODE=U6,Attained age (SEQ 1-100) x SEX x BAND x UWCLS; 658 CEN I and 659 CEN II only,Medium,TYPE_CODE U6 not confirmed as guaranteed COI; U5 also present on 659 CEN II; QUIKGCOI schema unknown,Confirm U6 = guaranteed COI and U5 meaning. Is guaranteed COI separate from NC or derived?
QUIKISSC,Surrender charges,Surrender charge schedule (schema TBD),NOT FOUND,(none),(none),(none),N/A,No SC/SUR/ISSC TYPE_CODE in Rate_Table or PAAGERAT for ISWL,What LifePRO TYPE_CODE or table holds ISWL surrender charges? Embedded in CV/NP calculation only?
QUIKGPS,Gross premiums,Gross premium factors,Rate_Table_Extract_20260427.csv,VALUE; DURATION; AGE; SEX; BAND; UNDERWRITING_CLASS,TYPE_CODE=PR (not present for ISWL),Issue age x duration x segment (standard WL grid),Low for LifePRO PR,Zero PR rows for any ISWL coverage in Rate_Table,Where is authoritative ISWL gross premium — LifePRO PR elsewhere or only iswl-prem.csv?
QUIKGPS,Gross premiums,Gross premium factors (alternate),PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,VALUE_INFO; SEQ; SEX; BAND; UWCLS,TYPE_CODE=BP,Attained age x segment; partial plan coverage,Medium-Low,BP not mapped in WL rate loader (excluded family); semantics unconfirmed,Is BP = Base Premium / gross premium? Can BP replace missing PR for ISWL QUIKGPS?
QUIKGPS,Gross premiums,Gross premium matrix (alternate),PFSA Rates/iswl-prem.csv,Age columns x duration rows,Row prefix MSP B2 / FJV B2 / etc.,Duration (1-121) x issue age (-2..99) x 10 gender/UW/band segments,Low,PFSA lineage; EXCLUDE in reconciliation; no MPLAN mapping; format unlike QuikGps grid,Is iswl-prem.csv authoritative for all 8 ISWL MPLAN codes or a single product variant? How do row prefixes map to 1658C1-1679CS?
QUIKCVS,Cash values,Cash value factors,Rate_Table_Extract_20260427.csv,VALUE; AGE; DURATION; SEX; BAND; UNDERWRITING_CLASS,TYPE_CODE=CV,Issue age x duration (1-95) x SEX x BAND x UWCLS P/S; maps to QuikCvs via R3 pipeline,High,EFFDATE/ISSCNTRY/ISSUEST not in source — loader defaults required; 659 SR GD and 669 SR GD have CV but smaller grids,Confirm EFFDATE default for ISWL rate generation. Validate CV values against QLAdmin for pilot plan 1658C1.
