QLAdmin Target,Candidate Source,Repository Path,Why Selected,Evidence,Confidence Reasoning,Assumption?,Already Used?,Missing Information,Final Classification
ISWL identity (8 MPLAN codes),CSO_Mortiality_Crosswalk.csv,plan_analysis/source_data/rates/CSO_Mortiality_Crosswalk.csv,Eight rows with qla_plan_description Interest-Sensitive Whole Life,"658 CEN I->1658C1 ... 669 SR GD->1669SR (8 rows); Issue_21D_Interest_Rate_Population.csv has 2268 rows across same 8 MPLAN",PROVEN: 8 rows in business crosswalk + 2268 policies in Issue_21D inventory match exact MPLAN set,No,Yes — qla_core/cso_mortality_crosswalk.py ISWL_MPLAN_ALLOWLIST; app.py is_iswl_mplan(),None,PROVEN
ISWL identity (8 MPLAN codes),Issue_21D_Interest_Rate_Population.csv,Issue_Log_Items/Issue_21/Issue_21D/Issue_21D_Interest_Rate_Population.csv,Fleet count and MPLAN enumeration,"2268 data rows; unique MPLAN: 1658C1 1658CS 1659C2 1659CR 1659CS 1659SR 1669SR 1679CS",PROVEN: derived inventory from converted policy set,No,Referenced in Issue_21D planning; not LifePRO extract,None,PROVEN
ISWL identity (8 MPLAN codes),qla_core/cso_mortality_crosswalk.py,qla_core/cso_mortality_crosswalk.py,Code allowlist mirrors CSO file,"ISWL_MPLAN_ALLOWLIST frozenset lines 55-57",PROVEN: code matches CSV,No,Yes — app.py import and MDEPINT gate,None,PROVEN
QUIKCVS,Rate_Table TYPE_CODE=CV,plan_analysis/source_data/rates/Rate_Table_Extract_20260427.csv,CV mapped to QuikCvs in rate_dbf_schema TYPE_TO_TABLE and R3 reconciliation,"1128985 data rows; 251950 ISWL rows; iswl_pr_rows=0; CV per plan: 658 CEN I=18124 ... 669 SR GD=2340; sample 658 CEN I CV AGE=0 SEX=F UW=P DUR=1 VALUE=.0000000 DUR=2 VALUE=1.0000000",PROVEN for source presence and converter routing; NOT value-validated against QLAdmin DBF,No,Yes — qla_core/rate_factor_loader.py lines 92-99 CV in TYPE_TO_TABLE; R3 line 377 routes 658 CEN I->1658C1->QuikCvs,Populated QLAdmin target DBF for 1658C1 absent (R3 PLAN_NOT_IN_TARGET),PROVEN (source+code); value match UNKNOWN
QUIKGPS (LifePRO PR),Rate_Table TYPE_CODE=PR,plan_analysis/source_data/rates/Rate_Table_Extract_20260427.csv,PR is confirmed GP mapping in TYPE_TO_TABLE,"Global PR rows=10134; ISWL PR rows=0 (forensic script iswl_pr_rows=0)",PROVEN ABSENCE for ISWL in this file,No,Yes for other products — PR->QuikGps in rate_dbf_schema.py line 22,No ISWL gross premium in Rate_Table,UNKNOWN for ISWL GP via PR
QUIKGPS (PAAGERAT BP),PAAGERAT TYPE_CODE=BP,plan_analysis/source_data/rates/PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,Only non-PR premium-like TYPE on ISWL coverages,"ISWL BP rows=1164; 658 CEN I BP=294 SEQ 2-76 VALUE_INFO 1.7400000-1.7600000; 659 SR GD and 669 SR GD have zero PAAGERAT rows",INFERENCE ONLY: BP not in TYPE_TO_TABLE; R5 emit_summary shows BP excluded (1336 rows),Yes — assumed BP=base/gross premium,No — excluded as unmapped TYPE in rate_factor_loader.py line 96-98,LifePRO TYPE_CODE dictionary; QUIKGPS load path for attained-age GP,SUPPORTED (data exists) / mapping INFERRED
QUIKGPS (PFSA matrix),iswl-prem.csv,PFSA Rates/iswl-prem.csv,Only standalone ISWL-named premium artifact,"1951 data rows; 16 segments MSP B2 etc; ages -2..99; row MSP B2 1 duration age19=5.18 ... age40=10.76; plan_csv_mapping_DRAFT status=EXCLUDE user: skip",LOW: PFSA artifact explicitly excluded from reconciliation,Yes — assumed premium not cash value per column_legend note,No — only in PFSA reconciliation drafts and archive scripts,Mapping row prefixes to 8 MPLAN codes,INFERRED
QUIKCOI,PAAGERAT TYPE_CODE=NC,plan_analysis/source_data/rates/PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,NC present only on ISWL in attained-age extract alongside U6,"Global NC=690 all ISWL; 658 CEN I NC=294 SEQ 11 VALUE_INFO=1.4640000; absent 658 CEN SD 659 SR GD 669 SR GD",INFERENCE ONLY: NC not documented as COI; values look like per-thousand charges,Yes — TYPE_CODE NC = Cost of Insurance,No — NC in R5 excluded_type_codes; not in TYPE_TO_TABLE,LifePRO dictionary; QUIKCOI schema,SUPPORTED (data) / label INFERRED
QUIKGCOI,PAAGERAT TYPE_CODE=U6,plan_analysis/source_data/rates/PAAGERAT_AttainedAge_Rates_Extract_20260428.csv,Small decimal factors paired with NC on same plans,"Global U6=800; 658 CEN I U6=400 SEQ 1 VALUE_INFO=.1504100 SEQ 2 .0672800; only 658 CEN I and 659 CEN II",INFERENCE ONLY: U6 naming suggests UL rate class not proven GCOI,Yes — U6 = guaranteed COI,No — excluded unmapped type,Dictionary; QUIKGCOI schema; other 6 plans,SUPPORTED (data) / label INFERRED
QUIKUINT (guaranteed plan rate),CSO nfo_interest_source 4.50%,plan_analysis/source_data/rates/CSO_Mortiality_Crosswalk.csv,All 8 ISWL plans show 4.50% and NFOINT code A,"8 ISWL rows nfo_interest_source=4.50% nfo_interest_code=A",PROVEN for plan-level 4.50% in crosswalk,No,Yes — load_cso_mortality_crosswalk -> quikplan NFOINT in app.py,Not proven this populates QUIKUINT vs NFOINT only,PROVEN (rate value) / QUIKUINT target UNKNOWN
QUIKUINT (policy fields),PPBEN FV_GUAR_RATE,QLA_Migration/Source/PPBEN_PolicyBenefit_Extract_20260530.csv,Field exists on ISWL benefit rows,"4550 ISWL benefit rows; FV_GUAR_RATE 4.50 on 2159 rows .00 on 2391; UV_GUAR_COI_RATE all .00000 (4550); UV_CURR_COI_RATE all .00000 (4550); sample 659 CEN II pol 9010713704 seq3 FV_GUAR_RATE=4.50",PROVEN field populated for guaranteed 4.50 on subset of benefit rows; UV_* NOT populated,No,PPBEN converted by app but FV_GUAR_RATE not mapped to QUIKUINT in code search,Which benefit seq holds QUIKUINT authority; credited rate source,SUPPORTED for FV_GUAR_RATE; UV paths DISPROVEN in this extract
QUIKUINT (governance rule),Data_Goverence.txt,QLA_Migration/Data_Goverence.txt,UL plans require QUIKUINT record,"Line 157: IF THE PLAN CODE IS A UL ... THERE MUST BE A RECORD IN QUIKUINT",Documentation only — does not prove ISWL is UL or field mapping,Yes — ISWL treated as UL-like,Referenced not implemented,QUIKUINT schema,UNKNOWN
QUIKISSC,Surrender charge TYPE_CODE,plan_analysis/source_data/rates/*.csv,Negative search all standard rate extracts,"Rate_Table unique TYPE_CODE: CV DB DV NF NN NP PN PR RV SL TP TX UF — no SC SUR ISSC; PAAGERAT unique: BP CV DB NC NF NP PR PU RD RV U5 U6 YP — no SC SUR ISSC; grep ,SC, in rates/ zero matches; iswl term counts empty",PROVEN ABSENCE in both rate extracts for ISWL and globally,No,Never referenced in converter for ISWL,Alternate LifePRO table unknown,UNKNOWN
Expenses,Expense TYPE_CODE or PCOVR fields,plan_analysis/source_data/** + QLA_Migration/Source/PCOVR*,Negative search,"No EXP TYPE in rate files; PCOVR columns with EXP: EXPANSION_FLG only (not expense charge); QUIKAEXP in Data_Goverence line 155 for annuity A-plans only",PROVEN ABSENCE in searched extracts,No,Never referenced for ISWL,Expense table location,UNKNOWN
