lifepro_coverage_id,plan_before,plan_after,plan_crosswalk_authority,form_before,form_after,form_crosswalk_authority,descr_before,descr_after,descr_crosswalk_authority,planname_before,planname_after,friendly_name_crosswalk_authority,plan_changed,form_changed,descr_changed,planname_changed,passthrough_before,passthrough_after,uat_status
0822 620,920ADB,920ADB,920ADB,0822,0822 620,0822 620,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DB - 621 END85,ACCIDENTAL DB - 621 END85,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
0822 665,965ADB,965ADB,965ADB,0822,0822 665,0822 665,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DB - 665 STME95,ACCIDENTAL DB - 665 STME95,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
0822 960,960ADB,960ADB,960ADB,0822,0822 960,0822 960,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,"ACCIDENTAL DB - 960 LP85-M, 960 OL","ACCIDENTAL DB - 960 LP85-M, 960 OL",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
0822 960PO,9POADB,9POADB,9POADB,0822,0822 960PO,0822 960PO,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT - 960 PO,ACCIDENTAL DEATH BENEFIT - 960 PO,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
0823 665,9665WP,9665WP,9665WP,0823,0823 665,0823 665,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREM - 665 STME95,WAIVER OF PREM - 665 STME95,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
0823 896,9896WP,9896WP,9896WP,0823,0823 896,0823 896,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 665 STME95,WAIVER OF PREMIUM - 665 STME95,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
0823 96085,9085WP,9085WP,9085WP,0823,0823 96085,0823 96085,WAIVER OF PREMIUM - LPU AT 85/88,WAIVER OF PREMIUM - LPU AT 85/88,WAIVER OF PREMIUM - LPU AT 85/88,WAIVER OF PREMIUM - LPU AT 85/88,WAIVER OF PREMIUM - 960 LP85-M,WAIVER OF PREMIUM - 960 LP85-M,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
0823 960CH,0823 960CH,960CWP,960CWP,0823,0823 960CH,0823 960CH,WAIVER OF PREMIUM - CHILD,WAIVER OF PREMIUM - CHILD,WAIVER OF PREMIUM - CHILD,WAIVER OF PREMIUM - CHILD,WAIVER OF PREMIUM - CHILD,WAIVER OF PREMIUM - CHILD,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
0823 960LP,9065WP,9065WP,9065WP,0823,0823 960LP,0823 960LP,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 960 LP65,WAIVER OF PREMIUM - 960 LP65,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
0823 960OL,90OLWP,90OLWP,90OLWP,0823,0823 960OL,0823 960OL,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 960 OL,WAIVER OF PREMIUM - 960 OL,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
0823 960PO,90POWP,90POWP,90POWP,0823,0823 960PO,0823 960PO,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM,WAIVER OF PREMIUM - 960 PO,WAIVER OF PREMIUM - 960 PO,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
0823 960SP,960SWP,960SWP,960SWP,0823,0823 960SP,0823 960SP,WAIVER OF PREMIUM - SPOUSE,WAIVER OF PREMIUM - SPOUSE,WAIVER OF PREMIUM - SPOUSE,WAIVER OF PREMIUM - SPOUSE,"SPOUSE WAIV OF PREM - 960 LP85-M, 960 PO","SPOUSE WAIV OF PREM - 960 LP85-M, 960 PO",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
0824 P DIS,0824 P DIS,94PDIS,94PDIS,0824,0824 P DIS,0824 P DIS,& PAYOR DISABILITY RIDER,& PAYOR DISABILITY RIDER,& PAYOR DISABILITY RIDER,& PAYOR DISABILITY RIDER,& PAYOR DISABILITY RIDER,& PAYOR DISABILITY RIDER,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
0824 P DTH,90PDTH,90PDTH,90PDTH,0824,0824 P DTH,0824 P DTH,PAYOR DEATH,PAYOR DEATH,PAYOR DEATH,PAYOR DEATH,PAYOR DEATH - 960 OL,PAYOR DEATH - 960 OL,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
10827 CSI3,17CSI3,17CSI3,17CSI3,10827,10827 CSI3,10827 CSI3,CSI LIFE $3000,CSI LIFE $3000,CSI LIFE $3000,CSI LIFE $3000,GRADED DEATH BENEFIT WL - 100% AFTER YR2,GRADED DEATH BENEFIT WL - 100% AFTER YR2,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
10827 CSI5,17CSI5,17CSI5,17CSI5,10827,10827 CSI5,10827 CSI5,CSI LIFE $5000,CSI LIFE $5000,CSI LIFE $5000,CSI LIFE $5000,GRADED DEATH BENEFIT WL - 100% AFTER YR2,GRADED DEATH BENEFIT WL - 100% AFTER YR2,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
10827 CSI7,17CSI7,17CSI7,17CSI7,10827,10827 CSI7,10827 CSI7,CSI LIFE $7500,CSI LIFE $7500,CSI LIFE $7500,CSI LIFE $7500,GRADED DEATH BENEFIT WL - 100% AFTER YR2,GRADED DEATH BENEFIT WL - 100% AFTER YR2,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
10827 MN5K,10827 MN5K,1CSIMN,1CSIMN,10827,10827 MN5K,10827 MN5K,CSI LIFE MN $5000,CSI LIFE MN $5000,CSI LIFE MN $5000,CSI LIFE MN $5000,CSI LIFE MN $5000,CSI LIFE MN $5000,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
1576 658,976658,976658,976658,1576,1576 658,1576 658,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREM - 658 CEN I,DISABILITY WAIVER OF PREM - 658 CEN I,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
1576 659,976659,976659,976659,1576,1576 659,1576 659,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREM - 659 CEN II,DISABILITY WAIVER OF PREM - 659 CEN II,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
1577 ADB,977ADB,977ADB,977ADB,1577,1577 ADB,1577 ADB,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,"ACCIDENTAL DB - 658 CEN I, 659 CEN II","ACCIDENTAL DB - 658 CEN I, 659 CEN II",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
1578 CTR,578CTR,578CTR,578CTR,1578,1578 CTR,1578 CTR,DEPENDENT CHILD TERM RIDER,DEPENDENT CHILD TERM RIDER,DEPENDENT CHILD TERM RIDER,DEPENDENT CHILD TERM RIDER,DEPENDENT CTR - 658 CEN I,DEPENDENT CTR - 658 CEN I,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
1578 FTR,778FTR,778FTR,778FTR,1578,1578 FTR,1578 FTR,FAMILY TERM RIDER,FAMILY TERM RIDER,FAMILY TERM RIDER,FAMILY TERM RIDER,"FTR - 658 CEN I, 658 CEN SD, 659 CEN II","FTR - 658 CEN I, 658 CEN SD, 659 CEN II",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
1578 SPSPU,1578 SPSPU,578STR,578STR,1578,1578 SPSPU,1578 SPSPU,PAID UP SPOUSE TERM RIDER,PAID UP SPOUSE TERM RIDER,PAID UP SPOUSE TERM RIDER,PAID UP SPOUSE TERM RIDER,PAID UP SPOUSE TERM RIDER,PAID UP SPOUSE TERM RIDER,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
1578CTR WP,9CTRWP,9CTRWP,9CTRWP,NA,1578CTR WP,1578CTR WP,1578 CTR WAIVER OF PREMIUM,1578 CTR WAIVER OF PREMIUM,1578 CTR WAIVER OF PREMIUM,1578 CTR WAIVER OF PREMIUM,1578 CTR WAIVER OF PREMIUM,1578 CTR WAIVER OF PREMIUM,N,Y,N,N,N,N,AUTHORITY_ALIGNED
1578FTR WP,9FTRWP,9FTRWP,9FTRWP,NA,1578FTR WP,1578FTR WP,1578 FTR WAIVER OF PREMIUM,1578 FTR WAIVER OF PREMIUM,1578 FTR WAIVER OF PREMIUM,1578 FTR WAIVER OF PREMIUM,"FTR WAIV OF PREM - 658 CEN I, 659 CEN II","FTR WAIV OF PREM - 658 CEN I, 659 CEN II",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
1579 GPO,1579 GPO,9GPO79,9GPO79,1579,1579 GPO,1579 GPO,GUARANTEED PURCHASE OPTION RIDER,GUARANTEED PURCHASE OPTION RIDER,GUARANTEED PURCHASE OPTION RIDER,GUARANTEED PURCHASE OPTION RIDER,GUARANTEED PURCHASE OPTION RIDER,GUARANTEED PURCHASE OPTION RIDER,Y,Y,N,N,Y,N,AUTHORITY_ALIGNED
1580 JPO,980JPO,980JPO,980JPO,1580,1580 JPO,1580 JPO,JUVENILE FUTURE PURCHASE OPTION RIDER,JUVENILE FUTURE PURCHASE OPTION RIDER,JUVENILE FUTURE PURCHASE OPTION RIDER,JUVENILE FUTURE PURCHASE OPTION RIDER,"JUV FUT PURCH OP - 658 CEN I, 659 CEN II","JUV FUT PURCH OP - 658 CEN I, 659 CEN II",N,Y,N,Y,N,N,AUTHORITY_ALIGNED
1595,9595WP,9595WP,9595WP,1596,1595,1595,DISABILITY WAIVER OF PREMIUM,DISABILITY WAIVER OF PREMIUM,DISABILITY WAIVER OF PREMIUM,DISABILITY WAIVER OF PREMIUM,DISABILITY WAVIER OF PREM - 667 ART,DISABILITY WAVIER OF PREM - 667 ART,N,Y,N,Y,N,N,AUTHORITY_ALIGNED
1596,996ADB,996ADB,996ADB,1596,1596,1596,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DEATH BENEFIT RIDER,"ACCIDENTAL DB - L05 10Y LT, L07 5Y LT","ACCIDENTAL DB - L05 10Y LT, L07 5Y LT",N,N,N,Y,N,N,AUTHORITY_ALIGNED
