qladmin_manual_section,qladmin_table,qladmin_field,field_description,observed_lifepro_pattern,current_conversion_route,potential_target_domain,semantic_alignment_assessment,business_interpretation,recommended_governance_action,production_dbf_flag,manual_reference,observed_pseudo_claim_count,observed_affected_policy_count
7.150 QuikLoan - Policy Loans (p.827-828),QuikLoan,MLOANACCR,Accrued interest on policy loan,451<->412 loan interest capitalization (0412 LOAN_INTEREST_OFFSET),SURRENDER_CLAIM -> QUIKCLMS.MINTAMT,QuikLoan.MLOANACCR + Loan History (loan interest charged),MISALIGNED,"Annual loan interest accrual belongs in policy loan domain, not claim interest.",SEMANTIC_GOVERNANCE_HOLD — exclude from QUIKCLMS emit pending QuikLoan design,N,docs/claims_conversion_reference/QLAdmin_Help.pdf,3851,663
7.150 QuikLoan - Policy Loans (p.827-828),QuikLoan,MLOANBAL,Loan balance including capitalized interest,451<->412 pairs increasing loan balance,Not populated; misrouted as claim header only,QuikLoan.MLOANBAL,MISALIGNED,Capitalization increases loan balance per Loan Maintenance and Anniversary Processing.,Future QuikLoan conversion spike — not in scope Phase 22,N,docs/claims_conversion_reference/QLAdmin_Help.pdf,3851,663
7.150 QuikLoan - Policy Loans (p.827-828),QuikLoan,MLOANINT,Loan interest rate,Policy loan rate on Coverage Tab / Plan Information,QUIKCLMS.MINTRATE=0 on pseudo-claims,QuikLoan.MLOANINT,MISALIGNED,"Loan rate is policy-loan attribute, not claim MINTRATE.",Hold pseudo-claims; do not populate claim interest rate fields,N,docs/claims_conversion_reference/QLAdmin_Help.pdf,3851,663
7.150 QuikLoan - Policy Loans (p.827-828),QuikLoan,MLOANINTX,"Loan interest type (A=advance, R=arrears)",LifePRO loan interest timing,Not mapped,QuikLoan.MLOANINTX,NOT_IMPLEMENTED,Interest in advance vs arrears affects capitalization timing per manual p.130-132.,Document for future QuikLoan mapping,N,docs/claims_conversion_reference/QLAdmin_Help.pdf,3851,663
7.150 QuikLoan - Policy Loans (p.827-828),QuikLoan,MLOANIDT,Interest paid to date (manual: MLOANIDT; alias MLOANPDT in business spec),Loan anniversary interest capitalization dates (~Jul 24 annual),QUIKCLMS.RPTDATE only,QuikLoan.MLOANIDT,MISALIGNED,Report date on pseudo-surrender claim misrepresents loan paid-to semantics.,SEMANTIC_GOVERNANCE_HOLD,N,docs/claims_conversion_reference/QLAdmin_Help.pdf,3851,663
7.150 QuikLoan - Policy Loans (p.827-828),QuikLoan,MLOANDATE,Loan balance date,PACTG effective dates on 0412 transactions,Mapped to claim RPTDATE,QuikLoan.MLOANDATE + Loan History transaction date,MISALIGNED,"Loan transaction dates belong in Loan History, not claim report dates.",SEMANTIC_GOVERNANCE_HOLD,N,docs/claims_conversion_reference/QLAdmin_Help.pdf,3851,663
7.150 QuikLoan - Policy Loans (p.827-828),QuikLoan,MLOANPRIN,Loan principal,0411 loan principal offsets (absent in 0412-only pattern),QUIKCLMS.LOAN=0 on pseudo-claims,QuikLoan.MLOANPRIN,PARTIAL,"0412-only cycles adjust accrued/capitalized interest, not principal surrender.",Do not treat as surrender claim,N,docs/claims_conversion_reference/QLAdmin_Help.pdf,3851,663
7.150 QuikLoan - Policy Loans (p.827-828),QuikLoan,MLOANBILL,Billing loan payment amount,Loan interest billing notices,Not mapped,QuikBlll.MLOANBILL (p.722-723),NOT_IMPLEMENTED,"Billing loan interest is operational billing domain, not claims.",Exclude from claims pipeline,N,docs/claims_conversion_reference/QLAdmin_Help.pdf,3851,663
7.67 QuikClms - Death Claims (p.733-734),QUIKCLMS,CLAIMSTAT,Claim status: Pending-1; Paid in Full-2; Settled-3; Denied-4; Matured-98; Surrenders-99,0412-only INFERRED chains assigned 99,Phase10B SURRENDER_CLAIM claimstat_default=99,N/A — should not enter QUIKCLMS for loan-cap-only events,MISALIGNED,"Status 99 requires cash surrender/death claim processing via Policy Maintenance, not loan capitalization.",SEMANTIC_GOVERNANCE_HOLD — block emit,N,docs/claims_conversion_reference/QLAdmin_Help.pdf,3851,663
7.67 QuikClms - Death Claims (p.733-734),QUIKCLMS,MINTAMT,Amount of interest earned (claim benefit interest context),0412 loan interest capitalized amounts,mintamt <- interest_amount / loan_interest_offset,QuikLoan.MLOANACCR (not QUIKCLMS.MINTAMT),MISALIGNED,Manual defines MINTAMT as claim interest earned; loan capitalization is not claim interest.,SEMANTIC_GOVERNANCE_HOLD,N,docs/claims_conversion_reference/QLAdmin_Help.pdf,3851,663
"5.1.1.6 Claims Tab (p.44, p.48)",Claims Tab (UI),Status / Net Payment / Payee,Displays pending/finalized death claims and cash surrenders with settlement semantics,Repeated annual zero-payment surrender rows on active policies,QUIKCLMS without QUIKCLMP,Loan History + QuikLoan (not Claims Tab),MISALIGNED,Active policy with recurring surrendered claims violates Claims Tab business semantics.,SEMANTIC_GOVERNANCE_HOLD + business review workbench,N,docs/claims_conversion_reference/QLAdmin_Help.pdf,3851,663
5.1.2.7 Loan History (p.74-75),Loan History / QuikLoan,Transaction Type / Accrued Interest / Current Balance,Loan transactions include loan interest charged; tables affected: QuikLoan,451<->412 annual cycles,SURRENDER_CLAIM reconstruction,Loan History transaction type = loan interest charged,CORRECT_TARGET,QLAdmin manual explicitly places loan interest charged in Loan History/QuikLoan.,Future architecture: route 0412/451 to loan domain,N,docs/claims_conversion_reference/QLAdmin_Help.pdf,3851,663
