reconstructed_claim_id,derivation_candidate_id,policy_number,claim_family,lifecycle_status,claim_subtype,first_activity_date,transaction_codes,activity_class,mpaid,mface,netdb,mintamt,annual_recurrence_flag,reason_excluded,pattern_id,hold_category,governance_status,production_dbf_flag,exclude_from_uat_emit,exclude_from_uat_dbf,rulebook_lineage
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,9010331768,SURRENDER_CLAIM,INFERRED,LOAN_INTEREST_OFFSET,20180724,0412,LOAN_ACCOUNTING_ACTIVITY,0.0,0.0,0.0,602.44,Y,ACTIVE_POLICY_SURRENDER_CONTRADICTION|ANNUAL_LOAN_CAPITALIZATION_PATTERN|BORROWED_MONEY_ONLY_CHAIN|LOAN_INTEREST_CAPITALIZATION_PATTERN|NON_CLAIM_ACCOUNTING_ACTIVITY|NO_CLAIM_PAYOUT_SEMANTICS|QLADMIN_DOMAIN_MISMATCH_QUIKLOAN,NON_CLAIM_ACCOUNTING_ONLY,SEMANTIC_PSEUDO_CLAIM,SEMANTIC_GOVERNANCE_HOLD,N,Y,Y,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,9010331768,SURRENDER_CLAIM,INFERRED,LOAN_INTEREST_OFFSET,20190724,0412,LOAN_ACCOUNTING_ACTIVITY,0.0,0.0,0.0,629.65,Y,ACTIVE_POLICY_SURRENDER_CONTRADICTION|ANNUAL_LOAN_CAPITALIZATION_PATTERN|BORROWED_MONEY_ONLY_CHAIN|LOAN_INTEREST_CAPITALIZATION_PATTERN|NON_CLAIM_ACCOUNTING_ACTIVITY|NO_CLAIM_PAYOUT_SEMANTICS|QLADMIN_DOMAIN_MISMATCH_QUIKLOAN,NON_CLAIM_ACCOUNTING_ONLY,SEMANTIC_PSEUDO_CLAIM,SEMANTIC_GOVERNANCE_HOLD,N,Y,Y,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,9010331768,SURRENDER_CLAIM,INFERRED,LOAN_INTEREST_OFFSET,20200724,0412,LOAN_ACCOUNTING_ACTIVITY,0.0,0.0,0.0,634.15,Y,ACTIVE_POLICY_SURRENDER_CONTRADICTION|ANNUAL_LOAN_CAPITALIZATION_PATTERN|BORROWED_MONEY_ONLY_CHAIN|LOAN_INTEREST_CAPITALIZATION_PATTERN|NON_CLAIM_ACCOUNTING_ACTIVITY|NO_CLAIM_PAYOUT_SEMANTICS|QLADMIN_DOMAIN_MISMATCH_QUIKLOAN,NON_CLAIM_ACCOUNTING_ONLY,SEMANTIC_PSEUDO_CLAIM,SEMANTIC_GOVERNANCE_HOLD,N,Y,Y,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,9010331768,SURRENDER_CLAIM,INFERRED,LOAN_INTEREST_OFFSET,20210724,0412,LOAN_ACCOUNTING_ACTIVITY,0.0,0.0,0.0,610.51,Y,ACTIVE_POLICY_SURRENDER_CONTRADICTION|ANNUAL_LOAN_CAPITALIZATION_PATTERN|BORROWED_MONEY_ONLY_CHAIN|LOAN_INTEREST_CAPITALIZATION_PATTERN|NON_CLAIM_ACCOUNTING_ACTIVITY|NO_CLAIM_PAYOUT_SEMANTICS|QLADMIN_DOMAIN_MISMATCH_QUIKLOAN,NON_CLAIM_ACCOUNTING_ONLY,SEMANTIC_PSEUDO_CLAIM,SEMANTIC_GOVERNANCE_HOLD,N,Y,Y,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,9010331768,SURRENDER_CLAIM,INFERRED,LOAN_INTEREST_OFFSET,20220724,0412,LOAN_ACCOUNTING_ACTIVITY,0.0,0.0,0.0,635.4,Y,ACTIVE_POLICY_SURRENDER_CONTRADICTION|ANNUAL_LOAN_CAPITALIZATION_PATTERN|BORROWED_MONEY_ONLY_CHAIN|LOAN_INTEREST_CAPITALIZATION_PATTERN|NON_CLAIM_ACCOUNTING_ACTIVITY|NO_CLAIM_PAYOUT_SEMANTICS|QLADMIN_DOMAIN_MISMATCH_QUIKLOAN,NON_CLAIM_ACCOUNTING_ONLY,SEMANTIC_PSEUDO_CLAIM,SEMANTIC_GOVERNANCE_HOLD,N,Y,Y,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,QDC-RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,9010331768,SURRENDER_CLAIM,INFERRED,LOAN_INTEREST_OFFSET,20230721,0412,LOAN_ACCOUNTING_ACTIVITY,0.0,0.0,0.0,202.33,Y,ACTIVE_POLICY_SURRENDER_CONTRADICTION|ANNUAL_LOAN_CAPITALIZATION_PATTERN|BORROWED_MONEY_ONLY_CHAIN|LOAN_INTEREST_CAPITALIZATION_PATTERN|NON_CLAIM_ACCOUNTING_ACTIVITY|NO_CLAIM_PAYOUT_SEMANTICS|QLADMIN_DOMAIN_MISMATCH_QUIKLOAN,NON_CLAIM_ACCOUNTING_ONLY,SEMANTIC_PSEUDO_CLAIM,SEMANTIC_GOVERNANCE_HOLD,N,Y,Y,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,9010331768,SURRENDER_CLAIM,INFERRED,LOAN_INTEREST_OFFSET,20240724,0412,LOAN_ACCOUNTING_ACTIVITY,0.0,0.0,0.0,603.83,Y,ACTIVE_POLICY_SURRENDER_CONTRADICTION|ANNUAL_LOAN_CAPITALIZATION_PATTERN|BORROWED_MONEY_ONLY_CHAIN|LOAN_INTEREST_CAPITALIZATION_PATTERN|NON_CLAIM_ACCOUNTING_ACTIVITY|NO_CLAIM_PAYOUT_SEMANTICS|QLADMIN_DOMAIN_MISMATCH_QUIKLOAN,NON_CLAIM_ACCOUNTING_ONLY,SEMANTIC_PSEUDO_CLAIM,SEMANTIC_GOVERNANCE_HOLD,N,Y,Y,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,9010331768,SURRENDER_CLAIM,INFERRED,LOAN_INTEREST_OFFSET,20250724,0412,LOAN_ACCOUNTING_ACTIVITY,0.0,0.0,0.0,589.3,Y,ACTIVE_POLICY_SURRENDER_CONTRADICTION|ANNUAL_LOAN_CAPITALIZATION_PATTERN|BORROWED_MONEY_ONLY_CHAIN|LOAN_INTEREST_CAPITALIZATION_PATTERN|NON_CLAIM_ACCOUNTING_ACTIVITY|NO_CLAIM_PAYOUT_SEMANTICS|QLADMIN_DOMAIN_MISMATCH_QUIKLOAN,NON_CLAIM_ACCOUNTING_ONLY,SEMANTIC_PSEUDO_CLAIM,SEMANTIC_GOVERNANCE_HOLD,N,Y,Y,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,9010346921,SURRENDER_CLAIM,INFERRED,LOAN_INTEREST_OFFSET,20181118,0412,LOAN_ACCOUNTING_ACTIVITY,0.0,0.0,0.0,70.9,Y,ACTIVE_POLICY_SURRENDER_CONTRADICTION|ANNUAL_LOAN_CAPITALIZATION_PATTERN|BORROWED_MONEY_ONLY_CHAIN|LOAN_INTEREST_CAPITALIZATION_PATTERN|NON_CLAIM_ACCOUNTING_ACTIVITY|NO_CLAIM_PAYOUT_SEMANTICS|QLADMIN_DOMAIN_MISMATCH_QUIKLOAN,NON_CLAIM_ACCOUNTING_ONLY,SEMANTIC_PSEUDO_CLAIM,SEMANTIC_GOVERNANCE_HOLD,N,Y,Y,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,9010346921,SURRENDER_CLAIM,INFERRED,LOAN_INTEREST_OFFSET,20191118,0412,LOAN_ACCOUNTING_ACTIVITY,0.0,0.0,0.0,214.74,Y,ACTIVE_POLICY_SURRENDER_CONTRADICTION|ANNUAL_LOAN_CAPITALIZATION_PATTERN|BORROWED_MONEY_ONLY_CHAIN|LOAN_INTEREST_CAPITALIZATION_PATTERN|NON_CLAIM_ACCOUNTING_ACTIVITY|NO_CLAIM_PAYOUT_SEMANTICS|QLADMIN_DOMAIN_MISMATCH_QUIKLOAN,NON_CLAIM_ACCOUNTING_ONLY,SEMANTIC_PSEUDO_CLAIM,SEMANTIC_GOVERNANCE_HOLD,N,Y,Y,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP
