reconstructed_claim_id,derivation_candidate_id,policy_number,transaction_codes,current_misroute,recommended_qladmin_domain,recommended_quikloan_fields,mintamt_misinterpretation,mapping_status,conversion_phase,governance_status,production_dbf_flag,rulebook_lineage,qladmin_manual_reference,lifepro_manual_reference
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,9010331768,0412,QUIKCLMS (SURRENDER_CLAIM / CLAIMSTAT=99),QuikLoan + Loan History,MLOANACCR|MLOANBAL|MLOANINT,602.44,CANDIDATE_ONLY_NOT_CONVERTED,FUTURE_QUIKLOAN_WORKSTREAM,SEMANTIC_GOVERNANCE_HOLD,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,"docs/claims_conversion_reference/QLAdmin_Help.pdf p.74-75,827-828",LifePRO Accounting Transactions (4).pdf p.5 (04xx Borrowed Money)
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,9010331768,0412,QUIKCLMS (SURRENDER_CLAIM / CLAIMSTAT=99),QuikLoan + Loan History,MLOANACCR|MLOANBAL|MLOANINT,629.65,CANDIDATE_ONLY_NOT_CONVERTED,FUTURE_QUIKLOAN_WORKSTREAM,SEMANTIC_GOVERNANCE_HOLD,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,"docs/claims_conversion_reference/QLAdmin_Help.pdf p.74-75,827-828",LifePRO Accounting Transactions (4).pdf p.5 (04xx Borrowed Money)
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,9010331768,0412,QUIKCLMS (SURRENDER_CLAIM / CLAIMSTAT=99),QuikLoan + Loan History,MLOANACCR|MLOANBAL|MLOANINT,634.15,CANDIDATE_ONLY_NOT_CONVERTED,FUTURE_QUIKLOAN_WORKSTREAM,SEMANTIC_GOVERNANCE_HOLD,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,"docs/claims_conversion_reference/QLAdmin_Help.pdf p.74-75,827-828",LifePRO Accounting Transactions (4).pdf p.5 (04xx Borrowed Money)
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,9010331768,0412,QUIKCLMS (SURRENDER_CLAIM / CLAIMSTAT=99),QuikLoan + Loan History,MLOANACCR|MLOANBAL|MLOANINT,610.51,CANDIDATE_ONLY_NOT_CONVERTED,FUTURE_QUIKLOAN_WORKSTREAM,SEMANTIC_GOVERNANCE_HOLD,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,"docs/claims_conversion_reference/QLAdmin_Help.pdf p.74-75,827-828",LifePRO Accounting Transactions (4).pdf p.5 (04xx Borrowed Money)
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,9010331768,0412,QUIKCLMS (SURRENDER_CLAIM / CLAIMSTAT=99),QuikLoan + Loan History,MLOANACCR|MLOANBAL|MLOANINT,635.4,CANDIDATE_ONLY_NOT_CONVERTED,FUTURE_QUIKLOAN_WORKSTREAM,SEMANTIC_GOVERNANCE_HOLD,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,"docs/claims_conversion_reference/QLAdmin_Help.pdf p.74-75,827-828",LifePRO Accounting Transactions (4).pdf p.5 (04xx Borrowed Money)
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,QDC-RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,9010331768,0412,QUIKCLMS (SURRENDER_CLAIM / CLAIMSTAT=99),QuikLoan + Loan History,MLOANACCR|MLOANBAL|MLOANINT,202.33,CANDIDATE_ONLY_NOT_CONVERTED,FUTURE_QUIKLOAN_WORKSTREAM,SEMANTIC_GOVERNANCE_HOLD,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,"docs/claims_conversion_reference/QLAdmin_Help.pdf p.74-75,827-828",LifePRO Accounting Transactions (4).pdf p.5 (04xx Borrowed Money)
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,9010331768,0412,QUIKCLMS (SURRENDER_CLAIM / CLAIMSTAT=99),QuikLoan + Loan History,MLOANACCR|MLOANBAL|MLOANINT,603.83,CANDIDATE_ONLY_NOT_CONVERTED,FUTURE_QUIKLOAN_WORKSTREAM,SEMANTIC_GOVERNANCE_HOLD,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,"docs/claims_conversion_reference/QLAdmin_Help.pdf p.74-75,827-828",LifePRO Accounting Transactions (4).pdf p.5 (04xx Borrowed Money)
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,QDC-RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,9010331768,0412,QUIKCLMS (SURRENDER_CLAIM / CLAIMSTAT=99),QuikLoan + Loan History,MLOANACCR|MLOANBAL|MLOANINT,589.3,CANDIDATE_ONLY_NOT_CONVERTED,FUTURE_QUIKLOAN_WORKSTREAM,SEMANTIC_GOVERNANCE_HOLD,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,"docs/claims_conversion_reference/QLAdmin_Help.pdf p.74-75,827-828",LifePRO Accounting Transactions (4).pdf p.5 (04xx Borrowed Money)
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,9010346921,0412,QUIKCLMS (SURRENDER_CLAIM / CLAIMSTAT=99),QuikLoan + Loan History,MLOANACCR|MLOANBAL|MLOANINT,70.9,CANDIDATE_ONLY_NOT_CONVERTED,FUTURE_QUIKLOAN_WORKSTREAM,SEMANTIC_GOVERNANCE_HOLD,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,"docs/claims_conversion_reference/QLAdmin_Help.pdf p.74-75,827-828",LifePRO Accounting Transactions (4).pdf p.5 (04xx Borrowed Money)
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,QDC-RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,9010346921,0412,QUIKCLMS (SURRENDER_CLAIM / CLAIMSTAT=99),QuikLoan + Loan History,MLOANACCR|MLOANBAL|MLOANINT,214.74,CANDIDATE_ONLY_NOT_CONVERTED,FUTURE_QUIKLOAN_WORKSTREAM,SEMANTIC_GOVERNANCE_HOLD,N,PHASE22C_CLAIM_DOMAIN_ELIGIBILITY|LIFEPRO_ACCOUNTING_TXN|QLADMIN_HELP,"docs/claims_conversion_reference/QLAdmin_Help.pdf p.74-75,827-828",LifePRO Accounting Transactions (4).pdf p.5 (04xx Borrowed Money)
