PLAN,PAAGERAT_PR_ROWS,GAP_TYPE,NOTES
130JEB,15,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
1658CS,164,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
1666AI,86,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
1669SR,164,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
17CSI3,60,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
17CSI7,60,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
17MJPO,76,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
196065,112,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
1960OL,142,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
1960PO,142,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
1970JB,15,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
1991PL,61,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
1CSIMN,60,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
1L10PR,1033,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
1L10SO,3836,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
1L14SC,82,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
1L16GD,124,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
1SALMI,66,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
1SALOL,135,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
261PUA,112,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
280PUA,112,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
528CTR,19,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
542STR,38,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
543CTR,117,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
560STR,32,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
5646AT,201,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
5667AT,738,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
578CTR,117,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
578STR,41,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
57ATCR,75,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
5L0110,924,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
5L0510,804,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
5L075Y,1020,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
719CDT,23,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
7619DT,60,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
7619PU,60,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
7647FP,117,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
7687J3,320,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
7690DT,117,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
901ADB,51,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9065WP,82,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9085WP,82,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
90OLWP,82,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
90PDTH,11,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
910RWP,74,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
910SWP,117,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
920ADB,117,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
934JWP,52,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
934SWP,174,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
943CWP,117,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9595WP,84,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
960CWP,19,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
960GIO,38,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
960SWP,32,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
965ADB,36,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9665WP,72,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
967ADB,99,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
977ADB,46,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
980JPO,22,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
982JPO,19,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9CDTWP,117,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
9CTRWP,117,MISSING_FROM_EMITTED_QUikGps,Segment-resolved PR not in current R5 QuikGps emit
