SOURCE_SEGMENT_ID,PARENT_COVERAGE_ID,PLAN,RESOLUTION_PATH,PCOVR_DESCRIPTION,SEX,BAND,UWCLASS,ATTAINED_AGE_SEQ,QL_AGE,VALUE,LINENO
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,1,01,1.5,3
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,2,02,1.5,4
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,3,03,1.5,5
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,4,04,1.5,6
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,5,05,1.5,7
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,6,06,1.5,8
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,7,07,1.5,9
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,8,08,1.5,10
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,9,09,1.5,11
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,10,10,1.5,12
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,11,11,1.5,13
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,12,12,1.5,14
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,13,13,1.5,15
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,14,14,1.5,16
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,15,15,1.5,17
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,16,16,1.5,18
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,17,17,1.5,19
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,18,18,1.5,20
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,19,19,1.5,21
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,20,20,1.5,22
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,21,21,1.5,23
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,22,22,1.5,24
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,23,23,1.5,25
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,24,24,1.5,26
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,25,25,1.5,27
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,26,26,1.5,28
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,27,27,1.5,29
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,28,28,1.5,30
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,29,29,1.5,31
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,30,30,1.5,32
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,31,31,1.5,33
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,32,32,1.5,34
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,33,33,1.5,35
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,34,34,1.5,36
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,35,35,1.5,37
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,36,36,1.5,38
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,37,37,1.5,39
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,38,38,1.5,40
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,39,39,1.5,41
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,40,40,1.5,42
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,41,41,1.5,43
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,42,42,1.5,44
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,43,43,1.5,45
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,44,44,1.5,46
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,45,45,1.5,47
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,46,46,1.5,48
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,47,47,1.5,49
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,48,48,1.5,50
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,49,49,1.5,51
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,50,50,1.5,52
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,51,51,1.5,53
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,52,52,1.5,54
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,53,53,1.5,55
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,54,54,1.5,56
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,55,55,1.5,57
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,56,56,1.5,58
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,57,57,1.5,59
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,58,58,1.5,60
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,59,59,1.5,61
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,60,60,1.5,62
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,61,61,1.5,63
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,62,62,1.5,64
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,63,63,1.5,65
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,64,64,1.5,66
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,65,65,1.5,67
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,66,66,1.5,68
0822 620,0822 620,920ADB,SEGMENT,Accidental Death Benefit,M,01,00,67,67,1.5,69
