PLAN,ISSCNTRY,ISSUEST,EFFDATE,TERMDATE
130JEB,0000,00,19000101,
1658C1,0000,00,19000101,
1658CS,0000,00,19000101,
1659C2,0000,00,19000101,
1659CR,0000,00,19000101,
1659CS,0000,00,19000101,
1659SR,0000,00,19000101,
1666AI,0000,00,19000101,
1666WL,0000,00,19000101,
1668SP,0000,00,19000101,
1669SR,0000,00,19000101,
1679CS,0000,00,19000101,
170588,0000,00,19000101,
170858,0000,00,19000101,
17085M,0000,00,19000101,
17CSI3,0000,00,19000101,
17CSI5,0000,00,19000101,
17CSI7,0000,00,19000101,
17MJPO,0000,00,19000101,
196065,0000,00,19000101,
1960OL,0000,00,19000101,
1960PO,0000,00,19000101,
1970JB,0000,00,19000101,
1991PL,0000,00,19000101,
1CSIMN,0000,00,19000101,
1L1095,0000,00,19000101,
1L10OD,0000,00,19000101,
1L10PR,0000,00,19000101,
1L10SO,0000,00,19000101,
1L10SR,0000,00,19000101,
1L14SC,0000,00,19000101,
1L15GD,0000,00,19000101,
1L16GD,0000,00,19000101,
1SALMI,0000,00,19000101,
1SALML,0000,00,19000101,
1SALOL,0000,00,19000101,
221END,0000,00,19000101,
222END,0000,00,19000101,
261PUA,0000,00,19000101,
265PUA,0000,00,19000101,
2665ST,0000,00,19000101,
280END,0000,00,19000101,
280PUA,0000,00,19000101,
2961ME,0000,00,19000101,
528CTR,0000,00,19000101,
542STR,0000,00,19000101,
543CTR,0000,00,19000101,
560STR,0000,00,19000101,
5646AT,0000,00,19000101,
5667AT,0000,00,19000101,
578CTR,0000,00,19000101,
578STR,0000,00,19000101,
57ATCR,0000,00,19000101,
5CDT10,0000,00,19000101,
5L0110,0000,00,19000101,
5L01MA,0000,00,19000101,
5L0510,0000,00,19000101,
5L075Y,0000,00,19000101,
719CDT,0000,00,19000101,
719CTR,0000,00,19000101,
719SDT,0000,00,19000101,
7619DT,0000,00,19000101,
7619PU,0000,00,19000101,
7647FP,0000,00,19000101,
7686S3,0000,00,19000101,
7687J3,0000,00,19000101,
7690DT,0000,00,19000101,
778FTR,0000,00,19000101,
7SDT10,0000,00,19000101,
901ADB,0000,00,19000101,
9065WP,0000,00,19000101,
9085WP,0000,00,19000101,
90OLWP,0000,00,19000101,
90PDTH,0000,00,19000101,
910RWP,0000,00,19000101,
910SWP,0000,00,19000101,
920ADB,0000,00,19000101,
934JWP,0000,00,19000101,
934SWP,0000,00,19000101,
943CWP,0000,00,19000101,
9595WP,0000,00,19000101,
960CWP,0000,00,19000101,
960GIO,0000,00,19000101,
960SWP,0000,00,19000101,
965ADB,0000,00,19000101,
9665WP,0000,00,19000101,
967ADB,0000,00,19000101,
977ADB,0000,00,19000101,
980JPO,0000,00,19000101,
982JPO,0000,00,19000101,
9CDTWP,0000,00,19000101,
9CTRWP,0000,00,19000101,
9DIS20,0000,00,19000101,
9DIS24,0000,00,19000101,
9DIS25,0000,00,19000101,
9DIS29,0000,00,19000101,
9DIS70,0000,00,19000101,
9DIS80,0000,00,19000101,
9DIS90,0000,00,19000101,
9DS24B,0000,00,19000101,
9DS24C,0000,00,19000101,
9FTRWP,0000,00,19000101,
9GPO79,0000,00,19000101,
9JPO46,0000,00,19000101,
9L01WP,0000,00,19000101,
9L05WP,0000,00,19000101,
9L16PF,0000,00,19000101,
9OLDWP,0000,00,19000101,
9POADB,0000,00,19000101,
9SLADB,0000,00,19000101,
9STRWP,0000,00,19000101,
9WP646,0000,00,19000101,
9WPL10,0000,00,19000101,
A60MIR,0000,00,19000101,
A96DAR,0000,00,19000101,
