PLAN,BDCODE,BDDESCR,BDLOWVAL
130JEB,01,BAND 1,0.0
1658C1,01,BAND 1,0.0
1658CS,01,BAND 1,0.0
1659C2,01,BAND 1,0.0
1659CR,01,BAND 1,0.0
1659CS,01,BAND 1,0.0
1659SR,01,BAND 1,0.0
1666AI,01,BAND 1,0.0
1666WL,01,BAND 1,0.0
1668SP,01,BAND 1,0.0
1669SR,01,BAND 1,0.0
1679CS,01,BAND 1,0.0
170588,01,BAND 1,0.0
170858,01,BAND 1,0.0
17085M,01,BAND 1,0.0
17CSI3,01,BAND 1,0.0
17CSI5,01,BAND 1,0.0
17CSI7,01,BAND 1,0.0
17MJPO,01,BAND 1,0.0
17MJPO,02,BAND 2,0.0
196065,01,BAND 1,0.0
1960OL,01,BAND 1,0.0
1960PO,01,BAND 1,0.0
1970JB,01,BAND 1,0.0
1991PL,01,BAND 1,0.0
1CSIMN,01,BAND 1,0.0
1L1095,01,BAND 1,0.0
1L10OD,01,BAND 1,0.0
1L10PR,01,BAND 1,0.0
1L10PR,02,BAND 2,0.0
1L10PR,03,BAND 3,0.0
1L10SO,01,BAND 1,0.0
1L10SO,02,BAND 2,0.0
1L10SO,03,BAND 3,0.0
1L10SR,01,BAND 1,0.0
1L14SC,01,BAND 1,0.0
1L15GD,01,BAND 1,0.0
1L16GD,01,BAND 1,0.0
1SALMI,01,BAND 1,0.0
1SALML,01,BAND 1,0.0
1SALOL,01,BAND 1,0.0
221END,01,BAND 1,0.0
222END,01,BAND 1,0.0
261PUA,01,BAND 1,0.0
265PUA,01,BAND 1,0.0
2665ST,01,BAND 1,0.0
280END,01,BAND 1,0.0
280PUA,01,BAND 1,0.0
2961ME,01,BAND 1,0.0
528CTR,01,BAND 1,0.0
542STR,01,BAND 1,0.0
543CTR,01,BAND 1,0.0
560STR,01,BAND 1,0.0
5646AT,01,BAND 1,0.0
5646AT,02,BAND 2,0.0
5667AT,01,BAND 1,0.0
5667AT,02,BAND 2,0.0
5667AT,03,BAND 3,0.0
578CTR,01,BAND 1,0.0
578STR,01,BAND 1,0.0
57ATCR,01,BAND 1,0.0
5CDT10,01,BAND 1,0.0
5L0110,01,BAND 1,0.0
5L0110,02,BAND 2,0.0
5L0110,03,BAND 3,0.0
5L01MA,01,BAND 1,0.0
5L01MA,02,BAND 2,0.0
5L01MA,03,BAND 3,0.0
5L0510,01,BAND 1,0.0
5L0510,02,BAND 2,0.0
5L0510,03,BAND 3,0.0
5L075Y,01,BAND 1,0.0
5L075Y,02,BAND 2,0.0
5L075Y,03,BAND 3,0.0
719CDT,01,BAND 1,0.0
719CTR,01,BAND 1,0.0
719SDT,01,BAND 1,0.0
7619DT,01,BAND 1,0.0
7619PU,01,BAND 1,0.0
7647FP,01,BAND 1,0.0
7686S3,01,BAND 1,0.0
7687J3,01,BAND 1,0.0
7687J3,02,BAND 2,0.0
7690DT,01,BAND 1,0.0
778FTR,01,BAND 1,0.0
7SDT10,01,BAND 1,0.0
901ADB,01,BAND 1,0.0
9065WP,01,BAND 1,0.0
9085WP,01,BAND 1,0.0
90OLWP,01,BAND 1,0.0
90PDTH,01,BAND 1,0.0
910RWP,01,BAND 1,0.0
910SWP,01,BAND 1,0.0
920ADB,01,BAND 1,0.0
934JWP,01,BAND 1,0.0
934SWP,01,BAND 1,0.0
943CWP,01,BAND 1,0.0
9595WP,01,BAND 1,0.0
960CWP,01,BAND 1,0.0
960GIO,01,BAND 1,0.0
960SWP,01,BAND 1,0.0
965ADB,01,BAND 1,0.0
9665WP,01,BAND 1,0.0
967ADB,01,BAND 1,0.0
977ADB,01,BAND 1,0.0
980JPO,01,BAND 1,0.0
982JPO,01,BAND 1,0.0
9CDTWP,01,BAND 1,0.0
9CTRWP,01,BAND 1,0.0
9DIS20,01,BAND 1,0.0
9DIS24,01,BAND 1,0.0
9DIS25,01,BAND 1,0.0
9DIS29,01,BAND 1,0.0
9DIS70,01,BAND 1,0.0
9DIS80,01,BAND 1,0.0
9DIS90,01,BAND 1,0.0
9DS24B,01,BAND 1,0.0
9DS24C,01,BAND 1,0.0
9FTRWP,01,BAND 1,0.0
9GPO79,01,BAND 1,0.0
9JPO46,01,BAND 1,0.0
9L01WP,01,BAND 1,0.0
9L05WP,01,BAND 1,0.0
9L16PF,01,BAND 1,0.0
9OLDWP,01,BAND 1,0.0
9OLDWP,02,BAND 2,0.0
9POADB,01,BAND 1,0.0
9SLADB,01,BAND 1,0.0
9STRWP,01,BAND 1,0.0
9WP646,01,BAND 1,0.0
9WPL10,01,BAND 1,0.0
9WPL10,02,BAND 2,0.0
A60MIR,01,BAND 1,0.0
A96DAR,01,BAND 1,0.0
