PLAN,UWCODE,UWDESCR
130JEB,00,NOT APPLICABLE
1658C1,PR,PREFERRED
1658C1,SM,SMOKER
1658CS,PR,PREFERRED
1658CS,SM,SMOKER
1659C2,PR,PREFERRED
1659C2,SM,SMOKER
1659CR,SM,SMOKER
1659CS,SM,SMOKER
1659SR,SM,SMOKER
1666AI,00,NOT APPLICABLE
1666WL,00,NOT APPLICABLE
1668SP,SM,SMOKER
1669SR,SM,SMOKER
1679CS,PR,PREFERRED
1679CS,SM,SMOKER
170588,00,NOT APPLICABLE
170858,00,NOT APPLICABLE
17085M,00,NOT APPLICABLE
17CSI3,00,NOT APPLICABLE
17CSI5,00,NOT APPLICABLE
17CSI7,00,NOT APPLICABLE
17MJPO,SM,SMOKER
196065,00,NOT APPLICABLE
1960OL,00,NOT APPLICABLE
1960PO,00,NOT APPLICABLE
1970JB,00,NOT APPLICABLE
1991PL,00,NOT APPLICABLE
1CSIMN,00,NOT APPLICABLE
1L1095,PR,PREFERRED
1L1095,SM,SMOKER
1L1095,ST,STANDARD
1L10OD,PR,PREFERRED
1L10OD,SM,SMOKER
1L10OD,ST,STANDARD
1L10PR,PR,PREFERRED
1L10PR,SM,SMOKER
1L10PR,ST,STANDARD
1L10SO,PR,PREFERRED
1L10SO,SM,SMOKER
1L10SO,ST,STANDARD
1L10SR,PR,PREFERRED
1L10SR,SM,SMOKER
1L10SR,ST,STANDARD
1L14SC,NS,NON-SMOKER
1L15GD,SM,SMOKER
1L16GD,SM,SMOKER
1SALMI,00,NOT APPLICABLE
1SALML,00,NOT APPLICABLE
1SALOL,00,NOT APPLICABLE
221END,00,NOT APPLICABLE
222END,00,NOT APPLICABLE
261PUA,00,NOT APPLICABLE
265PUA,00,NOT APPLICABLE
2665ST,00,NOT APPLICABLE
280END,00,NOT APPLICABLE
280PUA,00,NOT APPLICABLE
2961ME,00,NOT APPLICABLE
528CTR,00,NOT APPLICABLE
542STR,PR,PREFERRED
542STR,SM,SMOKER
543CTR,PR,PREFERRED
543CTR,SM,SMOKER
560STR,00,NOT APPLICABLE
5646AT,00,NOT APPLICABLE
5646AT,SM,SMOKER
5667AT,PR,PREFERRED
5667AT,SM,SMOKER
578CTR,SM,SMOKER
578STR,SM,SMOKER
57ATCR,SM,SMOKER
5CDT10,PR,PREFERRED
5CDT10,SM,SMOKER
5CDT10,ST,STANDARD
5L0110,PR,PREFERRED
5L0110,SM,SMOKER
5L01MA,SM,SMOKER
5L0510,PR,PREFERRED
5L0510,SM,SMOKER
5L075Y,PR,PREFERRED
5L075Y,SM,SMOKER
719CDT,00,NOT APPLICABLE
719CTR,00,NOT APPLICABLE
719SDT,00,NOT APPLICABLE
7619DT,00,NOT APPLICABLE
7619PU,00,NOT APPLICABLE
7647FP,00,NOT APPLICABLE
7686S3,NS,NON-SMOKER
7686S3,SM,SMOKER
7687J3,NS,NON-SMOKER
7687J3,SM,SMOKER
7690DT,00,NOT APPLICABLE
778FTR,PR,PREFERRED
778FTR,SM,SMOKER
7SDT10,PR,PREFERRED
7SDT10,SM,SMOKER
7SDT10,ST,STANDARD
901ADB,SM,SMOKER
9065WP,00,NOT APPLICABLE
9085WP,00,NOT APPLICABLE
90OLWP,00,NOT APPLICABLE
90PDTH,00,NOT APPLICABLE
910RWP,ST,STANDARD
910SWP,PR,PREFERRED
920ADB,00,NOT APPLICABLE
934JWP,NS,NON-SMOKER
934JWP,SM,SMOKER
934SWP,NS,NON-SMOKER
934SWP,SM,SMOKER
943CWP,SM,SMOKER
9595WP,SM,SMOKER
960CWP,00,NOT APPLICABLE
960GIO,00,NOT APPLICABLE
960SWP,00,NOT APPLICABLE
965ADB,00,NOT APPLICABLE
9665WP,00,NOT APPLICABLE
967ADB,SM,SMOKER
977ADB,SM,SMOKER
980JPO,SM,SMOKER
982JPO,SM,SMOKER
9CDTWP,PR,PREFERRED
9CTRWP,SM,SMOKER
9DIS20,SM,SMOKER
9DIS24,SM,SMOKER
9DIS25,00,NOT APPLICABLE
9DIS29,NS,NON-SMOKER
9DIS70,SM,SMOKER
9DIS80,SM,SMOKER
9DIS90,SM,SMOKER
9DS24B,ST,STANDARD
9DS24C,PR,PREFERRED
9FTRWP,SM,SMOKER
9GPO79,SM,SMOKER
9JPO46,SM,SMOKER
9L01WP,PR,PREFERRED
9L01WP,SM,SMOKER
9L05WP,PR,PREFERRED
9L05WP,SM,SMOKER
9L16PF,SM,SMOKER
9OLDWP,PR,PREFERRED
9OLDWP,SM,SMOKER
9OLDWP,ST,STANDARD
9POADB,00,NOT APPLICABLE
9SLADB,00,NOT APPLICABLE
9STRWP,SM,SMOKER
9WP646,00,NOT APPLICABLE
9WPL10,PR,PREFERRED
9WPL10,SM,SMOKER
9WPL10,ST,STANDARD
A60MIR,00,NOT APPLICABLE
A96DAR,00,NOT APPLICABLE
