MPOLICY,MBENTYP,MDATE,MBEN
010331768C,11,20180724,216.05
010331768C,12,20180824,198.13
010331768C,12,20180824,205.25
010331768C,11,20180824,188.26
010331768C,11,20190724,216.10
010331768C,12,20190731,212.07
010331768C,12,20190731,205.25
010331768C,11,20190731,201.48
010331768C,11,20200724,216.11
010331768C,12,20200727,214.38
010331768C,12,20200727,205.31
010331768C,11,20200727,203.66
010331768C,11,20210724,216.11
010331768C,12,20210817,202.24
010331768C,12,20210817,205.31
010331768C,11,20210817,192.16
010331768C,11,20220724,216.15
010331768C,12,20220726,215.00
010331768C,12,20220726,205.35
010331768C,11,20220726,204.25
010331768C,12,20230721,1.73
010331768C,12,20230721,325.60
010331768C,11,20230721,1.59
010331768C,11,20230724,199.01
010331768C,11,20240724,209.49
010331768C,12,20240731,205.57
010331768C,12,20240731,325.60
010331768C,11,20240731,188.77
010331768C,11,20250724,202.49
010331768C,12,20250725,201.95
010331768C,12,20250725,325.60
010331768C,11,20250725,184.86
010346921C,11,20181118,70.90
010346921C,11,20191118,74.63
010346921C,12,20191202,71.85
010346921C,12,20191202,70.90
010346921C,11,20191202,68.26
010346921C,11,20201118,74.64
010346921C,12,20201123,73.64
010346921C,12,20201123,70.90
010346921C,11,20201123,69.96
010346921C,11,20211118,74.64
010346921C,11,20221118,78.57
010346921C,12,20221205,75.00
010346921C,12,20221205,74.64
010346921C,11,20221205,71.26
010346921C,12,20230221,55.59
010346921C,12,20230221,36.16
010346921C,11,20230221,54.19
010346921C,11,20231118,76.60
010346921C,12,20240111,65.54
010346921C,12,20240111,72.77
010346921C,11,20240111,62.29
010346921C,11,20241118,76.63
010346921C,12,20241218,70.48
010346921C,12,20241218,76.63
010346921C,11,20241218,66.79
010346921C,11,20251118,76.44
010346921C,12,20251230,67.84
010346921C,12,20251230,72.62
010346921C,11,20251230,64.47
010363098C,12,20180201,14.62
010363098C,12,20180201,68.40
010363098C,11,20180201,13.44
010363098C,12,20180227,10.57
010363098C,12,20180227,75.00
010363098C,11,20180227,9.57
010363098C,12,20180402,6.16
010363098C,12,20180402,75.00
010363098C,11,20180402,5.51
010363098C,12,20180504,2.62
010363098C,12,20180504,75.00
010363098C,11,20180504,2.32
010363098C,12,20180529,0.32
010363098C,12,20180529,100.00
010363098C,11,20180529,0.26
010363098C,11,20180602,24.75
010363098C,12,20180620,23.56
010363098C,12,20180620,23.51
010363098C,11,20180620,22.38
010363098C,12,20180628,21.88
010363098C,12,20180628,66.30
010363098C,11,20180628,18.65
010363098C,12,20180731,16.87
010363098C,12,20180731,74.03
010363098C,11,20180731,13.62
010363098C,12,20180815,12.97
010363098C,12,20180815,84.93
010363098C,11,20180815,9.42
010363098C,12,20180828,9.01
010363098C,12,20180828,75.00
010363098C,11,20180828,6.02
010363098C,12,20180920,5.53
010363098C,12,20180920,75.00
010363098C,11,20180920,2.79
010363098C,12,20180921,2.78
010363098C,12,20180921,76.52
010367438C,12,20180628,0.62
010367438C,12,20180628,73.46
010367438C,11,20180628,0.59
010367438C,11,20180701,73.46
010367438C,11,20190701,77.32
010367438C,11,20200701,81.39
010367438C,11,20210701,85.68
010367438C,12,20210720,81.33
010367438C,12,20210720,81.39
010367438C,11,20210720,77.27
010367438C,12,20211110,52.45
010367438C,12,20211110,1575.62
010376522C,11,20181006,335.51
010376522C,12,20181006,335.51
010376522C,10,20181006,95.60
010376522C,11,20181006,340.54
010376522C,11,20191006,358.46
