credit_code,debit_code,row_count,distinct_policy_count,total_amount,min_amount,max_amount,avg_amount,earliest_effective_date,latest_effective_date
110,46,158400,2195,5500496.62,-1.8,2788.0,34.7254,20171201,20260430
50,1111,68491,920,68409.34,0.01,34.23,0.9988,20180105,20260424
110,12,45666,1744,3654900.9,-2.99,8280.0,80.0355,20170101,20270101
12,49,26868,1432,2870091.06,4.0,8280.0,106.8219,20180102,20260424
50,1110,18404,435,30954.02,0.04,50.97,1.6819,20180105,20260331
451,412,14119,663,2857479.46,0.01,5170.15,202.3854,20171021,20280107
412,451,11031,598,1934718.77,0.01,3107.65,175.3892,20171102,20260424
12,44,7997,1233,970701.79,1.96,29657.91,121.3832,20040326,20270326
413,46,4043,92,202148.38,1.09,2000.0,49.9996,20180105,20260423
12,13,3945,855,2671647.75,12.96,32740.96,677.2238,20170928,20260424
13,561,3651,640,1238840.52,103.5,13650.0,339.3154,20170928,20260424
126,12,3623,639,1213625.5,-6.74,2794.0,334.9781,20170928,20260424
413,12,3558,378,452697.45,0.01,29657.91,127.2337,20171227,50500904
37,411,3549,284,568971.93,6.44,73371.4,160.3189,20171102,20260223
12,37,3431,208,128218.24,6.44,5500.0,37.3705,20171102,20260223
12,61,2763,185,176591.96,0.16,8137.18,63.9131,20180104,20260423
94,38,2115,1399,18639642.16,7.93,125000.0,8813.0696,20051003,20260402
112,517,2069,347,332641.18,7.13,498.25,160.7739,20180101,20260415
38,530,1696,1432,19589113.14,0.01,150000.0,11550.1846,20051003,20260402
38,110,1423,893,66248.1,0.1,1739.07,46.5552,20180101,20260402
710,12,1121,191,1968.48,0.01,548.0,1.756,20171225,20260422
13,560,1095,672,5692582.25,3.71,48624.0,5198.7053,20180101,20260421
310,641,783,63,48847.5,0.01,972.89,62.3851,20180106,20260410
92,13,679,673,4978223.4,1.9,71843.33,7331.6987,20180101,20260421
1111,50,631,358,462.41,0.01,33.86,0.7328,20180131,20260331
61,12,612,174,538599.64,2.0,32740.96,880.0648,20180105,20260421
38,630,552,521,51367.78,0.38,3176.92,93.0576,20051003,20260330
210,610,495,35,649.42,0.01,5.27,1.312,20170101,20270128
150,12,415,17,34418.7,2.0,340.85,82.9366,20170814,20260401
12,580,364,17,34418.7,30.59,340.85,94.5569,20170814,20260401
2,110,358,251,15449.06,0.28,1872.95,43.1538,20180123,20260416
90,12,357,287,685301.55,1.96,26569.4,1919.6122,20180105,20260209
13,110,285,205,8650.82,0.07,678.13,30.3538,20180105,20260413
13,564,262,165,1307455.76,22.39,39700.0,4990.2892,20171104,20260318
413,13,236,217,1345434.52,2.32,42637.61,5700.9937,20171104,20260421
21,110,235,70,8130.06,0.01,469.48,34.596,20171002,20251202
113,12,207,165,892355.0,17.12,32740.96,4310.8937,20171104,20260318
12,210,206,34,2714.78,0.82,155.85,13.1785,20170101,20260428
310,514,198,39,21286.32,6.98,398.6,107.5067,20180106,20260301
12,710,186,143,4396.24,0.01,3000.0,23.6357,20180101,20260327
12,46,151,36,5067.22,0.42,455.44,33.5577,20180109,20260407
96,515,136,23,19944.62,20.28,263.55,146.6516,20180110,20260401
564,20,134,75,694712.16,66.76,22153.96,5184.4191,20171021,20260318
150,580,130,2,4497.1,26.86,60.37,34.5931,20180102,20260403
1110,50,124,108,210.17,0.03,13.77,1.6949,20180131,20260331
13,562,120,70,257741.07,25.64,9033.21,2147.8423,20180101,20260413
91,37,116,88,440753.69,100.0,73371.4,3799.6008,20171231,20251219
413,38,112,107,634746.53,16.2,73541.13,5667.3797,20180107,20251222
13,1020,109,104,659821.02,75.44,91999.48,6053.4039,20180123,20251208
12,113,105,75,603754.03,52.27,32740.96,5750.0384,20171021,20260318
94,12,99,50,513615.78,100.44,39515.55,5188.0382,20191029,20251023
560,13,93,92,525576.2,38.96,37670.49,5651.357,20180119,20251208
12,38,89,70,596830.06,0.01,46125.62,6705.9557,20180414,20251201
20,61,87,69,503799.34,52.27,32740.96,5790.797,20180119,20260421
13,520,84,55,385087.63,0.01,15824.01,4584.3765,20180301,20260116
12,21,69,67,8723.46,9.92,651.6,126.427,20180109,20250610
20,94,61,48,464005.62,3.6,50000.0,7606.6495,20180612,20240125
530,20,61,55,511984.09,142.0,50000.0,8393.1818,20180326,20241011
110,20,55,32,2355.85,0.65,678.13,42.8336,20180326,20250111
12,110,46,9,1986.56,1.13,279.72,43.1861,20170814,20250806
20,12,36,32,180990.47,42.5,22184.93,5027.5131,20190809,20260210
12,62,34,4,993.61,16.53,171.51,29.2238,20180314,20240806
2,12,34,22,1891.39,5.84,349.6,55.6291,20180205,20260323
20,413,34,24,142475.31,547.55,23531.76,4190.4503,20171021,20260318
413,515,33,6,4516.67,26.21,196.81,136.8688,20180401,20260401
49,12,31,26,4257.95,8.99,591.04,137.3532,20191216,20260427
12,516,30,6,4696.03,90.95,204.42,156.5343,20180201,20260401
61,21,30,26,3790.22,6.87,527.2,126.3407,20180320,20240522
21,12,28,22,1620.39,30.29,144.95,57.8711,20170922,20230629
564,13,26,23,58802.67,0.43,13889.28,2261.6412,20180412,20251111
220,620,25,2,2590.38,56.05,183.09,103.6152,20180621,20251231
630,20,25,25,1560.73,1.56,496.56,62.4292,20180328,20231228
12,47,20,12,1037.88,10.08,163.79,51.894,20210317,20210317
12,630,20,14,822.35,1.13,120.08,41.1175,20181015,20240619
2,46,19,9,943.04,6.0,100.0,49.6337,20180104,20260211
210,12,19,17,1916.3,25.0,312.95,100.8579,20161207,20261128
38,12,19,18,16816.6,6.91,5380.4,885.0842,20180210,20250105
38,94,19,16,132112.92,143.56,38728.6,6953.3116,20180213,20210526
13,565,18,15,85640.29,33.81,24266.67,4757.7939,20180101,20241111
115,12,17,15,96789.16,1670.0,24266.67,5693.48,20180101,20241111
44,12,17,14,1715.37,10.8,414.46,100.9041,20181204,20250702
112,12,15,2,599.25,7.92,77.98,39.95,20180301,20251101
12,256,15,12,62882.55,1001.28,12509.99,4192.17,20220310,20260408
12,92,15,14,40777.64,8.22,9141.86,2718.5093,20180417,20260120
12,43,13,9,8.45,0.1,1.0,0.65,20211201,20221210
12,90,13,13,65852.44,3.0,14834.64,5065.5723,20190326,20240805
38,310,13,13,50964.33,266.65,9240.69,3920.3331,20180422,20241117
520,13,13,13,136488.6,494.15,91999.48,10499.1231,20181229,20250822
562,20,13,9,28789.62,924.75,4466.67,2214.5862,20171001,20250901
62,12,12,2,1603.56,117.84,257.67,133.63,20180129,20230221
13,310,11,10,39690.46,466.76,11935.58,3608.2236,20180302,20250916
96,12,11,2,642.25,30.95,84.42,58.3864,20180401,20260401
110,38,10,9,256.65,0.75,129.96,25.665,20180415,20250716
12,561,9,9,4117.01,176.67,1357.0,457.4456,20180320,20231212
20,564,9,6,22512.48,191.99,13889.28,2501.3867,20180523,20250601
21,126,9,6,2777.95,217.2,527.2,308.6611,20180205,20250718
38,210,9,9,1490.56,14.78,312.95,165.6178,20181101,20250105
13,12,8,8,27709.02,16.98,7329.17,3463.6275,20201115,20250503
256,530,8,6,69855.36,2109.23,20000.0,8731.92,20180625,20230427
520,20,8,6,28872.58,0.01,15000.0,3609.0725,20181106,20250103
1020,20,7,4,18826.9,654.82,12903.36,2689.5571,20200223,20250601
12,20,7,6,6610.03,0.01,6423.26,944.29,20190222,20231208
12,126,6,6,2559.66,142.1,717.25,426.61,20200422,20251215
20,110,6,4,914.91,13.69,678.13,152.485,20190710,20250122
560,20,6,3,19075.7,355.61,10123.71,3179.2833,20200101,20231216
630,12,6,6,1029.54,1.04,722.72,171.59,20200114,20240620
12,562,5,5,8690.31,31.2,2823.83,1738.062,20180823,20250108
13,515,5,5,355.34,7.53,199.7,71.068,20191110,20250901
530,256,5,4,39144.85,5000.0,14442.87,7828.97,20180531,20230427
12,115,4,3,18877.23,2032.89,6387.12,4719.3075,20171001,20201101
12,96,4,4,412.09,53.74,169.8,103.0225,20180626,20220124
2,413,4,4,131.0,6.0,50.0,32.75,20190204,20260202
