policy_number,beneficiary_sequence,beneficiary_count,beneficiary_codes_present,trust_present_flag,business_present_flag,percent_allocation_available_flag,duplicate_sequence_flag
9010143726,0,3,B1|B2,N,N,N,Y
9010148272,0,3,B1|B2,N,N,N,Y
9010148856,0,2,B1|B2,N,N,N,Y
9010149295,0,4,B1|B2,N,N,N,Y
9010149834,0,3,B1|B2,N,N,N,Y
9010150031,0,2,B1,N,Y,N,Y
9010150740,0,4,B1|B2,N,N,N,Y
9010150910,0,4,B1,N,N,N,Y
9010154425,0,1,B1,N,N,Y,N
9010157076,0,3,B1|B2,N,N,N,Y
9010158001,0,2,B1|B2,N,N,N,Y
9010161748,0,1,B1,N,N,Y,N
9010165095,0,3,B1|B2,N,N,N,Y
9010171334,0,2,B1|B2,N,N,N,Y
9010185592,0,1,B1,N,N,Y,N
9010235370,0,4,B1|B2,N,N,N,Y
9010264207,0,4,B1|B2,N,N,N,Y
9010300689,0,1,B1,N,N,Y,N
9010310404,0,2,B1|B2,N,N,N,Y
9010331157,0,5,B1,N,N,N,Y
9010331768,0,2,B1,N,N,N,Y
9010335038,0,2,B1|B2,N,N,N,Y
9010335095,0,3,B1|B2,N,N,N,Y
9010346921,0,2,B1|B2,N,N,N,Y
9010348734,0,2,B1|B2,N,N,N,Y
9010350577,0,2,B1|B2,N,N,N,Y
9010360289,0,1,B1,N,N,Y,N
9010360290,0,1,B1,N,N,Y,N
9010363098,0,1,B1,N,N,Y,N
9010367438,0,8,B1|B2,N,N,Y,Y
9010367704,0,2,B1|B2,N,N,N,Y
9010367705,0,2,B1|B2,N,N,N,Y
9010368703,0,4,B1|B2,N,N,Y,Y
9010371171,0,6,B1|B2,N,N,N,Y
9010371356,0,2,B1,N,Y,N,Y
9010373918,0,4,B1|B2,N,N,N,Y
9010374099,0,2,B1|B2,N,N,N,Y
9010374779,0,4,B1|B2,N,N,N,Y
9010374837,0,2,B1,N,N,N,Y
9010374838,0,2,B1,N,N,N,Y
9010376522,0,1,B1,N,N,Y,N
9010376529,0,4,B1,N,N,N,Y
9010376540,0,2,B1,N,Y,N,Y
9010377918,0,6,B1|B2,N,N,N,Y
9010378485,0,2,B1|B2,N,N,N,Y
9010378710,0,1,B1,N,Y,Y,N
9010378829,0,2,B1|B2,N,N,N,Y
9010378830,0,1,B1,N,N,Y,N
9010379405,0,1,B1,N,N,Y,N
9010379477,0,2,B1|B2,N,N,N,Y
9010379478,0,2,B1|B2,N,N,N,Y
9010380049,0,3,B1|B2,N,N,N,Y
9010380550,0,6,B1|B2,N,N,N,Y
9010380625,0,2,B1|B2,N,N,N,Y
9010380627,0,2,B1|B2,N,N,N,Y
9010380808,0,2,B1|B2,N,N,N,Y
9010381516,0,1,B1,N,N,Y,N
9010381745,0,4,B1|B2,N,N,N,Y
9010382426,0,2,B1,N,N,N,Y
9010382448,0,2,B1|B2,N,N,N,Y
9010382520,0,2,B1|B2,N,N,N,Y
9010382931,0,2,B1,N,N,N,Y
9010385491,0,8,B1|B2,N,Y,N,Y
9010385636,0,4,B1|B2,N,N,N,Y
9010388767,0,2,B1|B2,N,N,N,Y
9010389651,0,1,B1,N,N,Y,N
9010389802,0,2,B1,N,N,N,Y
9010390061,0,6,B1|B2,N,N,Y,Y
9010390251,0,4,B1|B2,N,N,N,Y
9010391004,0,4,B1|B2,N,N,N,Y
9010391228,0,2,B1|B2,N,N,N,Y
9010391355,0,4,B1|B2,N,Y,N,Y
9010391359,0,4,B1|B2,N,Y,N,Y
9010391411,0,8,B1|B2,N,N,Y,Y
9010391422,0,4,B1|B2,N,N,N,Y
9010391582,0,2,B1,N,N,N,Y
9010391679,0,1,B1,N,Y,Y,N
9010391840,0,4,B1|B2,N,N,N,Y
9010391841,0,2,B1|B2,N,N,N,Y
9010391876,0,4,B1,N,N,N,Y
9010391878,0,4,B1,N,N,N,Y
9010391895,0,2,B1,N,N,N,Y
9010392117,0,6,B1,N,N,N,Y
9010392138,0,6,B1|B2,N,N,N,Y
9010392493,0,2,B1,N,Y,Y,Y
9010392763,0,10,B1,N,N,N,Y
9010392930,0,4,B1|B2,N,N,N,Y
9010393142,0,6,B1,N,N,N,Y
9010393143,0,4,B1|B2,N,N,N,Y
9010393158,0,2,B1,N,N,N,Y
9010393181,0,8,B1|B2,N,N,Y,Y
9010393401,0,8,B1|B2,N,N,N,Y
9010393899,0,4,B1|B2,N,Y,N,Y
9010393931,0,4,B1|B2,N,N,N,Y
9010394249,0,4,B1|B2,N,Y,N,Y
9010394353,0,2,B1|B2,N,Y,N,Y
9010394662,0,2,B1|B2,N,N,N,Y
9010395098,0,4,B1|B2,N,N,N,Y
9010395211,0,4,B1|B2,N,N,N,Y
9010395382,0,4,B1|B2,N,Y,N,Y
9010395411,0,2,B1|B2,N,N,N,Y
9010395761,0,1,B1,N,Y,Y,N
9010395878,0,4,B1|B2,N,Y,N,Y
9010395879,0,16,B1|B2,N,N,N,Y
9010396147,0,4,B1,N,N,N,Y
9010396186,0,3,B1|B2,N,N,N,Y
9010396425,0,6,B1|B2,N,N,N,Y
9010397118,0,4,B1|B2,N,N,N,Y
9010397318,0,2,B1,N,Y,N,Y
9010397493,0,6,B1|B2,N,N,N,Y
9010397528,0,2,B1|B2,N,N,N,Y
9010397583,0,4,B1|B2,N,N,N,Y
9010397945,0,2,B1|B2,N,Y,N,Y
9010398274,0,10,B1,N,N,N,Y
9010398471,0,1,B1,N,N,Y,N
9010398475,0,2,B1|B2,N,Y,N,Y
9010398591,0,9,B1,N,N,N,Y
9010399927,0,3,B1|B2,N,N,N,Y
9010400462,0,2,B1|B2,N,N,N,Y
9010401087,0,3,B1|B2,N,N,N,Y
9010401181,0,2,B1|B2,N,N,N,Y
9010401210,0,4,B1|B2,N,Y,N,Y
9010401534,0,2,B1|B2,N,N,N,Y
9010401565,0,2,B1|B2,N,N,N,Y
9010402010,0,2,B1,N,N,N,Y
9010402014,0,4,B1|B2,N,Y,N,Y
9010402060,0,4,B1|B2,N,Y,N,Y
9010402061,0,4,B1|B2,N,Y,N,Y
9010402105,0,4,B1|B2,N,Y,N,Y
9010402899,0,2,B1|B2,N,N,N,Y
9010403109,0,1,B1,N,N,Y,N
9010403117,0,6,B1,N,N,N,Y
9010403222,0,2,B1|B2,N,Y,N,Y
9010403516,0,2,B1|B2,N,N,N,Y
9010403789,0,2,B1|B2,N,Y,N,Y
9010403872,0,2,B1|B2,N,N,N,Y
9010403916,0,1,B1,N,N,Y,N
9010403922,0,4,B1|B2,N,Y,N,Y
9010404600,0,4,B1|B2,N,Y,N,Y
9010404602,0,2,B1|B2,N,N,N,Y
9010404604,0,2,B1|B2,N,N,N,Y
9010404605,0,2,B1|B2,N,N,N,Y
9010404857,0,2,B1|B2,N,N,N,Y
9010405175,0,2,B1,N,N,N,Y
9010405440,0,2,B1|B2,N,N,N,Y
9010405642,0,2,B1|B2,N,Y,N,Y
9010405802,0,8,B1|B2,N,N,N,Y
9010405858,0,4,B1,N,N,N,Y
9010406576,0,2,B1|B2,N,N,N,Y
9010406795,0,1,B1,N,N,Y,N
9010406962,0,2,B1|B2,N,N,N,Y
9010407023,0,1,B1,N,Y,Y,N
9010407237,0,5,B1|B2,N,N,N,Y
9010407533,0,4,B1,N,N,N,Y
9010407534,0,2,B1|B2,N,Y,N,Y
9010407670,0,2,B1,N,N,N,Y
9010407925,0,2,B1|B2,N,Y,N,Y
9010408371,0,2,B1,N,N,N,Y
9010410566,0,6,B1|B2,N,N,N,Y
9010410616,0,10,B1|B2,N,N,Y,Y
9010410714,0,2,B1,N,Y,N,Y
9010411499,0,4,B1|B2,N,Y,N,Y
9010411577,0,6,B1|B2,N,N,N,Y
9010411727,0,2,B1,N,N,N,Y
9010411920,0,2,B1|B2,N,N,N,Y
9010412522,0,6,B1|B2,N,N,N,Y
9010412525,0,2,B1,N,N,N,Y
9010412526,0,1,B1,N,N,Y,N
9010412640,0,4,B1|B2,N,N,N,Y
9010412641,0,4,B1|B2,N,Y,N,Y
9010413417,0,4,B1|B2,N,Y,Y,Y
9010413421,0,4,B1|B2,N,Y,Y,Y
9010413628,0,4,B1|B2,N,Y,N,Y
9010413745,0,1,B1,N,N,Y,N
9010414235,0,4,B1|B2,N,Y,N,Y
9010415834,0,2,B1,N,N,N,Y
9010417200,0,1,B1,N,N,Y,N
9010417838,0,2,B1,N,N,N,Y
9010418088,0,4,B1|B2,N,N,N,Y
9010418562,0,2,B1,N,Y,N,Y
9010419054,0,2,B1,N,N,N,Y
9010420853,0,2,B1|B2,N,N,N,Y
9010420983,0,8,B1|B2,N,N,N,Y
9010422033,0,4,B1|B2,N,N,N,Y
9010422221,0,1,B1,N,Y,Y,N
9010422417,0,4,B1|B2,N,N,N,Y
9010422722,0,4,B1|B2,N,N,N,Y
9010422977,0,4,B1|B2,N,Y,N,Y
9010423540,0,2,B1,N,N,N,Y
9010424185,0,4,B1|B2,N,N,N,Y
9010424798,0,2,B1,N,N,N,Y
9010425718,0,3,B1|B2,N,N,N,Y
9010425720,0,1,B1,N,N,Y,N
9010425845,0,1,B1,N,N,Y,N
9010425928,0,2,B1,N,Y,Y,Y
9010425941,0,2,B1,N,N,N,Y
9010425942,0,2,B1,N,N,N,Y
9010425944,0,3,B1|B2,N,N,N,Y
9010426657,0,6,B1,N,N,N,Y
9010426747,0,2,B1,N,N,N,Y
9010426858,0,4,B1|B2,N,N,N,Y
9010426859,0,8,B1|B2,N,N,N,Y
9010426961,0,2,B1|B2,N,N,N,Y
9010427442,0,2,B1|B2,N,N,N,Y
9010427456,0,2,B1,N,N,N,Y
9010427457,0,10,B1|B2,N,N,N,Y
9010427723,0,8,B1|B2,N,N,N,Y
