policy_number,effective_date,credit_code,debit_code,trans_amount,description,reversal_reason_candidate,source_row_number
9010828370   ,      20180203,        126,        12,            -6.74,            ,NEGATIVE_TRANS_AMOUNT,105121
9011042316   ,      20171216,        110,        12,            -1.80,            ,NEGATIVE_TRANS_AMOUNT,170867
9011042316   ,      20171216,        110,        12,            -1.80,            ,SAME_DAY_OPPOSITE_SIGNS,170867
9011042316   ,      20171216,        110,        12,            18.00,            ,SAME_DAY_OPPOSITE_SIGNS,170869
9011042316   ,      20180116,        110,        12,            -1.80,            ,NEGATIVE_TRANS_AMOUNT,170870
9011042316   ,      20180116,        110,        12,            -1.80,            ,SAME_DAY_OPPOSITE_SIGNS,170870
9011042316   ,      20180116,        110,        12,            18.00,            ,SAME_DAY_OPPOSITE_SIGNS,170872
9011042316   ,      20180216,        110,        12,            -1.80,            ,NEGATIVE_TRANS_AMOUNT,170873
9011042316   ,      20180216,        110,        12,            -1.80,            ,SAME_DAY_OPPOSITE_SIGNS,170873
9011042316   ,      20180216,        110,        12,            18.00,            ,SAME_DAY_OPPOSITE_SIGNS,170875
9011042316   ,      20180316,        110,        12,            -1.80,            ,NEGATIVE_TRANS_AMOUNT,170876
9011042316   ,      20180316,        110,        12,            -1.80,            ,SAME_DAY_OPPOSITE_SIGNS,170876
9011042316   ,      20180316,        110,        12,            18.00,            ,SAME_DAY_OPPOSITE_SIGNS,170878
9011042316   ,      20180416,        110,        12,            -1.80,            ,NEGATIVE_TRANS_AMOUNT,170879
9011042316   ,      20180416,        110,        12,            -1.80,            ,SAME_DAY_OPPOSITE_SIGNS,170879
9011042316   ,      20180416,        110,        12,            18.00,            ,SAME_DAY_OPPOSITE_SIGNS,170881
9011042316   ,      20180516,        110,        12,            -1.80,            ,NEGATIVE_TRANS_AMOUNT,170882
9011042316   ,      20180516,        110,        12,            -1.80,            ,SAME_DAY_OPPOSITE_SIGNS,170882
9011042316   ,      20180516,        110,        12,            18.00,            ,SAME_DAY_OPPOSITE_SIGNS,170884
9011042316   ,      20180616,        110,        12,            -1.80,            ,NEGATIVE_TRANS_AMOUNT,170885
9011042316   ,      20180616,        110,        12,            -1.80,            ,SAME_DAY_OPPOSITE_SIGNS,170885
9011042316   ,      20180616,        110,        12,            18.00,            ,SAME_DAY_OPPOSITE_SIGNS,170887
9011042316   ,      20180716,        110,        12,            -1.80,            ,NEGATIVE_TRANS_AMOUNT,170888
9011042316   ,      20180716,        110,        12,            -1.80,            ,SAME_DAY_OPPOSITE_SIGNS,170888
