transaction_code,code_position,row_count,distinct_policy_count,total_amount,positive_amount_count,negative_amount_count,zero_amount_count,min_amount,max_amount,avg_amount,earliest_effective_date,latest_effective_date
110,CREDIT_CODE,204139,3738,9159140.82,203785,354,0,-2.99,8280.0,44.8672,20170101,20270101
46,DEBIT_CODE,162613,2200,5708655.26,162535,78,0,-1.8,2788.0,35.1058,20171201,20260430
50,CREDIT_CODE,86895,1125,99363.36,86895,0,0,0.01,50.97,1.1435,20180105,20260424
1111,DEBIT_CODE,68491,920,68409.34,68491,0,0,0.01,34.23,0.9988,20180105,20260424
12,DEBIT_CODE,55922,2579,8328353.56,55645,277,0,-6.74,39515.55,148.928,20161207,50500904
12,CREDIT_CODE,46445,2580,8363677.15,46445,0,0,0.01,46125.62,180.077,20040326,20270326
49,DEBIT_CODE,26871,1432,2870091.68,26871,0,0,0.02,8280.0,106.81,20180102,20260424
1110,DEBIT_CODE,18404,435,30954.02,18404,0,0,0.04,50.97,1.6819,20180105,20260331
451,CREDIT_CODE,14119,663,2857479.46,14119,0,0,0.01,5170.15,202.3854,20171021,20280107
412,DEBIT_CODE,14119,663,2857479.46,14119,0,0,0.01,5170.15,202.3854,20171021,20280107
451,DEBIT_CODE,11032,598,1934803.12,11032,0,0,0.01,3107.65,175.381,20171102,20260424
412,CREDIT_CODE,11031,598,1934718.77,11031,0,0,0.01,3107.65,175.3892,20171102,20260424
44,DEBIT_CODE,7998,1233,970726.79,7998,0,0,1.96,29657.91,121.3712,20040326,20270326
413,CREDIT_CODE,7985,582,2642593.55,7985,0,0,0.01,73541.13,330.9447,20171104,50500904
13,CREDIT_CODE,5654,1452,9727247.38,5654,0,0,0.01,91999.48,1720.4187,20170928,20260424
13,DEBIT_CODE,4994,1452,9727247.38,4994,0,0,0.43,91999.48,1947.7868,20170928,20260424
38,CREDIT_CODE,3735,1432,19931508.96,3735,0,0,0.01,150000.0,5336.4147,20051003,20260402
561,DEBIT_CODE,3662,640,1243591.73,3662,0,0,103.5,13650.0,339.5936,20170928,20260424
126,CREDIT_CODE,3625,639,1214259.7,3624,1,0,-6.74,2794.0,334.9682,20170928,20260424
37,CREDIT_CODE,3553,284,585471.93,3553,0,0,6.44,73371.4,164.7824,20171102,20260223
37,DEBIT_CODE,3549,284,571971.93,3549,0,0,6.44,73371.4,161.1643,20171102,20260223
411,DEBIT_CODE,3549,284,568971.93,3549,0,0,6.44,73371.4,160.3189,20171102,20260223
61,DEBIT_CODE,2853,251,685908.35,2853,0,0,0.16,32740.96,240.4165,20180104,20260423
110,DEBIT_CODE,2357,1340,101505.74,2357,0,0,0.01,1872.95,43.0657,20170814,20260416
38,DEBIT_CODE,2336,1432,19931497.31,2336,0,0,0.01,125000.0,8532.3191,20051003,20260402
94,CREDIT_CODE,2217,1430,19173713.82,2217,0,0,7.93,125000.0,8648.4952,20051003,20260402
112,CREDIT_CODE,2084,348,333240.43,2084,0,0,7.13,498.25,159.9042,20180101,20260415
517,DEBIT_CODE,2072,348,347132.43,2072,0,0,7.13,7329.17,167.535,20180101,20260415
530,DEBIT_CODE,1709,1432,19711918.77,1709,0,0,0.01,150000.0,11534.183,20051003,20260402
710,CREDIT_CODE,1129,197,2728.74,1129,0,0,0.01,548.0,2.417,20171225,20260422
560,DEBIT_CODE,1096,672,5693426.08,1096,0,0,3.71,48624.0,5194.7318,20180101,20260421
310,CREDIT_CODE,983,63,83569.79,983,0,0,0.01,10841.41,85.015,20180106,20260413
641,DEBIT_CODE,783,63,48847.5,783,0,0,0.01,972.89,62.3851,20180106,20260410
50,DEBIT_CODE,755,407,672.58,755,0,0,0.01,33.86,0.8908,20180131,20260331
92,CREDIT_CODE,679,673,4978223.4,679,0,0,1.9,71843.33,7331.6987,20180101,20260421
61,CREDIT_CODE,649,202,552818.57,649,0,0,0.16,32740.96,851.8006,20180105,20260421
1111,CREDIT_CODE,631,358,462.41,631,0,0,0.01,33.86,0.7328,20180131,20260331
630,DEBIT_CODE,575,528,52256.45,575,0,0,0.38,3176.92,90.8808,20051003,20260330
150,CREDIT_CODE,545,18,38915.8,545,0,0,2.0,340.85,71.4051,20170814,20260403
210,CREDIT_CODE,516,38,2640.72,516,0,0,0.01,312.95,5.1177,20161207,20270128
610,DEBIT_CODE,495,35,649.42,495,0,0,0.01,5.27,1.312,20170101,20270128
580,DEBIT_CODE,494,18,38915.8,494,0,0,26.86,340.85,78.7769,20170814,20260403
2,CREDIT_CODE,416,262,18464.03,416,0,0,0.28,1872.95,44.3847,20180104,20260416
90,CREDIT_CODE,357,287,685301.55,357,0,0,1.96,26569.4,1919.6122,20180105,20260209
20,DEBIT_CODE,331,146,1393543.01,331,0,0,0.01,50000.0,4210.0997,20171001,20260318
21,CREDIT_CODE,274,92,12635.6,274,0,0,0.01,527.2,46.1153,20170922,20251202
564,DEBIT_CODE,271,165,1329968.24,271,0,0,22.39,39700.0,4907.6319,20171104,20260318
20,CREDIT_CODE,250,146,1393543.01,250,0,0,1.56,50000.0,5574.172,20171021,20260421
210,DEBIT_CODE,225,36,4797.98,225,0,0,0.16,312.95,21.3244,20170101,20260428
113,CREDIT_CODE,207,165,892355.0,207,0,0,17.12,32740.96,4310.8937,20171104,20260318
514,DEBIT_CODE,198,39,21286.32,198,0,0,6.98,398.6,107.5067,20180106,20260301
710,DEBIT_CODE,195,149,5113.47,195,0,0,0.01,3000.0,26.2229,20180101,20260327
515,DEBIT_CODE,174,33,24816.63,174,0,0,7.53,263.55,142.6243,20180110,20260401
564,CREDIT_CODE,160,92,753514.83,160,0,0,0.43,22153.96,4709.4677,20171021,20260318
96,CREDIT_CODE,147,25,20586.87,147,0,0,20.28,263.55,140.0467,20180110,20260401
562,DEBIT_CODE,125,74,266431.38,125,0,0,25.64,9033.21,2131.451,20180101,20260413
1110,CREDIT_CODE,124,108,210.17,124,0,0,0.03,13.77,1.6949,20180131,20260331
91,CREDIT_CODE,116,88,440753.69,116,0,0,100.0,73371.4,3799.6008,20171231,20251219
1020,DEBIT_CODE,109,104,659821.02,109,0,0,75.44,91999.48,6053.4039,20180123,20251208
113,DEBIT_CODE,105,75,603754.03,105,0,0,52.27,32740.96,5750.0384,20171021,20260318
21,DEBIT_CODE,103,93,12917.06,103,0,0,0.1,651.6,125.4083,20180109,20250610
560,CREDIT_CODE,100,95,545495.73,100,0,0,38.96,37670.49,5454.9573,20180119,20251208
94,DEBIT_CODE,86,65,612413.85,86,0,0,3.6,50000.0,7121.0913,20180213,20250903
520,DEBIT_CODE,84,55,385087.63,84,0,0,0.01,15824.01,4584.3765,20180301,20260116
530,CREDIT_CODE,73,60,599560.54,73,0,0,0.01,50000.0,8213.1581,20180326,20241011
413,DEBIT_CODE,38,28,142606.31,38,0,0,6.0,23531.76,3752.7976,20171021,20260318
49,CREDIT_CODE,35,30,4324.26,35,0,0,0.09,591.04,123.5503,20191216,20260427
62,DEBIT_CODE,34,4,993.61,34,0,0,16.53,171.51,29.2238,20180314,20240806
630,CREDIT_CODE,33,32,2598.29,33,0,0,1.04,722.72,78.7361,20180328,20240620
516,DEBIT_CODE,30,6,4696.03,30,0,0,90.95,204.42,156.5343,20180201,20260401
310,DEBIT_CODE,27,24,93804.91,27,0,0,266.65,11935.58,3474.2559,20180302,20260410
220,CREDIT_CODE,26,2,11586.54,26,0,0,56.05,8996.16,445.6362,20180621,20251231
620,DEBIT_CODE,25,2,2590.38,25,0,0,56.05,183.09,103.6152,20180621,20251231
