MPOLICY,MPLAN,MANNLFEE,MSEMI,MQTRL,MMTHD,MMTHB,PROP_MSEMIFEE,PROP_MQTRLFEE,PROP_MMTHDFEE,PROP_MMTHBFEE,BEFORE_Q,AFTER_Q,DELTA_Q,BEFORE_MTHD,AFTER_MTHD,DELTA_MTHD,MMODEPREM,MPREM,MUNIT,MBILLFRM,MMODE
010235370C,280END,10.00,51.9979,26.4995,9.0015,8.7113,5.1998,2.6500,0.9002,0.8711,7.29,9.94,2.65,2.48,3.38,0.90,37.52,13.76000,2.00000,1,12
010264207C,280END,10.00,51.9979,26.4995,9.0015,8.7113,5.1998,2.6500,0.9002,0.8711,27.79,30.44,2.65,9.44,10.34,0.90,30.44,12.29000,8.53300,1,03
010300689C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,0.00,2.65,2.65,0.00,0.90,0.90,208.00,.00,14.51330,1,12
010310404C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,52.47,55.12,2.65,17.82,18.72,0.90,18.10,13.20000,15.00000,2,01
010331157C,196085,10.00,51.9988,26.5022,9.0030,8.6960,5.1999,2.6502,0.9003,0.8696,41.63,44.29,2.66,14.14,15.04,0.90,44.28,15.71000,10.00000,1,03
010331768C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,43.57,46.22,2.65,14.80,15.70,0.90,174.40,10.96000,15.00000,1,12
010335038C,196085,10.00,51.9988,26.5022,9.0030,8.6960,5.1999,2.6502,0.9003,0.8696,33.74,36.39,2.65,11.46,12.36,0.90,36.38,25.46000,5.00000,1,03
010335095C,2961ME,10.00,51.9988,26.5028,9.0021,8.6957,5.1999,2.6503,0.9002,0.8696,8.03,10.68,2.65,2.73,3.63,0.90,77.10,15.15000,2.00000,1,12
010346921C,280END,10.00,51.9979,26.4995,9.0015,8.7113,5.1998,2.6500,0.9002,0.8711,6.93,9.58,2.65,2.35,3.25,0.90,36.16,13.08000,2.00000,2,12
010348734C,196085,10.00,51.9988,26.5022,9.0030,8.6960,5.1999,2.6502,0.9003,0.8696,9.92,12.57,2.65,3.37,4.27,0.90,4.13,14.97000,2.50000,2,01
010350577C,1960PO,10.00,52.0000,26.5000,9.0000,8.7019,5.2000,2.6500,0.9000,0.8702,18.10,20.75,2.65,6.15,7.05,0.90,6.81,6.83000,10.00000,2,01
010360289C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,5.00,9.48000,5.22800,2,01
010360290C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.14,15.90,2.76,4.46,5.40,0.94,5.00,8.64000,5.73700,2,01
010363098C,196085,10.00,51.9988,26.5022,9.0030,8.6960,5.1999,2.6502,0.9003,0.8696,23.84,26.49,2.65,8.10,9.00,0.90,8.70,17.99000,5.00000,2,01
010367131C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,31.20,9.12000,5.43400,1,06
010367132C,170858,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,31.20,9.12000,5.43400,1,06
010367133C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,31.20,9.96000,4.97600,1,06
010367704C,17085M,10.44,52.0000,26.5000,9.0000,8.3333,5.4288,2.7666,0.9396,0.8700,13.13,15.90,2.77,4.46,5.40,0.94,5.00,10.80000,4.58800,2,01
