policy_number,mplan,plan_code,effective_date,trans_amount,policy_status,terminated_flag,has_560_same_or_policy,has_0090_same_or_policy,has_1020_same_or_policy,has_payout_pair_same_or_policy,deferred_hold,missing_date,missing_or_zero_amount,negative_amount
9010713707,1659C2,659 CEN II,20180419,128.5,,True,False,False,False,False,True,False,False,False
9010713707,1659C2,659 CEN II,20190419,128.5,,True,False,False,False,False,True,False,False,False
9010713707,1659C2,659 CEN II,20200419,128.5,,True,False,False,False,False,True,False,False,False
9010713707,1659C2,659 CEN II,20210419,128.5,,True,False,False,False,False,True,False,False,False
9010713707,1659C2,659 CEN II,20220419,128.5,,True,False,False,False,False,True,False,False,False
9010713707,1659C2,659 CEN II,20230419,128.5,,True,False,False,False,False,True,False,False,False
9010713707,1659C2,659 CEN II,20240419,128.5,,True,False,False,False,False,True,False,False,False
9010713707,1659C2,659 CEN II,20250419,128.5,,True,False,False,False,False,True,False,False,False
9010713707,1659C2,659 CEN II,20260419,128.5,,True,False,False,False,False,True,False,False,False
9010715467,1659C2,659 CEN II,20180514,1129.0,,True,False,False,False,False,True,False,False,False
9010715467,1659C2,659 CEN II,20190514,1129.0,,True,False,False,False,False,True,False,False,False
9010715467,1659C2,659 CEN II,20200514,1129.0,,True,False,False,False,False,True,False,False,False
9010715467,1659C2,659 CEN II,20210514,1129.0,,True,False,False,False,False,True,False,False,False
9010715467,1659C2,659 CEN II,20220514,1129.0,,True,False,False,False,False,True,False,False,False
9010715467,1659C2,659 CEN II,20230514,1129.0,,True,False,False,False,False,True,False,False,False
9010715467,1659C2,659 CEN II,20240514,1129.0,,True,False,False,False,False,True,False,False,False
9010715467,1659C2,659 CEN II,20250514,1129.0,,True,False,False,False,False,True,False,False,False
9010715467,1659C2,659 CEN II,20260514,1129.0,,True,False,False,False,False,True,False,False,False
9010716973,1659C2,659 CEN II,20180510,263.0,,True,False,False,False,False,True,False,False,False
9010716973,1659C2,659 CEN II,20190510,263.0,,True,False,False,False,False,True,False,False,False
9010716973,1659C2,659 CEN II,20200510,263.0,,True,False,False,False,False,True,False,False,False
9010716973,1659C2,659 CEN II,20210510,263.0,,True,False,False,False,False,True,False,False,False
9010716973,1659C2,659 CEN II,20220510,263.0,,True,False,False,False,False,True,False,False,False
9010716973,1659C2,659 CEN II,20230510,263.0,,True,False,False,False,False,True,False,False,False
9010716973,1659C2,659 CEN II,20240510,263.0,,True,False,False,False,False,True,False,False,False
9010716973,1659C2,659 CEN II,20250510,263.0,,True,False,False,False,False,True,False,False,False
9010716973,1659C2,659 CEN II,20260510,263.0,,True,False,False,False,False,True,False,False,False
9010716974,1659C2,659 CEN II,20180510,246.75,,True,False,False,False,False,True,False,False,False
9010716974,1659C2,659 CEN II,20190510,246.75,,True,False,False,False,False,True,False,False,False
9010716974,1659C2,659 CEN II,20200510,246.75,,True,False,False,False,False,True,False,False,False
9010717034,1659C2,659 CEN II,20180511,320.2,,True,False,False,False,False,True,False,False,False
9010717034,1659C2,659 CEN II,20190511,320.2,,True,False,False,False,False,True,False,False,False
9010717034,1659C2,659 CEN II,20200511,320.2,,True,False,False,False,False,True,False,False,False
9010717034,1659C2,659 CEN II,20210511,320.2,,True,False,False,False,False,True,False,False,False
9010717034,1659C2,659 CEN II,20220511,320.2,,True,False,False,False,False,True,False,False,False
9010717034,1659C2,659 CEN II,20230511,320.2,,True,False,False,False,False,True,False,False,False
9010717034,1659C2,659 CEN II,20240511,320.2,,True,False,False,False,False,True,False,False,False
9010717034,1659C2,659 CEN II,20250511,320.2,,True,False,False,False,False,True,False,False,False
9010717034,1659C2,659 CEN II,20260511,320.2,,True,False,False,False,False,True,False,False,False
9010717447,1659C2,659 CEN II,20230523,1242.0,,True,False,False,False,False,True,False,False,False
9010717447,1659C2,659 CEN II,20240523,1242.0,,True,False,False,False,False,True,False,False,False
9010717447,1659C2,659 CEN II,20250523,1242.0,,True,False,False,False,False,True,False,False,False
9010717447,1659C2,659 CEN II,20260523,1242.0,,True,False,False,False,False,True,False,False,False
9010718276,1659C2,659 CEN II,20180622,1634.0,,True,False,False,False,False,True,False,False,False
9010718276,1659C2,659 CEN II,20190622,1634.0,,True,False,False,False,False,True,False,False,False
9010718276,1659C2,659 CEN II,20200622,1634.0,,True,False,False,False,False,True,False,False,False
9010718276,1659C2,659 CEN II,20210622,1634.0,,True,False,False,False,False,True,False,False,False
9010718276,1659C2,659 CEN II,20220622,1634.0,,True,False,False,False,False,True,False,False,False
9010718276,1659C2,659 CEN II,20230622,1634.0,,True,False,False,False,False,True,False,False,False
9010718276,1659C2,659 CEN II,20240622,1634.0,,True,False,False,False,False,True,False,False,False
9010718276,1659C2,659 CEN II,20250622,1634.0,,True,False,False,False,False,True,False,False,False
9010718277,1659C2,659 CEN II,20180604,585.5,,True,False,False,False,False,True,False,False,False
9010718277,1659C2,659 CEN II,20190604,585.5,,True,False,False,False,False,True,False,False,False
9010718277,1659C2,659 CEN II,20200604,585.5,,True,False,False,False,False,True,False,False,False
