MPOLICY,MBENTYP,MDATE,MBEN
9010143726C,1,20171231,759.59
9010148272C,3,20171231,298.82
9010148856C,3,20171231,309.01
9010149834C,3,20171231,320.06
9010150740C,3,20171231,480.03
9010150910C,4,20171231,314.47
9010154425C,3,20171231,342.61
9010157076C,3,20171231,300.74
9010158001C,3,20171231,295.62
9010161748C,3,20171231,726.50
9010235370C,4,20171231,826.00
9010264207C,4,20171231,2921.85
9010300689C,3,20171231,4440.45
9010310404C,4,20171231,5997.15
9010331157C,3,20171231,4481.00
9010331768C,4,20171231,5034.00
9010335038C,3,20171231,3348.10
9010335095C,4,20171231,432.16
9010346921C,3,20171231,640.42
9010348734C,1,20171231,1004.77
9010350577C,4,20171231,1694.00
9010360289C,4,20171231,1455.62
9010360290C,4,20171231,1373.76
9010363098C,4,20171231,2486.95
9010367131C,4,20171231,1419.57
9010367132C,4,20171231,1432.91
9010367133C,4,20171231,1479.13
9010367438C,4,20171231,2270.39
9010367704C,4,20171231,1493.27
9010367705C,4,20171231,1441.04
9010368703C,4,20171231,3446.53
9010371171C,4,20171231,3412.46
9010371356C,4,20171231,1515.60
9010373918C,4,20171231,3218.01
9010374099C,3,20171231,990.60
9010374779C,4,20171231,2946.85
9010374837C,4,20171231,1514.79
9010374838C,4,20171231,1518.49
9010376522C,4,20171231,2415.50
9010376529C,4,20171231,1347.81
9010376540C,4,20171231,1999.37
9010377918C,4,20171231,5575.09
9010378485C,4,20171231,2839.70
9010378710C,4,20171231,1081.45
9010378829C,4,20171231,1353.15
9010378830C,3,20171231,3405.70
9010379405C,4,20171231,3887.70
9010380049C,4,20171231,2128.10
9010380550C,4,20171231,868.59
9010380627C,4,20171231,672.27
9010380808C,3,20171231,3195.30
9010381745C,4,20171231,2849.88
9010382426C,3,20171231,3633.50
9010382520C,4,20171231,1597.50
9010382931C,4,20171231,3457.30
9010385491C,4,20171231,1876.71
9010385636C,4,20171231,5557.50
9010388767C,4,20171231,3222.36
9010389651C,4,20171231,6352.28
9010389802C,1,20171231,5091.10
9010390061C,4,20171231,1438.77
9010391004C,4,20171231,3270.66
9010391228C,4,20171231,1595.87
9010391355C,4,20171231,2002.42
9010391359C,4,20171231,653.40
9010391411C,4,20171231,2859.17
9010391422C,4,20171231,1455.37
9010391582C,4,20171231,6248.96
9010391679C,1,20171231,3183.07
9010391840C,4,20171231,1393.42
9010391876C,4,20171231,782.39
9010391878C,4,20171231,900.00
9010391895C,4,20171231,1439.15
9010392117C,4,20171231,5909.84
9010392493C,4,20171231,2415.63
9010392763C,4,20171231,2777.17
9010392930C,4,20171231,873.21
9010393142C,4,20171231,3255.89
9010393143C,4,20171231,1401.66
9010393158C,4,20171231,3183.07
9010393181C,4,20171231,1417.34
9010393401C,4,20171231,3264.18
9010393899C,4,20171231,3248.69
9010393931C,4,20171231,2258.92
9010394249C,4,20171231,3285.75
9010394353C,4,20171231,3253.67
9010394662C,4,20171231,1637.83
9010395098C,4,20171231,794.13
9010395211C,4,20171231,3264.18
9010395382C,4,20171231,6248.97
9010395411C,4,20171231,3071.50
9010395761C,4,20171231,4491.61
9010395878C,4,20171231,2568.71
9010395879C,4,20171231,2820.58
9010396147C,4,20171231,2982.01
9010396186C,4,20171231,3178.65
9010396425C,4,20171231,3270.52
9010397118C,4,20171231,6772.18
9010397318C,4,20171231,1759.74
9010397493C,4,20171231,3231.95
9010397528C,2,20171231,1160.39
9010397583C,4,20171231,5054.92
9010397945C,4,20171231,2777.17
9010398274C,4,20171231,3264.18
9010398471C,4,20171231,3181.66
9010398475C,4,20171231,3110.03
9010398591C,4,20171231,4220.92
9010399927C,4,20171231,3270.52
9010400462C,4,20171231,3253.67
9010401087C,2,20171231,3264.18
9010401181C,4,20171231,2902.16
9010401210C,4,20171231,3251.33
9010401565C,4,20171231,990.19
9010402010C,4,20171231,2370.87
9010402014C,4,20171231,3270.52
9010402060C,1,20171231,3285.75
9010402061C,1,20171231,4813.63
9010402105C,4,20171231,5062.79
9010402899C,4,20171231,2009.64
9010403109C,1,20171231,3285.75
9010403117C,4,20171231,1198.45
9010403222C,4,20171231,3031.62
9010403516C,4,20171231,1378.81
9010403789C,3,20171231,3181.66
9010403872C,4,20171231,1088.00
9010403922C,4,20171231,2942.26
9010404600C,4,20171231,6852.66
9010404602C,4,20171231,2642.04
9010405440C,4,20171231,2751.04
9010405802C,3,20171231,6352.28
9010405858C,4,20171231,3071.50
9010406576C,4,20171231,1346.18
9010406795C,4,20171231,2764.03
9010407023C,3,20171231,3288.90
9010407533C,4,20171231,2773.60
9010407534C,4,20171231,1387.55
9010407670C,4,20171231,2304.72
9010407925C,4,20171231,6269.49
9010408371C,4,20171231,2848.28
9010410566C,4,20171231,1999.38
9010410616C,4,20171231,2967.88
9010410714C,4,20171231,2129.59
9010411499C,4,20171231,2967.88
9010411577C,4,20171231,6269.49
9010411727C,3,20171231,3411.80
9010411920C,4,20171231,2888.10
9010412522C,4,20171231,4893.00
9010412525C,4,20171231,2991.77
9010412526C,4,20171231,2811.15
9010412640C,4,20171231,3088.39
9010412641C,2,20171231,3017.59
9010413417C,4,20171231,4189.33
9010413421C,4,20171231,3017.59
9010413628C,4,20171231,2967.88
9010413745C,3,20171231,2985.50
9010414235C,4,20171231,2773.60
