MPOLICY,MBENTYP,MDATE,MBEN,_SRC,_POL
9010143726C,1,20180501,20.60,515,9010143726
9010143726C,1,20190501,20.78,515,9010143726
9010143726C,1,20200501,20.93,515,9010143726
9010143726C,1,20210501,21.00,515,9010143726
9010143726C,1,20220501,21.03,515,9010143726
9010143726C,1,20230501,20.95,515,9010143726
9010143726C,1,20240501,20.73,515,9010143726
9010143726C,1,20250501,20.28,515,9010143726
9010143726C,1,20260501,19.55,515,9010143726
9010148272C,3,20180801,8.21,514,9010148272
9010148272C,3,20190801,8.21,514,9010148272
9010148272C,3,20200801,8.28,514,9010148272
9010148272C,3,20210801,8.34,514,9010148272
9010148272C,3,20220801,8.38,514,9010148272
9010148272C,3,20230801,8.38,514,9010148272
9010148272C,3,20240801,8.35,514,9010148272
9010148272C,3,20250801,8.26,514,9010148272
9010148856C,3,20180801,8.35,514,9010148856
9010148856C,3,20190801,8.41,514,9010148856
9010148856C,3,20200801,8.44,514,9010148856
9010148856C,3,20210801,8.45,514,9010148856
9010148856C,3,20220801,8.42,514,9010148856
9010148856C,3,20230801,8.32,514,9010148856
9010148856C,3,20240801,8.15,514,9010148856
9010148856C,3,20250801,7.85,514,9010148856
9010150740C,3,20180901,12.77,514,9010150740
9010150740C,3,20190901,12.78,514,9010150740
9010150740C,3,20200901,12.72,514,9010150740
9010150740C,3,20210901,12.59,514,9010150740
9010150740C,3,20220901,12.32,514,9010150740
9010150910C,4,20180901,8.44,517,9010150910
9010150910C,4,20190901,8.47,517,9010150910
9010154425C,3,20181201,8.35,514,9010154425
9010154425C,3,20191201,8.03,514,9010154425
9010154425C,1,20201201,7.53,515,9010154425
9010157076C,3,20180201,8.27,514,9010157076
9010157076C,3,20190201,8.35,514,9010157076
9010157076C,3,20200201,8.41,514,9010157076
9010157076C,3,20210201,8.44,514,9010157076
9010157076C,3,20220201,8.45,514,9010157076
9010157076C,3,20230201,8.42,514,9010157076
9010157076C,3,20240201,8.32,514,9010157076
9010157076C,3,20250201,8.15,514,9010157076
9010157076C,3,20260201,7.85,514,9010157076
9010158001C,3,20180301,8.24,514,9010158001
9010158001C,3,20190301,8.24,514,9010158001
9010158001C,3,20200301,8.31,514,9010158001
9010158001C,3,20210301,8.37,514,9010158001
9010158001C,3,20220301,8.40,514,9010158001
9010158001C,3,20230301,8.41,514,9010158001
9010158001C,3,20240301,8.38,514,9010158001
9010158001C,3,20250301,8.29,514,9010158001
9010158001C,3,20260301,8.11,514,9010158001
9010161748C,3,20180501,20.50,514,9010161748
9010161748C,3,20190501,20.53,514,9010161748
9010161748C,3,20200501,20.53,514,9010161748
9010161748C,3,20210501,20.70,514,9010161748
9010161748C,3,20220501,20.85,514,9010161748
9010161748C,3,20230501,20.95,514,9010161748
9010161748C,3,20240501,20.95,514,9010161748
9010161748C,3,20250501,20.88,514,9010161748
9010161748C,3,20260501,20.65,514,9010161748
9010235370C,4,20180901,36.56,517,9010235370
9010235370C,4,20190901,37.62,517,9010235370
9010235370C,4,20200901,38.70,517,9010235370
9010235370C,1,20210901,39.82,515,9010235370
9010264207C,4,20181128,131.58,517,9010264207
9010264207C,4,20191128,135.59,517,9010264207
9010264207C,4,20201128,139.60,517,9010264207
9010264207C,4,20211128,143.70,517,9010264207
9010264207C,4,20221128,147.79,517,9010264207
9010264207C,4,20231128,151.89,517,9010264207
9010264207C,4,20241128,156.07,517,9010264207
9010264207C,4,20251128,160.34,517,9010264207
9010310404C,4,20180128,283.20,517,9010310404
9010310404C,4,20190128,289.65,517,9010310404
9010310404C,4,20200128,295.95,517,9010310404
9010310404C,4,20210128,302.40,517,9010310404
9010310404C,4,20220128,309.00,517,9010310404
9010310404C,4,20230128,315.45,517,9010310404
9010310404C,4,20240128,321.60,517,9010310404
9010310404C,4,20250128,327.75,517,9010310404
9010310404C,4,20260128,333.60,517,9010310404
9010331157C,3,20180717,220.20,514,9010331157
9010331768C,4,20180724,248.40,517,9010331768
9010331768C,4,20190724,255.45,517,9010331768
9010331768C,4,20200724,262.35,517,9010331768
9010331768C,4,20210724,269.10,517,9010331768
9010331768C,4,20220724,275.70,517,9010331768
9010331768C,4,20230724,282.00,517,9010331768
9010331768C,4,20240724,288.15,517,9010331768
9010331768C,4,20250724,294.15,517,9010331768
9010335095C,1,20191110,15.00,515,9010335095
9010346921C,3,20181118,29.92,514,9010346921
9010346921C,3,20191118,30.88,514,9010346921
9010346921C,3,20201118,31.82,514,9010346921
9010346921C,3,20211118,32.74,514,9010346921
9010346921C,3,20221118,33.70,514,9010346921
9010346921C,3,20231118,34.66,514,9010346921
9010346921C,3,20241118,35.64,514,9010346921
9010346921C,3,20251118,36.62,514,9010346921
9010348734C,1,20180113,51.20,515,9010348734
9010348734C,1,20190113,52.63,515,9010348734
9010348734C,1,20200113,54.05,515,9010348734
9010348734C,1,20210113,55.45,515,9010348734
9010348734C,1,20220113,56.85,515,9010348734
9010348734C,1,20230113,58.20,515,9010348734
9010348734C,1,20240113,59.53,515,9010348734
9010348734C,1,20250113,60.83,515,9010348734
9010348734C,1,20260113,62.10,515,9010348734
9010350577C,4,20180128,90.50,517,9010350577
9010350577C,4,20190128,94.00,517,9010350577
9010350577C,4,20200128,97.50,517,9010350577
9010350577C,4,20210128,101.10,517,9010350577
9010350577C,4,20220128,104.70,517,9010350577
9010350577C,4,20230128,108.40,517,9010350577
9010350577C,4,20240128,112.10,517,9010350577
9010350577C,4,20250128,115.90,517,9010350577
9010350577C,4,20260128,119.70,517,9010350577
9010360289C,4,20180515,79.78,517,9010360289
9010360289C,4,20190515,82.45,517,9010360289
9010360289C,4,20200515,85.11,517,9010360289
9010360289C,4,20210515,87.83,517,9010360289
9010360289C,4,20220515,90.50,517,9010360289
9010360289C,4,20230515,93.22,517,9010360289
9010360289C,4,20240515,95.88,517,9010360289
9010360289C,4,20250515,98.60,517,9010360289
9010360290C,4,20180515,77.16,517,9010360290
9010360290C,4,20190515,79.97,517,9010360290
9010360290C,4,20200515,82.78,517,9010360290
9010360290C,4,20210515,85.60,517,9010360290
9010360290C,4,20220515,88.46,517,9010360290
9010360290C,4,20230515,91.33,517,9010360290
9010360290C,4,20240515,94.26,517,9010360290
9010360290C,4,20250515,97.18,517,9010360290
9010363098C,4,20180602,119.90,517,9010363098
9010363098C,4,20190602,122.60,517,9010363098
9010363098C,4,20200602,125.25,517,9010363098
9010363098C,4,20210602,127.85,517,9010363098
9010363098C,4,20220602,130.40,517,9010363098
9010367131C,4,20180801,78.63,517,9010367131
9010367131C,4,20190801,81.35,517,9010367131
9010367131C,4,20200801,84.06,517,9010367131
9010367131C,4,20210801,86.78,517,9010367131
9010367131C,4,20220801,89.55,517,9010367131
9010367131C,4,20230801,92.32,517,9010367131
9010367131C,4,20240801,95.10,517,9010367131
9010367131C,4,20250801,97.87,517,9010367131
9010367132C,4,20180801,79.45,517,9010367132
9010367132C,4,20190801,82.22,517,9010367132
9010367132C,4,20200801,84.99,517,9010367132
