index,v57_34_PLAN,v57_35_PLAN,FORM,DESCR
7,0823 960CH,960CWP,0823,WAIVER OF PREMIUM - CHILD
12,0824 P DIS,94PDIS,0824,& PAYOR DISABILITY RIDER
17,10827 MN5K,1CSIMN,10827,CSI LIFE MN $5000
23,1578 SPSPU,578STR,1578,PAID UP SPOUSE TERM RIDER
26,1579 GPO,9GPO79,1579,GUARANTEED PURCHASE OPTION RIDER
30,1596 667,967ADB,1596,ACCIDENTAL DEATH BENEFIT RIDER
32,619 CH PU,719CTR,619,DECR TERM PAID UP FOR CHILD
38,621 PUA,121PUA,620,PAID UP ADDS - ENDOWMENT AT AGE 85
40,630 JEB,130JEB,620,JUVENILE ESTATE BUILDER LIFE PD UP AT 65
41,646 ART,5646AT,667,ANNUAL RENEWABLE TERM
55,667 ART CR,57ATCR,667,ART PREFERRED CREDIT LIFE
57,669 SR GD,1669SR,659,INTEREST-SENSITIVE WHOLE LIFE
63,686S 30MRG,7686S3,686,DECREASING TERM LIFE
64,687J 30MRG,7687J3,687,JOINT DECREASING TERM LIFE
65,690 DT 65,7690DT,690,DEC TERM TO 65 CONVERTIBLE
66,8034 30MRG,934SWP,8034,DISABILITY WAIVER OF PREMIUM 30MRG
67,8034 J30MT,934JWP,8034,DISABILITY WAIVER OF PREMIUM JOINT 30 MT
71,8043CTR WP,943CWP,,8043 CTR WAIVER OF PREMIUM
72,8046 JPO,9JPO46,8046,JUVENILE FUTURE PURCHASE OPTION RIDER
91,961 ME65,2961ME,961,MODIFIED ENDOWMENT AT 65
92,961 PUA,261PUA,961,PAID UP ADDS - MODIFIED ENDOWMENT AT 65
93,970 JEB,1970JB,970,JUVENILE EST BUILD PU AT 85 LIFE
94,970 PUA,1970PA,970,PAID UP ADDS - JUV EST BUILD PU AT 85
99,9DIS25,9DIS24,,HOME OFFICE DISCOUNT - 24.75%
100,DISCHO247B,9DS24B,,HOME OFFICE DISCOUNT - 24.75%
101,9DIS25,9DS24C,,HOME OFFICE DISCOUNT - 24.75%
103,DISCHO29,9DIS29,,HOME OFFICE DISCOUNT 29% - MODERULE 37
108,L01 10Y MA,5L01MA,L10,TEN YEAR LEVEL TERM TO AGE 95
117,L10 PRE97,1L10OD,L10,L10 - LPU95       PRE 1997
118,L10 PREUNI,1L10PR,L10 UNI,L10 - LPU95       PRE 1997
120,L10 SPSWP,910SWP,8139,L10 SPOUSE WP
125,L10 WP SRN,910RWP,8139,L10 WAIVER OF PREMIUM   POST 1997
140,WP 646,9WP646,0823,WAIVER OF PREMIUM
